,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,968000000.0,1163000000.0,1148000000.0,1481000000.0
Repurchase Of Capital Stock,-170000000.0,-300000000.0,-240000000.0,0.0
Repayment Of Debt,-1161000000.0,-683000000.0,-740000000.0,-1279000000.0
Issuance Of Debt,1102000000.0,404000000.0,434000000.0,601000000.0
Issuance Of Capital Stock,60000000.0,277000000.0,63000000.0,112000000.0
Capital Expenditure,-677000000.0,-488000000.0,-553000000.0,-505000000.0
Interest Paid Supplemental Data,291000000.0,220000000.0,213000000.0,249000000.0
Income Tax Paid Supplemental Data,322000000.0,312000000.0,365000000.0,281000000.0
End Cash Position,274000000.0,299000000.0,286000000.0,435000000.0
Beginning Cash Position,299000000.0,286000000.0,435000000.0,397000000.0
Effect Of Exchange Rate Changes,2000000.0,-109000000.0,-16000000.0,25000000.0
Changes In Cash,-27000000.0,122000000.0,-133000000.0,13000000.0
Financing Cash Flow,-1110000000.0,-1081000000.0,-1306000000.0,-1388000000.0
Cash Flow From Continuing Financing Activities,-1110000000.0,-1081000000.0,-1306000000.0,-1388000000.0
Net Other Financing Charges,-141000000.0,18000000.0,-35000000.0,-40000000.0
Cash Dividends Paid,-800000000.0,-797000000.0,-788000000.0,-782000000.0
Common Stock Dividend Paid,-800000000.0,-797000000.0,-788000000.0,-782000000.0
Net Common Stock Issuance,-110000000.0,-23000000.0,-177000000.0,112000000.0
Common Stock Payments,-170000000.0,-300000000.0,-240000000.0,0.0
Common Stock Issuance,60000000.0,277000000.0,63000000.0,112000000.0
Net Issuance Payments Of Debt,-59000000.0,-279000000.0,-306000000.0,-678000000.0
Net Short Term Debt Issuance,307000000.0,337000000.0,-27000000.0,-16000000.0
Short Term Debt Payments,-356000000.0,,-27000000.0,-16000000.0
Short Term Debt Issuance,663000000.0,337000000.0,0.0,44000000.0
Net Long Term Debt Issuance,-366000000.0,-616000000.0,-279000000.0,-662000000.0
Long Term Debt Payments,-805000000.0,-683000000.0,-713000000.0,-1263000000.0
Long Term Debt Issuance,439000000.0,67000000.0,434000000.0,601000000.0
Investing Cash Flow,-562000000.0,-448000000.0,-528000000.0,-585000000.0
Cash Flow From Continuing Investing Activities,-562000000.0,-448000000.0,-528000000.0,-585000000.0
Net Other Investing Changes,-2000000.0,1000000.0,5000000.0,-11000000.0
Net Investment Purchase And Sale,117000000.0,39000000.0,30000000.0,-62000000.0
Sale Of Investment,132000000.0,56000000.0,91000000.0,269000000.0
Purchase Of Investment,-15000000.0,-17000000.0,-61000000.0,-331000000.0
Net Business Purchase And Sale,0.0,0.0,-10000000.0,-7000000.0
Sale Of Business,,,0.0,
Purchase Of Business,0.0,0.0,-10000000.0,-7000000.0
Net PPE Purchase And Sale,-677000000.0,-488000000.0,-553000000.0,-505000000.0
Purchase Of PPE,-677000000.0,-488000000.0,-553000000.0,-505000000.0
Operating Cash Flow,1645000000.0,1651000000.0,1701000000.0,1986000000.0
Cash Flow From Continuing Operating Activities,1645000000.0,1651000000.0,1701000000.0,1986000000.0
Taxes Refund Paid,,,0.0,0.0
Change In Working Capital,24000000.0,-14000000.0,2000000.0,228000000.0
Change In Other Working Capital,267000000.0,243000000.0,-48000000.0,216000000.0
Change In Payables And Accrued Expense,-340000000.0,411000000.0,194000000.0,-9000000.0
Change In Payable,-340000000.0,411000000.0,194000000.0,-9000000.0
Change In Account Payable,-340000000.0,411000000.0,194000000.0,-9000000.0
Change In Inventory,139000000.0,-411000000.0,-135000000.0,-54000000.0
Change In Receivables,-42000000.0,-257000000.0,-9000000.0,75000000.0
Changes In Account Receivables,-42000000.0,-257000000.0,-9000000.0,75000000.0
Other Non Cash Items,-2000000.0,-65000000.0,-64000000.0,-48000000.0
Stock Based Compensation,95000000.0,96000000.0,68000000.0,76000000.0
Deferred Tax,-21000000.0,-46000000.0,125000000.0,69000000.0
Deferred Income Tax,-21000000.0,-46000000.0,125000000.0,69000000.0
Depreciation Amortization Depletion,419000000.0,478000000.0,467000000.0,479000000.0
Depreciation And Amortization,419000000.0,478000000.0,467000000.0,479000000.0
Operating Gains Losses,166000000.0,240000000.0,-392000000.0,-82000000.0
Pension And Employee Benefit Expense,53000000.0,240000000.0,-392000000.0,-82000000.0
Earnings Losses From Equity Investments,,,,0.0
Gain Loss On Sale Of Business,113000000.0,0.0,0.0,
Net Income From Continuing Operations,964000000.0,962000000.0,1495000000.0,1264000000.0
