,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.055542,0.21
Normalized EBITDA,98885000.0,3631000.0
Net Income From Continuing Operation Net Minority Interest,11352000.0,-6361000.0
Reconciled Depreciation,8762000.0,6720000.0
Reconciled Cost Of Revenue,3508000.0,3840000.0
EBITDA,98885000.0,3631000.0
EBIT,90060000.0,-3089000.0
Net Interest Income,-29421000.0,-3108000.0
Interest Expense,29421000.0,3108000.0
Normalized Income,11352000.0,-6361000.0
Net Income From Continuing And Discontinued Operation,11352000.0,-6361000.0
Total Expenses,3391000.0,55009000.0
Total Operating Income As Reported,89511000.0,-3232000.0
Diluted Average Shares,14500000.0,14500000.0
Basic Average Shares,14500000.0,14500000.0
Diluted EPS,0.78,-0.43869
Basic EPS,0.78,-0.43869
Diluted NI Availto Com Stockholders,11352000.0,-6361000.0
Net Income Common Stockholders,11352000.0,-6361000.0
Net Income,11352000.0,-6361000.0
Minority Interests,-45919000.0,
Net Income Including Noncontrolling Interests,57271000.0,-6361000.0
Net Income Continuous Operations,57271000.0,-6361000.0
Tax Provision,3368000.0,164000.0
Pretax Income,60639000.0,-6197000.0
Other Income Expense,549000.0,143000.0
Other Non Operating Income Expenses,549000.0,143000.0
Net Non Operating Interest Income Expense,-29421000.0,-3108000.0
Interest Expense Non Operating,29421000.0,3108000.0
Operating Income,89511000.0,-3232000.0
Operating Expense,-54000.0,51169000.0
Other Operating Expenses,2971000.0,2648000.0
Depreciation Amortization Depletion Income Statement,8825000.0,6720000.0
Selling General And Administration,-11850000.0,41801000.0
General And Administrative Expense,-11850000.0,41801000.0
Other Gand A,-11850000.0,41801000.0
Gross Profit,89457000.0,47937000.0
Cost Of Revenue,3445000.0,3840000.0
Total Revenue,92902000.0,51777000.0
Operating Revenue,92870000.0,51777000.0
