,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-21111000.0,-276871000.0,-16087468.131006,-27782801.41844
Tax Rate For Calcs,0.227,0.259,0.2475,0.250296
Normalized EBITDA,12310000000.0,11031000000.0,9969000000.0,8376000000.0
Total Unusual Items,-93000000.0,-1069000000.0,-65000000.0,-111000000.0
Total Unusual Items Excluding Goodwill,-93000000.0,-1069000000.0,-65000000.0,-111000000.0
Net Income From Continuing Operation Net Minority Interest,6199000000.0,4147000000.0,3821000000.0,2497000000.0
Reconciled Depreciation,3816000000.0,4204000000.0,4635000000.0,4626000000.0
Reconciled Cost Of Revenue,17492000000.0,19450000000.0,17543000000.0,15383000000.0
EBITDA,12217000000.0,9962000000.0,9904000000.0,8265000000.0
EBIT,8401000000.0,5758000000.0,5269000000.0,3639000000.0
Net Interest Income,-200000000.0,-63000000.0,-77000000.0,-115000000.0
Interest Expense,413000000.0,215000000.0,170000000.0,255000000.0
Interest Income,213000000.0,152000000.0,93000000.0,140000000.0
Normalized Income,6270889000.0,4939129000.0,3869912531.868994,2580217198.58156
Net Income From Continuing And Discontinued Operation,6199000000.0,4147000000.0,3826000000.0,2501000000.0
Total Expenses,24585000000.0,26667000000.0,25318000000.0,23354000000.0
Total Operating Income As Reported,8024000000.0,5369000000.0,4984000000.0,3322000000.0
Diluted Average Shares,492290000.0,504038000.0,521875000.0,531157000.0
Basic Average Shares,488191000.0,499736000.0,516896000.0,526736000.0
Diluted EPS,12.59,8.23,7.33,4.71
Basic EPS,12.7,8.3,7.4,4.75
Diluted NI Availto Com Stockholders,6199000000.0,4147000000.0,3826000000.0,2501000000.0
Net Income Common Stockholders,6199000000.0,4147000000.0,3826000000.0,2501000000.0
Net Income,6199000000.0,4147000000.0,3826000000.0,2501000000.0
Minority Interests,-142000000.0,-134000000.0,-135000000.0,-125000000.0
Net Income Including Noncontrolling Interests,6341000000.0,4281000000.0,3961000000.0,2626000000.0
Net Income Discontinuous Operations,0.0,0.0,5000000.0,4000000.0
Net Income Continuous Operations,6341000000.0,4281000000.0,3956000000.0,2622000000.0
Earnings From Equity Interest Net Of Tax,167000000.0,172000000.0,119000000.0,85000000.0
Tax Provision,1814000000.0,1434000000.0,1262000000.0,847000000.0
Pretax Income,7988000000.0,5543000000.0,5099000000.0,3384000000.0
Other Income Expense,-81000000.0,-1091000000.0,-299000000.0,-390000000.0
Other Non Operating Income Expenses,12000000.0,-22000000.0,-234000000.0,-279000000.0
Special Income Charges,-46000000.0,-1051000000.0,-36000000.0,-83000000.0
Gain On Sale Of Ppe,6000000.0,-9000000.0,-31000000.0,-78000000.0
Gain On Sale Of Business,,,0.0,0.0
Other Special Charges,,890000000.0,,
Restructuring And Mergern Acquisition,52000000.0,152000000.0,5000000.0,5000000.0
Gain On Sale Of Security,-47000000.0,-18000000.0,-29000000.0,-28000000.0
Net Non Operating Interest Income Expense,-200000000.0,-63000000.0,-77000000.0,-115000000.0
Total Other Finance Cost,,-35000000.0,-53000000.0,-85000000.0
Interest Expense Non Operating,413000000.0,215000000.0,170000000.0,255000000.0
Interest Income Non Operating,213000000.0,152000000.0,93000000.0,140000000.0
Operating Income,8269000000.0,6697000000.0,5475000000.0,3889000000.0
Operating Expense,7093000000.0,7217000000.0,7775000000.0,7971000000.0
Depreciation Amortization Depletion Income Statement,3816000000.0,4204000000.0,4635000000.0,4626000000.0
Depreciation And Amortization In Income Statement,3816000000.0,4204000000.0,4635000000.0,4626000000.0
Amortization,550000000.0,571000000.0,723000000.0,765000000.0
Amortization Of Intangibles Income Statement,550000000.0,571000000.0,723000000.0,765000000.0
Depreciation Income Statement,3266000000.0,3633000000.0,3912000000.0,3861000000.0
Research And Development,146000000.0,143000000.0,143000000.0,152000000.0
Selling General And Administration,3131000000.0,2870000000.0,2997000000.0,3193000000.0
Selling And Marketing Expense,1330000000.0,1295000000.0,1342000000.0,1303000000.0
General And Administrative Expense,1801000000.0,1575000000.0,1655000000.0,1890000000.0
Other Gand A,1965000000.0,1812000000.0,1847000000.0,1890000000.0
Salaries And Wages,-164000000.0,-237000000.0,-192000000.0,
Gross Profit,15362000000.0,13914000000.0,13250000000.0,11860000000.0
Cost Of Revenue,17492000000.0,19450000000.0,17543000000.0,15383000000.0
Total Revenue,32854000000.0,33364000000.0,30793000000.0,27243000000.0
Operating Revenue,32854000000.0,33364000000.0,30793000000.0,27243000000.0
