,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-11560000.0,-133140000.0,-2660000.0,-5400000.0
Tax Rate For Calcs,0.34,0.21,0.19,0.27
Total Unusual Items,-34000000.0,-634000000.0,-14000000.0,-20000000.0
Total Unusual Items Excluding Goodwill,-34000000.0,-634000000.0,-14000000.0,-20000000.0
Net Income From Continuing Operation Net Minority Interest,-752000000.0,1358000000.0,3778000000.0,499000000.0
Reconciled Depreciation,44000000.0,65000000.0,50000000.0,37000000.0
EBIT,-817000000.0,2008000000.0,4913000000.0,707000000.0
Net Interest Income,-445000000.0,-391000000.0,-372000000.0,-378000000.0
Interest Expense,331000000.0,283000000.0,270000000.0,284000000.0
Normalized Income,-729560000.0,1858860000.0,3789340000.0,513600000.0
Net Income From Continuing And Discontinued Operation,-752000000.0,1358000000.0,3778000000.0,499000000.0
Total Expenses,12859000000.0,17204000000.0,12962000000.0,17156000000.0
Diluted Average Shares,170700000.0,172700155.0,189098250.0,195800000.0
Basic Average Shares,169600000.0,171034695.0,177193515.0,192329691.0
Diluted EPS,-4.92,7.78,7.43,2.56
Basic EPS,-4.917453,7.93,7.929184,2.594503
Diluted NI Availto Com Stockholders,-752000000.0,1358000000.0,3778000000.0,499000000.0
Net Income Common Stockholders,-752000000.0,1358000000.0,3778000000.0,499000000.0
Net Income,-752000000.0,1358000000.0,3778000000.0,499000000.0
Net Income Including Noncontrolling Interests,-752000000.0,1358000000.0,3778000000.0,499000000.0
Net Income Continuous Operations,-752000000.0,1358000000.0,3778000000.0,499000000.0
Tax Provision,-396000000.0,367000000.0,865000000.0,-76000000.0
Pretax Income,-1148000000.0,1725000000.0,4643000000.0,423000000.0
Other Income Expense,938000000.0,765000000.0,815000000.0,699000000.0
Special Income Charges,-34000000.0,-634000000.0,-14000000.0,-20000000.0
Impairment Of Capital Assets,0.0,634000000.0,0.0,0.0
Restructuring And Mergern Acquisition,34000000.0,0.0,14000000.0,20000000.0
Net Non Operating Interest Income Expense,-445000000.0,-391000000.0,-372000000.0,-378000000.0
Total Other Finance Cost,114000000.0,108000000.0,102000000.0,94000000.0
Interest Expense Non Operating,331000000.0,283000000.0,270000000.0,284000000.0
Other Operating Expenses,-1702000000.0,-2610000000.0,-3428000000.0,532000000.0
Depreciation And Amortization In Income Statement,44000000.0,65000000.0,50000000.0,37000000.0
Amortization,44000000.0,65000000.0,50000000.0,37000000.0
Selling General And Administration,2390000000.0,2240000000.0,2252000000.0,2072000000.0
General And Administrative Expense,2390000000.0,2240000000.0,2252000000.0,2072000000.0
Other Gand A,2390000000.0,2240000000.0,2252000000.0,2072000000.0
Total Revenue,11711000000.0,18929000000.0,17605000000.0,17579000000.0
Operating Revenue,11711000000.0,18929000000.0,17605000000.0,17579000000.0
Loss Adjustment Expense,5986000000.0,11245000000.0,8320000000.0,8677000000.0
Net Policyholder Benefits And Claims,5986000000.0,11245000000.0,8320000000.0,8677000000.0
Policyholder Benefits Gross,10677000000.0,13111000000.0,10409000000.0,10630000000.0
Policyholder Benefits Ceded,4691000000.0,1866000000.0,2089000000.0,1953000000.0
