,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,379006.0,402134.0,,
Ordinary Shares Number,256096848.0,251134966.0,250474529.0,249868415.0
Share Issued,256475854.0,251537100.0,250474529.0,249868415.0
Net Debt,9447000000.0,8698000000.0,7844000000.0,7112000000.0
Total Debt,9509000000.0,8718000000.0,7883000000.0,7166000000.0
Tangible Book Value,6777000000.0,6276000000.0,5990000000.0,5688000000.0
Invested Capital,16286000000.0,14994000000.0,13873000000.0,12854000000.0
Working Capital,-1032000000.0,-1113000000.0,-985000000.0,-410000000.0
Net Tangible Assets,6777000000.0,6276000000.0,5990000000.0,5688000000.0
Common Stock Equity,6777000000.0,6276000000.0,5990000000.0,5688000000.0
Total Capitalization,15002000000.0,13944000000.0,12725000000.0,12457000000.0
Total Equity Gross Minority Interest,6777000000.0,6276000000.0,5990000000.0,5888000000.0
Minority Interest,0.0,0.0,0.0,200000000.0
Stockholders Equity,6777000000.0,6276000000.0,5990000000.0,5688000000.0
Other Equity Interest,-13000000.0,-13000000.0,-12000000.0,-11000000.0
Gains Losses Not Affecting Retained Earnings,1000000.0,0.0,0.0,-1000000.0
Other Equity Adjustments,1000000.0,,,-1000000.0
Treasury Stock,,,12000000.0,11000000.0
Retained Earnings,3756000000.0,3509000000.0,3250000000.0,2994000000.0
Additional Paid In Capital,3030000000.0,2777000000.0,2749000000.0,2704000000.0
Capital Stock,3000000.0,3000000.0,3000000.0,2000000.0
Common Stock,3000000.0,3000000.0,3000000.0,2000000.0
Total Liabilities Net Minority Interest,14460000000.0,13887000000.0,12563000000.0,11822000000.0
Total Non Current Liabilities Net Minority Interest,12156000000.0,11524000000.0,10509000000.0,10525000000.0
Other Non Current Liabilities,617000000.0,518000000.0,388000000.0,374000000.0
Employee Benefits,249000000.0,277000000.0,374000000.0,511000000.0
Non Current Pension And Other Postretirement Benefit Plans,249000000.0,277000000.0,374000000.0,511000000.0
Non Current Deferred Liabilities,2042000000.0,1943000000.0,1927000000.0,1814000000.0
Non Current Deferred Taxes Liabilities,2042000000.0,1943000000.0,1927000000.0,1814000000.0
Long Term Debt And Capital Lease Obligation,8225000000.0,7668000000.0,6735000000.0,6769000000.0
Long Term Debt,8225000000.0,7668000000.0,6735000000.0,6769000000.0
Current Liabilities,2304000000.0,2363000000.0,2054000000.0,1297000000.0
Other Current Liabilities,409000000.0,557000000.0,470000000.0,456000000.0
Current Deferred Liabilities,,,58000000.0,67000000.0
Current Deferred Taxes Liabilities,,,58000000.0,67000000.0
Current Debt And Capital Lease Obligation,1284000000.0,1050000000.0,1148000000.0,397000000.0
Current Debt,1284000000.0,1050000000.0,1148000000.0,397000000.0
Other Current Borrowings,809000000.0,408000000.0,633000000.0,8000000.0
Commercial Paper,475000000.0,642000000.0,515000000.0,389000000.0
Payables And Accrued Expenses,611000000.0,756000000.0,436000000.0,444000000.0
Payables,611000000.0,756000000.0,436000000.0,444000000.0
Total Tax Payable,,,58000000.0,67000000.0
Accounts Payable,611000000.0,756000000.0,436000000.0,377000000.0
Total Assets,21237000000.0,20163000000.0,18553000000.0,17710000000.0
Total Non Current Assets,19965000000.0,18913000000.0,17484000000.0,16823000000.0
Other Non Current Assets,177000000.0,227000000.0,144000000.0,73000000.0
Non Current Deferred Assets,,227000000.0,144000000.0,73000000.0
Investments And Advances,602000000.0,559000000.0,517000000.0,485000000.0
Other Investments,216000000.0,201000000.0,179000000.0,154000000.0
Long Term Equity Investment,386000000.0,358000000.0,338000000.0,331000000.0
Net PPE,17157000000.0,16247000000.0,14987000000.0,14336000000.0
Accumulated Depreciation,-6274000000.0,-6030000000.0,-5575000000.0,-5141000000.0
Gross PPE,23431000000.0,22277000000.0,20562000000.0,19477000000.0
Construction In Progress,1245000000.0,1357000000.0,778000000.0,405000000.0
Other Properties,1045000000.0,967000000.0,810000000.0,725000000.0
Current Assets,1272000000.0,1250000000.0,1069000000.0,887000000.0
Other Current Assets,392000000.0,389000000.0,344000000.0,204000000.0
Current Deferred Assets,216000000.0,185000000.0,214000000.0,188000000.0
Inventory,343000000.0,325000000.0,246000000.0,217000000.0
Receivables,259000000.0,331000000.0,226000000.0,224000000.0
Receivables Adjustments Allowances,,-7000000.0,-11000000.0,-18000000.0
Other Receivables,53000000.0,109000000.0,53000000.0,59000000.0
Accounts Receivable,113000000.0,107000000.0,82000000.0,83000000.0
Allowance For Doubtful Accounts Receivable,-8000000.0,-7000000.0,-11000000.0,-18000000.0
Gross Accounts Receivable,121000000.0,114000000.0,93000000.0,101000000.0
Cash Cash Equivalents And Short Term Investments,62000000.0,20000000.0,39000000.0,54000000.0
Cash And Cash Equivalents,62000000.0,20000000.0,39000000.0,54000000.0
