,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,7338000.0,7341000.0,7343000.0,7346000.0
Ordinary Shares Number,63686000.0,63534000.0,65609000.0,70278000.0
Share Issued,71024000.0,70875000.0,72952000.0,77624000.0
Net Debt,2060950000.0,2309511000.0,2055890000.0,1965517000.0
Total Debt,3149866000.0,3220536000.0,2726609000.0,3066910000.0
Tangible Book Value,5587964000.0,5225802000.0,4913536000.0,4931878000.0
Invested Capital,10326571000.0,10830643000.0,10746210000.0,11268458000.0
Working Capital,2458303000.0,2824814000.0,2292002000.0,2992406000.0
Net Tangible Assets,5587964000.0,5225802000.0,4913536000.0,4931878000.0
Capital Lease Obligations,446366000.0,401402000.0,401824000.0,332768000.0
Common Stock Equity,7623071000.0,8011509000.0,8421425000.0,8534316000.0
Total Capitalization,9324856000.0,9990072000.0,10121707000.0,10891203000.0
Total Equity Gross Minority Interest,7629136000.0,8017914000.0,8428216000.0,8541158000.0
Minority Interest,6065000.0,6405000.0,6791000.0,6842000.0
Stockholders Equity,7623071000.0,8011509000.0,8421425000.0,8534316000.0
Gains Losses Not Affecting Retained Earnings,-1079963000.0,-1114258000.0,-966952000.0,-695145000.0
Other Equity Adjustments,-1079963000.0,-1114258000.0,-966952000.0,-695145000.0
Treasury Stock,215397000.0,215491000.0,215547000.0,215648000.0
Retained Earnings,6970244000.0,7409760000.0,7692064000.0,7559191000.0
Additional Paid In Capital,1947477000.0,1930789000.0,1911131000.0,1885142000.0
Capital Stock,710000.0,709000.0,729000.0,776000.0
Common Stock,710000.0,709000.0,729000.0,776000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,5930733000.0,6102518000.0,5796301000.0,5786593000.0
Total Non Current Liabilities Net Minority Interest,2784819000.0,3032233000.0,2849946000.0,3415345000.0
Other Non Current Liabilities,354028000.0,312874000.0,356753000.0,330064000.0
Non Current Deferred Liabilities,391500000.0,444660000.0,495521000.0,493668000.0
Non Current Deferred Taxes Liabilities,391500000.0,444660000.0,495521000.0,493668000.0
Long Term Debt And Capital Lease Obligation,2039291000.0,2274699000.0,1997672000.0,2591613000.0
Long Term Capital Lease Obligation,337506000.0,296136000.0,297390000.0,234726000.0
Long Term Debt,1701785000.0,1978563000.0,1700282000.0,2356887000.0
Current Liabilities,3145914000.0,3070285000.0,2946355000.0,2371248000.0
Current Debt And Capital Lease Obligation,1110575000.0,945837000.0,728937000.0,475297000.0
Current Capital Lease Obligation,108860000.0,105266000.0,104434000.0,98042000.0
Current Debt,1001715000.0,840571000.0,624503000.0,377255000.0
Other Current Borrowings,1001715000.0,840571000.0,624503000.0,377255000.0
Line Of Credit,,,,5672000.0
Commercial Paper,,,613859000.0,0.0
Pensionand Other Post Retirement Benefit Plans Current,269705000.0,238347000.0,256428000.0,222235000.0
Current Provisions,667761000.0,742099000.0,,54692000.0
Payables And Accrued Expenses,1097873000.0,1144002000.0,1960990000.0,1673716000.0
Current Accrued Expenses,57626000.0,47173000.0,729364000.0,651147000.0
Interest Payable,20052000.0,8748000.0,17940000.0,30403000.0
Payables,1040247000.0,1096829000.0,1231626000.0,1022569000.0
Other Payable,2223000.0,2791000.0,3005000.0,5672000.0
Accounts Payable,1038024000.0,1094038000.0,1228621000.0,1016897000.0
Total Assets,13559869000.0,14120432000.0,14224517000.0,14327751000.0
Total Non Current Assets,7955652000.0,8225333000.0,8986160000.0,8964097000.0
Non Current Deferred Assets,498847000.0,390632000.0,451439000.0,447292000.0
Non Current Deferred Taxes Assets,498847000.0,390632000.0,451439000.0,447292000.0
Goodwill And Other Intangible Assets,2035107000.0,2785707000.0,3507889000.0,3602438000.0
Other Intangible Assets,875383000.0,857948000.0,899980000.0,951607000.0
Goodwill,1159724000.0,1927759000.0,2607909000.0,2650831000.0
Net PPE,5421698000.0,5048994000.0,5026832000.0,4914367000.0
Accumulated Depreciation,-5399131000.0,-4986601000.0,-4613722000.0,-4314037000.0
Gross PPE,10820829000.0,10035595000.0,9640554000.0,9228404000.0
Leases,110134000.0,107079000.0,102766000.0,103172000.0
Construction In Progress,703015000.0,749184000.0,638716000.0,309486000.0
Other Properties,428532000.0,387816000.0,389967000.0,323138000.0
Machinery Furniture Equipment,6954810000.0,6473306000.0,6181402000.0,6151299000.0
Buildings And Improvements,2105114000.0,1851390000.0,1862463000.0,1856859000.0
Land And Improvements,519224000.0,466820000.0,465240000.0,484450000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,5604217000.0,5895099000.0,5238357000.0,5363654000.0
Other Current Assets,19339000.0,30703000.0,20156000.0,31343000.0
Prepaid Assets,515819000.0,498222000.0,394649000.0,369432000.0
Inventory,2551853000.0,2793765000.0,2391672000.0,1913020000.0
Finished Goods,1796951000.0,1986005000.0,1677707000.0,1372234000.0
Work In Process,164197000.0,160757000.0,144004000.0,126231000.0
Raw Materials,590705000.0,647003000.0,569961000.0,414555000.0
Receivables,1874656000.0,1904786000.0,1839985000.0,1709493000.0
Receivables Adjustments Allowances,-66860000.0,-73779000.0,-73149000.0,-83682000.0
Other Receivables,176808000.0,219355000.0,117823000.0,89092000.0
Taxes Receivable,48399000.0,60080000.0,73727000.0,112580000.0
Accounts Receivable,1716309000.0,1699130000.0,1721584000.0,1591503000.0
Cash Cash Equivalents And Short Term Investments,642550000.0,667623000.0,591895000.0,1340366000.0
Other Short Term Investments,0.0,158000000.0,323000000.0,571741000.0
Cash And Cash Equivalents,642550000.0,509623000.0,268895000.0,768625000.0
