,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-187617150.0,-150890040.0,-1252015.018686,-1335438.0
Tax Rate For Calcs,0.21,0.21,0.198796,0.117
Normalized EBITDA,1246747000.0,1549819000.0,1945254000.0,1255674000.0
Total Unusual Items,-893415000.0,-718524000.0,-6298000.0,-11414000.0
Total Unusual Items Excluding Goodwill,-893415000.0,-718524000.0,-6298000.0,-11414000.0
Net Income From Continuing Operation Net Minority Interest,-439516000.0,25247000.0,1033159000.0,515595000.0
Reconciled Depreciation,630327000.0,595464000.0,591711000.0,607507000.0
Reconciled Cost Of Revenue,8425463000.0,8793639000.0,7931879000.0,7121507000.0
EBITDA,353332000.0,831295000.0,1938956000.0,1244260000.0
EBIT,-276995000.0,235831000.0,1347245000.0,636753000.0
Net Interest Income,-77514000.0,-51938000.0,-57252000.0,-52379000.0
Interest Expense,77514000.0,51938000.0,57252000.0,52379000.0
Normalized Income,266281850.0,592880960.0,1038204984.981314,525673562.0
Net Income From Continuing And Discontinued Operation,-439516000.0,25247000.0,1033159000.0,515595000.0
Total Expenses,10545179000.0,10797077000.0,9865602000.0,8916195000.0
Total Operating Income As Reported,-287808000.0,244217000.0,1335011000.0,636002000.0
Diluted Average Shares,63657000.0,64062000.0,69145000.0,71401000.0
Basic Average Shares,63657000.0,63826000.0,68852000.0,71214000.0
Diluted EPS,-6.9,0.39,14.94,7.22
Basic EPS,-6.9,0.4,15.01,7.24
Diluted NI Availto Com Stockholders,-439516000.0,25247000.0,1033159000.0,515595000.0
Net Income Common Stockholders,-439516000.0,25247000.0,1033159000.0,515595000.0
Net Income,-439516000.0,25247000.0,1033159000.0,515595000.0
Minority Interests,-145000.0,-536000.0,-389000.0,-132000.0
Net Income Including Noncontrolling Interests,-439371000.0,25783000.0,1033548000.0,515727000.0
Net Income Continuous Operations,-439371000.0,25783000.0,1033548000.0,515727000.0
Tax Provision,84862000.0,158110000.0,256445000.0,68647000.0
Pretax Income,-354509000.0,183893000.0,1289993000.0,584374000.0
Other Income Expense,-866931000.0,-704157000.0,12234000.0,751000.0
Other Non Operating Income Expenses,26484000.0,14367000.0,18532000.0,12165000.0
Special Income Charges,-877744000.0,-703095000.0,0.0,-3599000.0
Other Special Charges,,7324000.0,,
Write Off,,0.0,0.0,3599000.0
Impairment Of Capital Assets,877744000.0,695771000.0,0.0,
Gain On Sale Of Security,-15671000.0,-15429000.0,-6298000.0,-7815000.0
Net Non Operating Interest Income Expense,-77514000.0,-51938000.0,-57252000.0,-52379000.0
Interest Expense Non Operating,77514000.0,51938000.0,57252000.0,52379000.0
Operating Income,589936000.0,939988000.0,1335011000.0,636002000.0
Operating Expense,2119716000.0,2003438000.0,1933723000.0,1794688000.0
Selling General And Administration,2119716000.0,2003438000.0,1933723000.0,1794688000.0
Gross Profit,2709652000.0,2943426000.0,3268734000.0,2430690000.0
Cost Of Revenue,8425463000.0,8793639000.0,7931879000.0,7121507000.0
Total Revenue,11135115000.0,11737065000.0,11200613000.0,9552197000.0
Operating Revenue,11135115000.0,11737065000.0,11200613000.0,9552197000.0
