,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,281319000.0,237359000.0,231475000.0,358861000.0
Repurchase Of Capital Stock,0.0,-87540000.0,-63189000.0,-16135000.0
Repayment Of Debt,-123995000.0,-100000000.0,-70348000.0,-578356000.0
Issuance Of Debt,123995000.0,100000000.0,70348000.0,578356000.0
Capital Expenditure,-52448000.0,-51872000.0,-50616000.0,-45628000.0
Interest Paid Supplemental Data,1870000.0,652000.0,830000.0,1142000.0
Income Tax Paid Supplemental Data,94814000.0,88677000.0,70003000.0,45046000.0
End Cash Position,611672000.0,572664000.0,625567000.0,608050000.0
Beginning Cash Position,572664000.0,625567000.0,608050000.0,274253000.0
Effect Of Exchange Rate Changes,7588000.0,-13484000.0,-7105000.0,5553000.0
Changes In Cash,31420000.0,-39419000.0,24622000.0,328244000.0
Financing Cash Flow,-147057000.0,-242378000.0,-189775000.0,-145112000.0
Cash Flow From Continuing Financing Activities,-147057000.0,-242378000.0,-189775000.0,-145112000.0
Net Other Financing Charges,-38339000.0,-49568000.0,-33890000.0,-42418000.0
Proceeds From Stock Option Exercised,940000.0,672000.0,7096000.0,4007000.0
Cash Dividends Paid,-109658000.0,-105942000.0,-99792000.0,-90566000.0
Common Stock Dividend Paid,-109658000.0,-105942000.0,-99792000.0,-90566000.0
Net Common Stock Issuance,0.0,-87540000.0,-63189000.0,-16135000.0
Common Stock Payments,0.0,-87540000.0,-63189000.0,-16135000.0
Net Issuance Payments Of Debt,0.0,0.0,0.0,0.0
Net Short Term Debt Issuance,0.0,0.0,0.0,0.0
Short Term Debt Payments,-123995000.0,-100000000.0,-70348000.0,-578356000.0
Short Term Debt Issuance,123995000.0,100000000.0,70348000.0,578356000.0
Investing Cash Flow,-155290000.0,-86272000.0,-67694000.0,68867000.0
Cash Flow From Continuing Investing Activities,-155290000.0,-86272000.0,-67694000.0,68867000.0
Net Investment Purchase And Sale,-24366000.0,0.0,0.0,137792000.0
Sale Of Investment,4452000.0,0.0,0.0,170657000.0
Purchase Of Investment,-28818000.0,0.0,0.0,-32865000.0
Net Business Purchase And Sale,-78476000.0,-34400000.0,-17078000.0,-23297000.0
Purchase Of Business,-78476000.0,-34400000.0,-17078000.0,-23297000.0
Net PPE Purchase And Sale,-9326000.0,-13142000.0,-17493000.0,-15010000.0
Purchase Of PPE,-9326000.0,-13142000.0,-17493000.0,-15010000.0
Capital Expenditure Reported,-43122000.0,-38730000.0,-33123000.0,-30618000.0
Operating Cash Flow,333767000.0,289231000.0,282091000.0,404489000.0
Cash Flow From Continuing Operating Activities,333767000.0,289231000.0,282091000.0,404489000.0
Change In Working Capital,-25678000.0,-43236000.0,-66009000.0,27112000.0
Change In Other Working Capital,-1103000.0,1813000.0,-2306000.0,-2671000.0
Change In Other Current Liabilities,-6735000.0,-6373000.0,-7001000.0,-5788000.0
Change In Other Current Assets,-25248000.0,-49527000.0,-5574000.0,67952000.0
Change In Payables And Accrued Expense,207466000.0,77867000.0,87969000.0,170482000.0
Change In Accrued Expense,1466000.0,-3417000.0,-2607000.0,14961000.0
Change In Payable,206000000.0,81284000.0,90576000.0,155521000.0
Change In Account Payable,220691000.0,86052000.0,96214000.0,139332000.0
Change In Tax Payable,-14691000.0,-4768000.0,-5638000.0,16189000.0
Change In Income Tax Payable,-14691000.0,-4768000.0,-5638000.0,16189000.0
Change In Prepaid Assets,-11898000.0,-4249000.0,2214000.0,-1977000.0
Change In Receivables,-188160000.0,-62767000.0,-141311000.0,-200886000.0
Changes In Account Receivables,-188160000.0,-62767000.0,-141311000.0,-200886000.0
Other Non Cash Items,-3113000.0,555000.0,-466000.0,-550000.0
Stock Based Compensation,29190000.0,29864000.0,27314000.0,25613000.0
Deferred Tax,-5815000.0,-6547000.0,3118000.0,10099000.0
Deferred Income Tax,-5815000.0,-6547000.0,3118000.0,10099000.0
Depreciation Amortization Depletion,76410000.0,67154000.0,60246000.0,42838000.0
Depreciation And Amortization,76410000.0,67154000.0,60246000.0,42838000.0
Depreciation,76410000.0,67154000.0,60246000.0,42838000.0
Operating Gains Losses,4718000.0,-8783000.0,,
Net Foreign Currency Exchange Gain Loss,4718000.0,-8783000.0,0.0,
Net Income From Continuing Operations,258055000.0,250224000.0,257888000.0,299377000.0
