,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,81021000.0,239088000.0,221440000.0,221130000.0
Ordinary Shares Number,1041571000.0,1044600000.0,1058646000.0,1056194000.0
Share Issued,1122592000.0,1283688000.0,1280086000.0,1277324000.0
Tangible Book Value,5383664000.0,4386690000.0,4162922000.0,2770171000.0
Invested Capital,8228744000.0,7025041000.0,6566951000.0,5160860000.0
Working Capital,4427307000.0,3762919000.0,3717034000.0,2390967000.0
Net Tangible Assets,5383664000.0,4386690000.0,4162922000.0,2770171000.0
Common Stock Equity,8228744000.0,7025041000.0,6566951000.0,5160860000.0
Total Capitalization,8228744000.0,7025041000.0,6566951000.0,5160860000.0
Total Equity Gross Minority Interest,8228744000.0,7025041000.0,6566951000.0,5160860000.0
Stockholders Equity,8228744000.0,7025041000.0,6566951000.0,5160860000.0
Gains Losses Not Affecting Retained Earnings,-125337000.0,-159073000.0,-69165000.0,3034000.0
Other Equity Adjustments,4410000.0,-159073000.0,-69165000.0,3034000.0
Foreign Currency Translation Adjustments,-128989000.0,-153230000.0,,
Unrealized Gain Loss,-758000.0,-5843000.0,,
Treasury Stock,2566383000.0,6600281000.0,5829253000.0,5815423000.0
Retained Earnings,5939736000.0,9001173000.0,7809549000.0,6432074000.0
Additional Paid In Capital,4975115000.0,4776804000.0,4652620000.0,4537982000.0
Capital Stock,5613000.0,6418000.0,3200000.0,3193000.0
Common Stock,5613000.0,6418000.0,3200000.0,3193000.0
Total Liabilities Net Minority Interest,1457778000.0,1268064000.0,1237833000.0,1041856000.0
Total Non Current Liabilities Net Minority Interest,296089000.0,266086000.0,272757000.0,291868000.0
Other Non Current Liabilities,91838000.0,42286000.0,29508000.0,27432000.0
Non Current Deferred Liabilities,204251000.0,223800000.0,243249000.0,264436000.0
Non Current Deferred Revenue,204251000.0,223800000.0,243249000.0,264436000.0
Current Liabilities,1161689000.0,1001978000.0,965076000.0,749988000.0
Current Deferred Liabilities,41914000.0,43311000.0,42530000.0,45429000.0
Current Deferred Revenue,41914000.0,43311000.0,42530000.0,45429000.0
Pensionand Other Post Retirement Benefit Plans Current,87392000.0,72463000.0,65459000.0,55015000.0
Current Provisions,,255631000.0,211461000.0,186658000.0
Payables And Accrued Expenses,1032383000.0,886204000.0,857087000.0,649544000.0
Current Accrued Expenses,453049000.0,428622000.0,422425000.0,329311000.0
Payables,579334000.0,457582000.0,434662000.0,320233000.0
Total Tax Payable,14955000.0,13317000.0,30399000.0,23433000.0
Income Tax Payable,14955000.0,13317000.0,30399000.0,23433000.0
Accounts Payable,564379000.0,444265000.0,404263000.0,296800000.0
Total Assets,9686522000.0,8293105000.0,7804784000.0,6202716000.0
Total Non Current Assets,4097526000.0,3528208000.0,3122674000.0,3061761000.0
Other Non Current Assets,110216000.0,134478000.0,80252000.0,70475000.0
Non Current Deferred Assets,175003000.0,177039000.0,225221000.0,241650000.0
Non Current Deferred Taxes Assets,175003000.0,177039000.0,225221000.0,241650000.0
Investments And Advances,76431000.0,61443000.0,99419000.0,44291000.0
Goodwill And Other Intangible Assets,2845080000.0,2638351000.0,2404029000.0,2390689000.0
Other Intangible Assets,1427139000.0,1220410000.0,1072386000.0,1059046000.0
Goodwill,1417941000.0,1417941000.0,1331643000.0,1331643000.0
Net PPE,890796000.0,516897000.0,313753000.0,314656000.0
Accumulated Depreciation,-261235000.0,-233158000.0,-224785000.0,-204754000.0
Gross PPE,1152031000.0,750055000.0,538538000.0,519410000.0
Leases,37946000.0,31327000.0,11795000.0,11524000.0
Construction In Progress,211562000.0,83553000.0,20125000.0,
Other Properties,426466000.0,244739000.0,189820000.0,185348000.0
Machinery Furniture Equipment,111853000.0,86753000.0,82372000.0,80046000.0
Buildings And Improvements,211951000.0,163885000.0,148971000.0,156616000.0
Land And Improvements,152253000.0,139798000.0,85455000.0,85876000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,5588996000.0,4764897000.0,4682110000.0,3140955000.0
Other Current Assets,116195000.0,109823000.0,82668000.0,55358000.0
Prepaid Assets,54151000.0,33785000.0,33238000.0,24733000.0
Inventory,971406000.0,935631000.0,593357000.0,333085000.0
Finished Goods,639982000.0,466551000.0,243492000.0,177919000.0
Work In Process,1403000.0,1688000.0,0.0,
Raw Materials,330021000.0,467392000.0,349865000.0,155166000.0
Receivables,1193964000.0,1016203000.0,896658000.0,666012000.0
Accounts Receivable,1193964000.0,1016203000.0,896658000.0,666012000.0
Allowance For Doubtful Accounts Receivable,-7638000.0,-10460000.0,-4676000.0,-1878000.0
Gross Accounts Receivable,1201602000.0,1026663000.0,901334000.0,667890000.0
Cash Cash Equivalents And Short Term Investments,3253280000.0,2669455000.0,3076189000.0,2061767000.0
Other Short Term Investments,955605000.0,1362314000.0,1749727000.0,881354000.0
Cash And Cash Equivalents,2297675000.0,1307141000.0,1326462000.0,1180413000.0
Cash Equivalents,,174632000.0,577373000.0,383992000.0
Cash Financial,,1132509000.0,749089000.0,796421000.0
