,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,25802000.0,25740000.0,-63645400.0,-17361000.0
Tax Rate For Calcs,0.133,0.264,0.269,0.27
Normalized EBITDA,2281500000.0,5647700000.0,3468600000.0,1306900000.0
Total Unusual Items,194000000.0,97500000.0,-236600000.0,-64300000.0
Total Unusual Items Excluding Goodwill,194000000.0,97500000.0,-236600000.0,-64300000.0
Net Income From Continuing Operation Net Minority Interest,1164900000.0,3582800000.0,1630600000.0,666100000.0
Reconciled Depreciation,960600000.0,933900000.0,812900000.0,847600000.0
Reconciled Cost Of Revenue,11485500000.0,13369400000.0,9157100000.0,7616800000.0
EBITDA,2475500000.0,5745200000.0,3232000000.0,1242600000.0
EBIT,1514900000.0,4811300000.0,2419100000.0,395000000.0
Net Interest Income,-129400000.0,-137800000.0,-169100000.0,-180600000.0
Interest Expense,189000000.0,168800000.0,194300000.0,214100000.0
Interest Income,59600000.0,31000000.0,25200000.0,33500000.0
Normalized Income,996702000.0,3511040000.0,1803554600.0,713039000.0
Net Income From Continuing And Discontinued Operation,1164900000.0,3582800000.0,1630600000.0,666100000.0
Total Expenses,12358000000.0,14339900000.0,9730800000.0,8268800000.0
Total Operating Income As Reported,1338100000.0,4785300000.0,2468500000.0,412900000.0
Diluted Average Shares,333200000.0,356000000.0,381600000.0,381300000.0
Basic Average Shares,331300000.0,339071423.0,378100000.0,379000000.0
Diluted EPS,3.5,10.06,4.27,1.75
Basic EPS,3.52,10.566505,4.31,1.76
Diluted NI Availto Com Stockholders,1164900000.0,3582800000.0,1630600000.0,666100000.0
Net Income Common Stockholders,1164900000.0,3582800000.0,1630600000.0,666100000.0
Net Income,1164900000.0,3582800000.0,1630600000.0,666100000.0
Minority Interests,-44300000.0,-31400000.0,-4300000.0,500000.0
Net Income Including Noncontrolling Interests,1209200000.0,3614200000.0,1634900000.0,665600000.0
Net Income Continuous Operations,1209200000.0,3614200000.0,1634900000.0,665600000.0
Earnings From Equity Interest Net Of Tax,60300000.0,196000000.0,7800000.0,-93800000.0
Tax Provision,177000000.0,1224300000.0,597700000.0,-578500000.0
Pretax Income,1325900000.0,4642500000.0,2224800000.0,180900000.0
Other Income Expense,117200000.0,-5000000.0,-232700000.0,-51400000.0
Other Non Operating Income Expenses,-76800000.0,-102500000.0,3900000.0,12900000.0
Special Income Charges,0.0,0.0,-158100000.0,0.0
Write Off,0.0,0.0,158100000.0,0.0
Gain On Sale Of Security,194000000.0,97500000.0,-78500000.0,-64300000.0
Net Non Operating Interest Income Expense,-129400000.0,-137800000.0,-169100000.0,-180600000.0
Interest Expense Non Operating,189000000.0,168800000.0,194300000.0,214100000.0
Interest Income Non Operating,59600000.0,31000000.0,25200000.0,33500000.0
Operating Income,1338100000.0,4785300000.0,2626600000.0,412900000.0
Operating Expense,872500000.0,970500000.0,573700000.0,652000000.0
Other Operating Expenses,372000000.0,472500000.0,143200000.0,280500000.0
Selling General And Administration,500500000.0,498000000.0,430500000.0,371500000.0
Gross Profit,2210600000.0,5755800000.0,3200300000.0,1064900000.0
Cost Of Revenue,11485500000.0,13369400000.0,9157100000.0,7616800000.0
Total Revenue,13696100000.0,19125200000.0,12357400000.0,8681700000.0
Operating Revenue,13696100000.0,19125200000.0,12357400000.0,8681700000.0
