,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,625000000.0,536000000.0,405000000.0,329000000.0
Ordinary Shares Number,368000000.0,454000000.0,579000000.0,651000000.0
Share Issued,993000000.0,990000000.0,984000000.0,980000000.0
Net Debt,21840000000.0,18075000000.0,20248000000.0,31169000000.0
Total Debt,28501000000.0,27909000000.0,26904000000.0,33095000000.0
Tangible Book Value,16160000000.0,19471000000.0,17950000000.0,13943000000.0
Invested Capital,51687000000.0,54415000000.0,51745000000.0,53783000000.0
Working Capital,11981000000.0,15222000000.0,12598000000.0,12624000000.0
Net Tangible Assets,16160000000.0,19471000000.0,17950000000.0,13943000000.0
Capital Lease Obligations,1218000000.0,1209000000.0,1365000000.0,1511000000.0
Common Stock Equity,24404000000.0,27715000000.0,26206000000.0,22199000000.0
Total Capitalization,49733000000.0,53349000000.0,51174000000.0,50929000000.0
Total Equity Gross Minority Interest,31399000000.0,35087000000.0,33581000000.0,30220000000.0
Minority Interest,6995000000.0,7372000000.0,7375000000.0,8021000000.0
Stockholders Equity,24404000000.0,27715000000.0,26206000000.0,22199000000.0
Gains Losses Not Affecting Retained Earnings,-131000000.0,2000000.0,-67000000.0,-512000000.0
Other Equity Adjustments,-131000000.0,2000000.0,-67000000.0,-512000000.0
Treasury Stock,43502000000.0,31841000000.0,19904000000.0,15157000000.0
Retained Earnings,34562000000.0,26142000000.0,12905000000.0,4650000000.0
Additional Paid In Capital,33465000000.0,33402000000.0,33262000000.0,33208000000.0
Capital Stock,10000000.0,10000000.0,10000000.0,10000000.0
Common Stock,10000000.0,10000000.0,10000000.0,10000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,54588000000.0,54817000000.0,51792000000.0,54938000000.0
Total Non Current Liabilities Net Minority Interest,34438000000.0,34797000000.0,33894000000.0,39275000000.0
Other Non Current Liabilities,1409000000.0,1304000000.0,1346000000.0,1207000000.0
Preferred Securities Outside Stock Equity,,,,968000000.0
Employee Benefits,1102000000.0,1114000000.0,1015000000.0,2121000000.0
Non Current Pension And Other Postretirement Benefit Plans,1102000000.0,1114000000.0,1015000000.0,2121000000.0
Non Current Deferred Liabilities,5834000000.0,5904000000.0,5638000000.0,6203000000.0
Non Current Deferred Taxes Liabilities,5834000000.0,5904000000.0,5638000000.0,6203000000.0
Long Term Debt And Capital Lease Obligation,26093000000.0,26475000000.0,25895000000.0,29744000000.0
Long Term Capital Lease Obligation,764000000.0,841000000.0,927000000.0,1014000000.0
Long Term Debt,25329000000.0,25634000000.0,24968000000.0,28730000000.0
Current Liabilities,20150000000.0,20020000000.0,17898000000.0,15663000000.0
Other Current Liabilities,1329000000.0,852000000.0,1047000000.0,2672000000.0
Current Debt And Capital Lease Obligation,2408000000.0,1434000000.0,1009000000.0,3351000000.0
Current Capital Lease Obligation,454000000.0,368000000.0,438000000.0,497000000.0
Current Debt,1954000000.0,1066000000.0,571000000.0,2854000000.0
Other Current Borrowings,1954000000.0,1066000000.0,571000000.0,2854000000.0
Payables And Accrued Expenses,16413000000.0,17734000000.0,15842000000.0,9640000000.0
Current Accrued Expenses,316000000.0,315000000.0,911000000.0,732000000.0
Interest Payable,316000000.0,315000000.0,,
Payables,16097000000.0,17419000000.0,15842000000.0,9640000000.0
Other Payable,1115000000.0,967000000.0,911000000.0,732000000.0
Total Tax Payable,1221000000.0,1140000000.0,1231000000.0,1105000000.0
Accounts Payable,13761000000.0,15312000000.0,13700000000.0,7803000000.0
Total Assets,85987000000.0,89904000000.0,85373000000.0,85158000000.0
Total Non Current Assets,53856000000.0,54662000000.0,54877000000.0,56871000000.0
Other Non Current Assets,3007000000.0,3081000000.0,2400000000.0,2637000000.0
Investments And Advances,6260000000.0,6466000000.0,5409000000.0,5422000000.0
Long Term Equity Investment,6260000000.0,6466000000.0,5409000000.0,5422000000.0
Goodwill And Other Intangible Assets,8244000000.0,8244000000.0,8256000000.0,8256000000.0
Other Intangible Assets,,,2135000000.0,2360000000.0
Goodwill,8244000000.0,8244000000.0,8256000000.0,8256000000.0
Net PPE,36345000000.0,36871000000.0,38812000000.0,40556000000.0
Accumulated Depreciation,-28636000000.0,-25844000000.0,-23193000000.0,-20304000000.0
Gross PPE,64981000000.0,62715000000.0,62005000000.0,60860000000.0
Other Properties,64981000000.0,62715000000.0,62005000000.0,60860000000.0
Current Assets,32131000000.0,35242000000.0,30496000000.0,28287000000.0
Other Current Assets,971000000.0,1168000000.0,568000000.0,2724000000.0
Assets Held For Sale Current,,,0.0,11389000000.0
Inventory,9317000000.0,8827000000.0,8055000000.0,7999000000.0
Finished Goods,4940000000.0,4748000000.0,4460000000.0,4478000000.0
Raw Materials,4377000000.0,4079000000.0,3595000000.0,3521000000.0
Receivables,11619000000.0,13477000000.0,11034000000.0,5760000000.0
Accounts Receivable,11619000000.0,13477000000.0,11034000000.0,5760000000.0
Allowance For Doubtful Accounts Receivable,-44000000.0,-29000000.0,-40000000.0,-18000000.0
Gross Accounts Receivable,11663000000.0,13506000000.0,11074000000.0,5778000000.0
Cash Cash Equivalents And Short Term Investments,10224000000.0,11770000000.0,10839000000.0,415000000.0
Other Short Term Investments,4781000000.0,3145000000.0,5548000000.0,0.0
Cash And Cash Equivalents,5443000000.0,8625000000.0,5291000000.0,415000000.0
Cash Equivalents,1081000000.0,3158000000.0,1679000000.0,
Cash Financial,4362000000.0,5467000000.0,3612000000.0,
