,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,580635000.0,187831000.0,224797000.0,212193000.0
Repurchase Of Capital Stock,-3741000.0,0.0,0.0,
Capital Expenditure,-57578000.0,-58843000.0,-95213000.0,-55610000.0
Income Tax Paid Supplemental Data,85128000.0,85031000.0,21148000.0,1405000.0
End Cash Position,561181000.0,288729000.0,189389000.0,335071000.0
Beginning Cash Position,288729000.0,189389000.0,335071000.0,173076000.0
Effect Of Exchange Rate Changes,-3310000.0,-6039000.0,3400000.0,4926000.0
Changes In Cash,275762000.0,105379000.0,-149082000.0,157069000.0
Financing Cash Flow,-183725000.0,-128785000.0,-90206000.0,-71557000.0
Cash Flow From Continuing Financing Activities,-183725000.0,-128785000.0,-90206000.0,-71557000.0
Net Other Financing Charges,-2826000.0,-2055000.0,-2834000.0,-5357000.0
Proceeds From Stock Option Exercised,8686000.0,11235000.0,21992000.0,22586000.0
Cash Dividends Paid,-185844000.0,-137965000.0,-109364000.0,-88786000.0
Common Stock Dividend Paid,-185844000.0,-137965000.0,-109364000.0,-88786000.0
Net Common Stock Issuance,-3741000.0,0.0,0.0,
Common Stock Payments,-3741000.0,0.0,0.0,
Investing Cash Flow,-178726000.0,-12510000.0,-378886000.0,-39177000.0
Cash Flow From Continuing Investing Activities,-178726000.0,-12510000.0,-378886000.0,-39177000.0
Net Other Investing Changes,-6853000.0,-16492000.0,-2542000.0,-2696000.0
Net Investment Purchase And Sale,-114295000.0,62825000.0,-281131000.0,19129000.0
Sale Of Investment,468308000.0,128610000.0,113755000.0,357392000.0
Purchase Of Investment,-582603000.0,-65785000.0,-394886000.0,-338263000.0
Net Intangibles Purchase And Sale,0.0,0.0,-793000.0,0.0
Purchase Of Intangibles,0.0,0.0,-793000.0,0.0
Net PPE Purchase And Sale,-57578000.0,-58843000.0,-94420000.0,-55610000.0
Sale Of PPE,,,25000.0,29000.0
Purchase Of PPE,-57578000.0,-58843000.0,-94420000.0,-55610000.0
Operating Cash Flow,638213000.0,246674000.0,320010000.0,267803000.0
Cash Flow From Continuing Operating Activities,638213000.0,246674000.0,320010000.0,267803000.0
Change In Working Capital,30324000.0,-386956000.0,-71640000.0,3003000.0
Change In Other Working Capital,-31187000.0,28514000.0,16536000.0,18524000.0
Change In Other Current Assets,-24310000.0,-177284000.0,-15311000.0,-3003000.0
Change In Payables And Accrued Expense,-11833000.0,56304000.0,83970000.0,49632000.0
Change In Accrued Expense,-16322000.0,50985000.0,39273000.0,38475000.0
Change In Payable,4489000.0,5319000.0,44697000.0,11157000.0
Change In Account Payable,4797000.0,-11240000.0,32926000.0,10410000.0
Change In Tax Payable,-308000.0,16559000.0,11771000.0,747000.0
Change In Income Tax Payable,-308000.0,16559000.0,11771000.0,747000.0
Change In Inventory,63583000.0,-188073000.0,-102323000.0,-29503000.0
Change In Receivables,2884000.0,-77903000.0,-37976000.0,-14123000.0
Changes In Account Receivables,2884000.0,-77903000.0,-37976000.0,-14123000.0
Other Non Cash Items,-23000.0,97000.0,110000.0,-1072000.0
Stock Based Compensation,149711000.0,160992000.0,123479000.0,85551000.0
Amortization Of Securities,-5277000.0,4375000.0,4674000.0,2979000.0
Deferred Tax,5865000.0,-13220000.0,-2772000.0,-1627000.0
Deferred Income Tax,5865000.0,-13220000.0,-2772000.0,-1627000.0
Depreciation Amortization Depletion,40168000.0,37114000.0,28699000.0,19186000.0
Depreciation And Amortization,40168000.0,37114000.0,28699000.0,19186000.0
Operating Gains Losses,-9929000.0,6600000.0,-4563000.0,-4592000.0
Pension And Employee Benefit Expense,-8505000.0,6600000.0,-4563000.0,-4592000.0
Earnings Losses From Equity Investments,-1424000.0,0.0,0.0,
Gain Loss On Investment Securities,,6600000.0,-4563000.0,-4592000.0
Net Income From Continuing Operations,427374000.0,437672000.0,242023000.0,164375000.0
