,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,-434105190.0
Tax Rate For Calcs,0.21,0.002984,0.27,0.27
Normalized EBITDA,1773943000.0,-665138000.0,-1669791000.0,-1170318000.0
Total Unusual Items,,0.0,0.0,-1607797000.0
Total Unusual Items Excluding Goodwill,,0.0,0.0,-1607797000.0
Net Income From Continuing Operation Net Minority Interest,166178000.0,-2269909000.0,-4506587000.0,-4012514000.0
Reconciled Depreciation,883236000.0,810053000.0,758604000.0,739619000.0
Reconciled Cost Of Revenue,5393919000.0,4206359000.0,1550278000.0,1671282000.0
EBITDA,1773943000.0,-665138000.0,-1669791000.0,-2778115000.0
EBIT,890707000.0,-1475191000.0,-2428395000.0,-3517734000.0
Net Interest Income,-727531000.0,-801512000.0,-2072925000.0,-482313000.0
Interest Expense,727531000.0,801512000.0,2072925000.0,482313000.0
Normalized Income,166178000.0,-2269909000.0,-4506587000.0,-2838822190.0
Net Income From Continuing And Discontinued Operation,166178000.0,-2269909000.0,-4506587000.0,-4012514000.0
Total Expenses,7619013000.0,6395517000.0,3200334000.0,3156246000.0
Total Operating Income As Reported,930911000.0,-1551757000.0,-2552348000.0,-3484135000.0
Diluted Average Shares,427400849.0,419773195.0,365449967.0,254728932.0
Basic Average Shares,424424962.0,419773195.0,365449967.0,254728932.0
Diluted EPS,0.39,-5.41,-12.33,-15.75
Basic EPS,0.39,-5.41,-12.33,-15.75
Diluted NI Availto Com Stockholders,166178000.0,-2269909000.0,-4506587000.0,-4012514000.0
Net Income Common Stockholders,166178000.0,-2269909000.0,-4506587000.0,-4012514000.0
Net Income,166178000.0,-2269909000.0,-4506587000.0,-4012514000.0
Net Income Including Noncontrolling Interests,166178000.0,-2269909000.0,-4506587000.0,-4012514000.0
Net Income Continuous Operations,166178000.0,-2269909000.0,-4506587000.0,-4012514000.0
Tax Provision,-3002000.0,-6794000.0,5267000.0,12467000.0
Pretax Income,163176000.0,-2276703000.0,-4501320000.0,-4000047000.0
Other Income Expense,-40204000.0,76566000.0,123953000.0,-1641396000.0
Other Non Operating Income Expenses,-40204000.0,76566000.0,123953000.0,-33599000.0
Special Income Charges,,0.0,0.0,-1607797000.0
Other Special Charges,,,,27800000.0
Impairment Of Capital Assets,,0.0,0.0,1607797000.0
Net Non Operating Interest Income Expense,-727531000.0,-801512000.0,-2072925000.0,-482313000.0
Total Other Finance Cost,,,,42200000.0
Interest Expense Non Operating,727531000.0,801512000.0,2072925000.0,482313000.0
Operating Income,930911000.0,-1551757000.0,-2552348000.0,-1876338000.0
Operating Expense,2150426000.0,2128431000.0,1592297000.0,1463185000.0
Depreciation Amortization Depletion Income Statement,808568000.0,749326000.0,700845000.0,717840000.0
Depreciation And Amortization In Income Statement,808568000.0,749326000.0,700845000.0,717840000.0
Selling General And Administration,1341858000.0,1379105000.0,891452000.0,745345000.0
Gross Profit,3081337000.0,576674000.0,-960051000.0,-413153000.0
Cost Of Revenue,5468587000.0,4267086000.0,1608037000.0,1693061000.0
Total Revenue,8549924000.0,4843760000.0,647986000.0,1279908000.0
Operating Revenue,8549924000.0,4843760000.0,647986000.0,1279908000.0
