,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,5129203.539823,-610561.056106,-147859.922179
Tax Rate For Calcs,0.097276,0.142478,0.122112,0.07393
Normalized EBITDA,772000000.0,545000000.0,479000000.0,739000000.0
Total Unusual Items,0.0,36000000.0,-5000000.0,-2000000.0
Total Unusual Items Excluding Goodwill,0.0,36000000.0,-5000000.0,-2000000.0
Net Income From Continuing Operation Net Minority Interest,-250000000.0,325000000.0,-21000000.0,-50000000.0
Reconciled Depreciation,635000000.0,573000000.0,405000000.0,374000000.0
Reconciled Cost Of Revenue,406000000.0,348000000.0,220000000.0,260000000.0
EBITDA,772000000.0,581000000.0,474000000.0,737000000.0
EBIT,137000000.0,8000000.0,69000000.0,363000000.0
Net Interest Income,-394000000.0,848000000.0,50000000.0,-620000000.0
Interest Expense,394000000.0,853000000.0,,620000000.0
Interest Income,,848000000.0,50000000.0,
Normalized Income,-250000000.0,294129203.539823,-16610561.056106,-48147859.922179
Net Income From Continuing And Discontinued Operation,200000000.0,477000000.0,137000000.0,-50000000.0
Total Expenses,1106000000.0,961000000.0,653000000.0,662000000.0
Total Operating Income As Reported,-28000000.0,44000000.0,64000000.0,253000000.0
Diluted Average Shares,91600000.0,84900000.0,77400000.0,67901235.0
Basic Average Shares,91600000.0,84900000.0,77200000.0,67901235.0
Diluted EPS,2.18,5.62,1.77,-0.81
Basic EPS,2.18,5.62,1.77,-0.81
Diluted NI Availto Com Stockholders,200000000.0,477000000.0,137000000.0,-55000000.0
Average Dilution Earnings,,,,0.0
Net Income Common Stockholders,200000000.0,477000000.0,137000000.0,-55000000.0
Preferred Stock Dividends,,,,5000000.0
Net Income,200000000.0,477000000.0,137000000.0,-50000000.0
Minority Interests,-18000000.0,-644000000.0,-287000000.0,188000000.0
Net Income Including Noncontrolling Interests,218000000.0,1121000000.0,424000000.0,-238000000.0
Net Income Discontinuous Operations,450000000.0,152000000.0,158000000.0,
Net Income Continuous Operations,-232000000.0,969000000.0,266000000.0,-238000000.0
Tax Provision,-25000000.0,161000000.0,37000000.0,-19000000.0
Pretax Income,-257000000.0,1130000000.0,303000000.0,-257000000.0
Other Income Expense,165000000.0,274000000.0,184000000.0,108000000.0
Other Non Operating Income Expenses,9000000.0,5000000.0,4000000.0,5000000.0
Special Income Charges,0.0,36000000.0,-5000000.0,-2000000.0
Gain On Sale Of Business,0.0,36000000.0,-5000000.0,-2000000.0
Earnings From Equity Interest,156000000.0,233000000.0,185000000.0,105000000.0
Net Non Operating Interest Income Expense,-394000000.0,848000000.0,50000000.0,-620000000.0
Interest Expense Non Operating,394000000.0,853000000.0,,620000000.0
Interest Income Non Operating,,848000000.0,50000000.0,
Operating Income,-28000000.0,8000000.0,69000000.0,255000000.0
Operating Expense,586000000.0,434000000.0,279000000.0,299000000.0
Other Taxes,65000000.0,40000000.0,28000000.0,28000000.0
Depreciation Amortization Depletion Income Statement,521000000.0,394000000.0,251000000.0,271000000.0
Depreciation And Amortization In Income Statement,521000000.0,394000000.0,251000000.0,271000000.0
Gross Profit,558000000.0,442000000.0,348000000.0,554000000.0
Cost Of Revenue,520000000.0,527000000.0,374000000.0,363000000.0
Total Revenue,1078000000.0,969000000.0,722000000.0,917000000.0
Operating Revenue,1078000000.0,969000000.0,722000000.0,917000000.0
