,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,953000000.0,-140000000.0,-393000000.0,90000000.0,
Repurchase Of Capital Stock,-229000000.0,0.0,0.0,,
Repayment Of Debt,-431000000.0,-192000000.0,-4000000.0,-183000000.0,
Issuance Of Debt,420000000.0,184000000.0,20000000.0,60000000.0,
Capital Expenditure,-351000000.0,-283000000.0,-214000000.0,-201000000.0,
Interest Paid Supplemental Data,86000000.0,85000000.0,75000000.0,76000000.0,
Income Tax Paid Supplemental Data,161000000.0,114000000.0,117000000.0,78000000.0,
End Cash Position,1230000000.0,816000000.0,1069000000.0,1591000000.0,
Beginning Cash Position,816000000.0,1069000000.0,1591000000.0,1692000000.0,
Effect Of Exchange Rate Changes,-13000000.0,0.0,-9000000.0,-7000000.0,
Changes In Cash,427000000.0,-253000000.0,-513000000.0,-94000000.0,
Financing Cash Flow,-406000000.0,-103000000.0,-96000000.0,-189000000.0,
Cash Flow From Continuing Financing Activities,-406000000.0,-103000000.0,-96000000.0,-189000000.0,
Net Other Financing Charges,-30000000.0,7000000.0,-10000000.0,-20000000.0,
Cash Dividends Paid,-108000000.0,-79000000.0,-78000000.0,-20000000.0,
Common Stock Dividend Paid,-108000000.0,-79000000.0,-78000000.0,-20000000.0,
Net Common Stock Issuance,-229000000.0,0.0,0.0,,
Common Stock Payments,-229000000.0,0.0,0.0,,
Net Issuance Payments Of Debt,-39000000.0,-31000000.0,-8000000.0,-149000000.0,
Net Short Term Debt Issuance,,-8000000.0,16000000.0,-123000000.0,-181000000.0
Short Term Debt Payments,,-10000000.0,-4000000.0,-183000000.0,-217000000.0
Short Term Debt Issuance,,2000000.0,20000000.0,60000000.0,36000000.0
Net Long Term Debt Issuance,-39000000.0,-31000000.0,-8000000.0,-149000000.0,
Long Term Debt Payments,-431000000.0,-192000000.0,-4000000.0,-183000000.0,
Long Term Debt Issuance,420000000.0,184000000.0,20000000.0,60000000.0,
Investing Cash Flow,-471000000.0,-293000000.0,-238000000.0,-196000000.0,
Cash Flow From Continuing Investing Activities,-471000000.0,-293000000.0,-238000000.0,-196000000.0,
Net Other Investing Changes,2000000.0,12000000.0,25000000.0,57000000.0,
Net Business Purchase And Sale,-122000000.0,-22000000.0,-49000000.0,-52000000.0,
Sale Of Business,176000000.0,0.0,0.0,,
Purchase Of Business,-298000000.0,-22000000.0,-49000000.0,-52000000.0,
Net PPE Purchase And Sale,-351000000.0,-283000000.0,-214000000.0,-201000000.0,
Purchase Of PPE,-351000000.0,-283000000.0,-214000000.0,-201000000.0,
Operating Cash Flow,1304000000.0,143000000.0,-179000000.0,291000000.0,
Cash Flow From Continuing Operating Activities,1304000000.0,143000000.0,-179000000.0,291000000.0,
Change In Working Capital,215000000.0,-584000000.0,-759000000.0,40000000.0,
Change In Other Working Capital,-184000000.0,267000000.0,-20000000.0,-96000000.0,
Change In Payables And Accrued Expense,-143000000.0,-126000000.0,395000000.0,-7000000.0,
Change In Accrued Expense,-51000000.0,-116000000.0,101000000.0,-97000000.0,
Change In Payable,-92000000.0,-10000000.0,294000000.0,90000000.0,
Change In Account Payable,-87000000.0,-4000000.0,289000000.0,118000000.0,
Change In Tax Payable,-5000000.0,-6000000.0,5000000.0,-28000000.0,
Change In Income Tax Payable,-5000000.0,-6000000.0,5000000.0,-28000000.0,
Change In Prepaid Assets,17000000.0,-40000000.0,6000000.0,28000000.0,
Change In Inventory,270000000.0,-361000000.0,-480000000.0,17000000.0,
Change In Receivables,255000000.0,-324000000.0,-660000000.0,98000000.0,
Changes In Account Receivables,93000000.0,-269000000.0,-440000000.0,-52000000.0,
Other Non Cash Items,43000000.0,-50000000.0,18000000.0,16000000.0,
Stock Based Compensation,70000000.0,66000000.0,67000000.0,78000000.0,
Provisionand Write Offof Assets,31000000.0,28000000.0,-18000000.0,73000000.0,
Asset Impairment Charge,0.0,4000000.0,127000000.0,0.0,
Deferred Tax,49000000.0,-489000000.0,-2000000.0,11000000.0,
Deferred Income Tax,49000000.0,-489000000.0,-2000000.0,11000000.0,
Depreciation Amortization Depletion,343000000.0,302000000.0,301000000.0,306000000.0,
Depreciation And Amortization,343000000.0,302000000.0,301000000.0,306000000.0,
Operating Gains Losses,-82000000.0,-119000000.0,-68000000.0,12000000.0,
Earnings Losses From Equity Investments,-36000000.0,-119000000.0,-68000000.0,5000000.0,
Gain Loss On Investment Securities,84000000.0,,,,
Gain Loss On Sale Of Business,-130000000.0,0.0,0.0,,
Net Income From Continuing Operations,635000000.0,985000000.0,155000000.0,-245000000.0,
