,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,59199520.0,194335971.0,179793275.0,178825915.0
Ordinary Shares Number,208130950.0,229561030.0,243753899.0,244231933.0
Share Issued,267330470.0,423897001.0,423547174.0,423057848.0
Net Debt,10212000000.0,7609000000.0,7720000000.0,4787000000.0
Total Debt,10971000000.0,8302000000.0,8287000000.0,9039000000.0
Tangible Book Value,-6750000000.0,46000000.0,-706000000.0,433000000.0
Invested Capital,13009000000.0,11867000000.0,11570000000.0,10372000000.0
Working Capital,227000000.0,3249000000.0,2926000000.0,4113000000.0
Net Tangible Assets,-6100000000.0,46000000.0,-706000000.0,433000000.0
Capital Lease Obligations,218000000.0,263000000.0,317000000.0,347000000.0
Common Stock Equity,2256000000.0,3828000000.0,3600000000.0,1680000000.0
Preferred Stock Equity,650000000.0,,,
Total Capitalization,13039000000.0,11804000000.0,11566000000.0,10371000000.0
Total Equity Gross Minority Interest,2906000000.0,3828000000.0,3600000000.0,1680000000.0
Minority Interest,,,,0.0
Stockholders Equity,2906000000.0,3828000000.0,3600000000.0,1680000000.0
Gains Losses Not Affecting Retained Earnings,-91000000.0,-177000000.0,-126000000.0,-206000000.0
Other Equity Adjustments,-91000000.0,-177000000.0,-126000000.0,-206000000.0
Treasury Stock,1892000000.0,5864000000.0,5273000000.0,5232000000.0
Retained Earnings,820000000.0,1408000000.0,464000000.0,-1403000000.0
Additional Paid In Capital,3416000000.0,8457000000.0,8531000000.0,8517000000.0
Capital Stock,653000000.0,4000000.0,4000000.0,4000000.0
Common Stock,3000000.0,4000000.0,4000000.0,4000000.0
Preferred Stock,650000000.0,0.0,,
Total Liabilities Net Minority Interest,23132000000.0,25318000000.0,19582000000.0,13222000000.0
Total Non Current Liabilities Net Minority Interest,13632000000.0,12336000000.0,11667000000.0,11307000000.0
Other Non Current Liabilities,947000000.0,973000000.0,993000000.0,1066000000.0
Preferred Securities Outside Stock Equity,,,,0.0
Derivative Product Liabilities,1488000000.0,2246000000.0,1412000000.0,385000000.0
Non Current Deferred Liabilities,936000000.0,144000000.0,73000000.0,19000000.0
Non Current Deferred Revenue,914000000.0,10000000.0,,
Non Current Deferred Taxes Liabilities,22000000.0,134000000.0,73000000.0,19000000.0
Long Term Debt And Capital Lease Obligation,10261000000.0,8156000000.0,8202000000.0,8969000000.0
Long Term Capital Lease Obligation,128000000.0,180000000.0,236000000.0,278000000.0
Long Term Debt,10133000000.0,7976000000.0,7966000000.0,8691000000.0
Long Term Provisions,,817000000.0,987000000.0,868000000.0
Current Liabilities,9500000000.0,12982000000.0,7915000000.0,1915000000.0
Other Current Liabilities,4103000000.0,7903000000.0,4232000000.0,518000000.0
Current Deferred Liabilities,720000000.0,176000000.0,,
Current Deferred Revenue,720000000.0,176000000.0,,
Current Debt And Capital Lease Obligation,710000000.0,146000000.0,85000000.0,70000000.0
Current Capital Lease Obligation,90000000.0,83000000.0,81000000.0,69000000.0
Current Debt,620000000.0,63000000.0,4000000.0,1000000.0
Other Current Borrowings,620000000.0,63000000.0,4000000.0,1000000.0
Payables And Accrued Expenses,3967000000.0,4757000000.0,3598000000.0,1327000000.0
Current Accrued Expenses,1642000000.0,1114000000.0,1324000000.0,678000000.0
Payables,2325000000.0,3643000000.0,2274000000.0,649000000.0
Accounts Payable,2325000000.0,3643000000.0,2274000000.0,649000000.0
Total Assets,26038000000.0,29146000000.0,23182000000.0,14902000000.0
Total Non Current Assets,16311000000.0,12915000000.0,12341000000.0,8874000000.0
Other Non Current Assets,777000000.0,256000000.0,229000000.0,216000000.0
Non Current Deferred Assets,2251000000.0,1881000000.0,2155000000.0,3066000000.0
Non Current Deferred Taxes Assets,2251000000.0,1881000000.0,2155000000.0,3066000000.0
Financial Assets,2293000000.0,4108000000.0,2527000000.0,261000000.0
Investments And Advances,42000000.0,971000000.0,1165000000.0,1236000000.0
Other Investments,0.0,838000000.0,1008000000.0,890000000.0
Long Term Equity Investment,42000000.0,133000000.0,157000000.0,346000000.0
Investmentsin Associatesat Cost,,,157000000.0,346000000.0
Goodwill And Other Intangible Assets,9006000000.0,3782000000.0,4306000000.0,1247000000.0
Other Intangible Assets,3927000000.0,2132000000.0,2511000000.0,668000000.0
Goodwill,5079000000.0,1650000000.0,1795000000.0,579000000.0
Net PPE,1942000000.0,1917000000.0,1959000000.0,2848000000.0
Accumulated Depreciation,-1295000000.0,-1478000000.0,-1308000000.0,-1936000000.0
Gross PPE,3237000000.0,3395000000.0,3267000000.0,4784000000.0
Construction In Progress,152000000.0,197000000.0,124000000.0,97000000.0
Other Properties,3085000000.0,3198000000.0,3143000000.0,4687000000.0
Current Assets,9727000000.0,16231000000.0,10841000000.0,6028000000.0
Other Current Assets,626000000.0,383000000.0,395000000.0,257000000.0
Hedging Assets Current,3862000000.0,7886000000.0,4613000000.0,560000000.0
Restricted Cash,549000000.0,2008000000.0,1151000000.0,75000000.0
Prepaid Assets,,383000000.0,395000000.0,257000000.0
Inventory,607000000.0,751000000.0,498000000.0,327000000.0
Other Inventories,164000000.0,108000000.0,,
Receivables,3542000000.0,4773000000.0,3934000000.0,904000000.0
Other Receivables,,,689000000.0,
Accounts Receivable,3542000000.0,4773000000.0,3245000000.0,904000000.0
Cash Cash Equivalents And Short Term Investments,541000000.0,430000000.0,250000000.0,3905000000.0
Cash And Cash Equivalents,541000000.0,430000000.0,250000000.0,3905000000.0
