,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,40045300.0,36743215.0,37409649.0,36882346.0
Preferred Shares Number,16000000.0,16000000.0,16000000.0,16000000.0
Ordinary Shares Number,205126224.0,208428309.0,207761875.0,208289178.0
Share Issued,245171524.0,245171524.0,245171524.0,245171524.0
Total Debt,13406000000.0,12382700000.0,7235000000.0,8601000000.0
Tangible Book Value,10310700000.0,9683300000.0,10425700000.0,10096200000.0
Invested Capital,24419000000.0,22757300000.0,18366900000.0,19404400000.0
Net Tangible Assets,11195600000.0,10568200000.0,11310600000.0,10981100000.0
Capital Lease Obligations,,,663100000.0,700600000.0
Common Stock Equity,11013000000.0,10374600000.0,11131900000.0,10803400000.0
Preferred Stock Equity,884900000.0,884900000.0,884900000.0,884900000.0
Total Capitalization,25303900000.0,23642200000.0,18752000000.0,20289300000.0
Total Equity Gross Minority Interest,11897900000.0,11259500000.0,12016800000.0,11688300000.0
Stockholders Equity,11897900000.0,11259500000.0,12016800000.0,11688300000.0
Gains Losses Not Affecting Retained Earnings,-1137900000.0,-1569200000.0,-35600000.0,428000000.0
Other Equity Adjustments,-1137900000.0,-1569200000.0,-35600000.0,428000000.0
Treasury Stock,3501100000.0,3246800000.0,3297700000.0,3204500000.0
Retained Earnings,14233800000.0,13798500000.0,13117300000.0,12207700000.0
Additional Paid In Capital,1009600000.0,983500000.0,939300000.0,963600000.0
Capital Stock,1293500000.0,1293500000.0,1293500000.0,1293500000.0
Common Stock,408600000.0,408600000.0,408600000.0,408600000.0
Preferred Stock,884900000.0,884900000.0,884900000.0,884900000.0
Total Liabilities Net Minority Interest,138885200000.0,143777200000.0,171873000000.0,158315600000.0
Derivative Product Liabilities,,,851700000.0,2065700000.0
Long Term Debt And Capital Lease Obligation,13406000000.0,12382700000.0,6735200000.0,8601000000.0
Long Term Capital Lease Obligation,,,663100000.0,700600000.0
Long Term Debt,13406000000.0,12382700000.0,6735200000.0,8601000000.0
Current Debt And Capital Lease Obligation,,0.0,499800000.0,
Current Debt,,0.0,499800000.0,
Current Notes Payable,,0.0,499800000.0,
Total Assets,150783100000.0,155036700000.0,183889800000.0,170003900000.0
Investments And Advances,49311500000.0,51831200000.0,61575300000.0,59813600000.0
Held To Maturity Securities,19465100000.0,25036100000.0,23564500000.0,17791100000.0
Available For Sale Securities,19746000000.0,20548900000.0,32981600000.0,34423300000.0
Trading Securities,0.0,95200000.0,300000.0,500000.0
Goodwill And Other Intangible Assets,702300000.0,691300000.0,706200000.0,707200000.0
Other Intangible Assets,,,1774200000.0,1705500000.0
Goodwill,702300000.0,691300000.0,706200000.0,707200000.0
Net PPE,502200000.0,500500000.0,488700000.0,514900000.0
Accumulated Depreciation,-828900000.0,-749500000.0,-732400000.0,-1097700000.0
Gross PPE,1331100000.0,1250000000.0,1221100000.0,1612600000.0
Leases,530000000.0,514100000.0,513600000.0,523900000.0
Other Properties,536500000.0,499700000.0,478400000.0,816400000.0
Buildings And Improvements,253100000.0,224700000.0,217600000.0,257800000.0
Land And Improvements,11500000.0,11500000.0,11500000.0,14500000.0
Receivables,212600000.0,1698300000.0,1952200000.0,1171600000.0
Other Receivables,212600000.0,1698300000.0,1952200000.0,1171600000.0
Other Short Term Investments,10100400000.0,26699900000.0,38010500000.0,42022000000.0
Cash And Cash Equivalents,41056700000.0,46625700000.0,69588400000.0,64265700000.0
Cash Financial,4791500000.0,4654200000.0,3056800000.0,4389500000.0
Cash Cash Equivalents And Federal Funds Sold,41841400000.0,47728000000.0,70274800000.0,65862200000.0
