,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,26200000.0,25300000.0,25000000.0,24500000.0,
Ordinary Shares Number,416100000.0,414300000.0,413600000.0,425500000.0,
Share Issued,442300000.0,439600000.0,438600000.0,450000000.0,
Net Debt,4397000000.0,4572000000.0,5090000000.0,4446000000.0,
Total Debt,5123000000.0,5472000000.0,6010000000.0,5508000000.0,
Tangible Book Value,-2295000000.0,-2447000000.0,-2428000000.0,-2716000000.0,
Invested Capital,7346000000.0,8016000000.0,8896000000.0,9044000000.0,
Working Capital,338000000.0,457000000.0,974000000.0,1035000000.0,
Net Tangible Assets,-2295000000.0,-2447000000.0,-2428000000.0,-2716000000.0,
Capital Lease Obligations,528000000.0,568000000.0,633000000.0,622000000.0,
Common Stock Equity,2751000000.0,3112000000.0,3519000000.0,4158000000.0,
Total Capitalization,7259000000.0,7687000000.0,8275000000.0,9041000000.0,
Total Equity Gross Minority Interest,2751000000.0,3112000000.0,3519000000.0,4158000000.0,
Minority Interest,,,,0.0,26000000.0
Stockholders Equity,2751000000.0,3112000000.0,3519000000.0,4158000000.0,
Gains Losses Not Affecting Retained Earnings,-981000000.0,-890000000.0,-1011000000.0,-882000000.0,
Other Equity Adjustments,-981000000.0,-890000000.0,-1011000000.0,-882000000.0,
Treasury Stock,634000000.0,627000000.0,623000000.0,609000000.0,
Retained Earnings,-2942000000.0,-2726000000.0,-2338000000.0,-2535000000.0,
Additional Paid In Capital,6866000000.0,6915000000.0,7052000000.0,7734000000.0,
Capital Stock,442000000.0,440000000.0,439000000.0,450000000.0,
Common Stock,442000000.0,440000000.0,439000000.0,450000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,8253000000.0,9051000000.0,9743000000.0,10111000000.0,
Total Non Current Liabilities Net Minority Interest,5816000000.0,6154000000.0,6665000000.0,6794000000.0,
Other Non Current Liabilities,712000000.0,892000000.0,877000000.0,983000000.0,
Non Current Deferred Liabilities,178000000.0,241000000.0,520000000.0,428000000.0,
Non Current Deferred Taxes Liabilities,178000000.0,241000000.0,520000000.0,428000000.0,
Long Term Debt And Capital Lease Obligation,4926000000.0,5021000000.0,5268000000.0,5383000000.0,
Long Term Capital Lease Obligation,418000000.0,446000000.0,512000000.0,500000000.0,
Long Term Debt,4508000000.0,4575000000.0,4756000000.0,4883000000.0,
Current Liabilities,2437000000.0,2897000000.0,3078000000.0,3317000000.0,
Current Debt And Capital Lease Obligation,197000000.0,451000000.0,742000000.0,125000000.0,
Current Capital Lease Obligation,110000000.0,122000000.0,121000000.0,122000000.0,
Current Debt,87000000.0,329000000.0,621000000.0,3000000.0,
Other Current Borrowings,87000000.0,329000000.0,621000000.0,3000000.0,
Pensionand Other Post Retirement Benefit Plans Current,249000000.0,190000000.0,123000000.0,270000000.0,
Payables And Accrued Expenses,1991000000.0,2256000000.0,2213000000.0,2922000000.0,
Current Accrued Expenses,1012000000.0,1164000000.0,1098000000.0,1199000000.0,
Interest Payable,72000000.0,74000000.0,63000000.0,56000000.0,
Payables,979000000.0,1092000000.0,1115000000.0,1723000000.0,
Total Tax Payable,88000000.0,89000000.0,53000000.0,43000000.0,
Income Tax Payable,88000000.0,89000000.0,53000000.0,43000000.0,
Accounts Payable,891000000.0,1003000000.0,1062000000.0,1680000000.0,
Total Assets,11004000000.0,12163000000.0,13262000000.0,14269000000.0,
Total Non Current Assets,8229000000.0,8809000000.0,9210000000.0,9917000000.0,
Other Non Current Assets,754000000.0,717000000.0,691000000.0,467000000.0,
Non Current Deferred Assets,806000000.0,806000000.0,810000000.0,814000000.0,
Non Current Deferred Taxes Assets,806000000.0,806000000.0,810000000.0,814000000.0,
Goodwill And Other Intangible Assets,5046000000.0,5559000000.0,5947000000.0,6874000000.0,
Other Intangible Assets,2008000000.0,2488000000.0,2649000000.0,3370000000.0,
Goodwill,3038000000.0,3071000000.0,3298000000.0,3504000000.0,
Net PPE,1623000000.0,1727000000.0,1762000000.0,1762000000.0,
Accumulated Depreciation,-1822000000.0,-2058000000.0,-1889000000.0,-1943000000.0,
Gross PPE,3445000000.0,3785000000.0,3651000000.0,3705000000.0,
Other Properties,466000000.0,515000000.0,578000000.0,558000000.0,
Machinery Furniture Equipment,2392000000.0,2517000000.0,2349000000.0,2387000000.0,
Buildings And Improvements,522000000.0,678000000.0,648000000.0,678000000.0,
Land And Improvements,65000000.0,75000000.0,76000000.0,82000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,2775000000.0,3354000000.0,4052000000.0,4352000000.0,
Other Current Assets,299000000.0,296000000.0,312000000.0,325000000.0,
Prepaid Assets,,,,325000000.0,331000000.0
Inventory,1400000000.0,1531000000.0,2203000000.0,2087000000.0,
Finished Goods,1062000000.0,1144000000.0,1700000000.0,1610000000.0,
Work In Process,155000000.0,173000000.0,218000000.0,167000000.0,
Raw Materials,183000000.0,214000000.0,285000000.0,310000000.0,
Receivables,878000000.0,1195000000.0,1250000000.0,1500000000.0,
Accounts Receivable,878000000.0,1195000000.0,1250000000.0,1500000000.0,
Cash Cash Equivalents And Short Term Investments,198000000.0,332000000.0,287000000.0,440000000.0,
Cash And Cash Equivalents,198000000.0,332000000.0,287000000.0,440000000.0,
