,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,237000000.0,646000000.0,-584000000.0,595000000.0,
Repurchase Of Capital Stock,0.0,0.0,-325000000.0,0.0,
Repayment Of Debt,-1973000000.0,-490000000.0,-1091000000.0,-704000000.0,
Issuance Of Debt,1668000000.0,0.0,1608000000.0,0.0,
Capital Expenditure,-259000000.0,-284000000.0,-312000000.0,-289000000.0,
Interest Paid Supplemental Data,319000000.0,298000000.0,244000000.0,271000000.0,
Income Tax Paid Supplemental Data,173000000.0,103000000.0,172000000.0,165000000.0,
End Cash Position,219000000.0,361000000.0,303000000.0,477000000.0,
Beginning Cash Position,361000000.0,303000000.0,477000000.0,1021000000.0,
Effect Of Exchange Rate Changes,-36000000.0,-9000000.0,-13000000.0,-17000000.0,
Changes In Cash,-106000000.0,67000000.0,-161000000.0,-527000000.0,
Financing Cash Flow,-451000000.0,-664000000.0,-232000000.0,-1143000000.0,
Cash Flow From Continuing Financing Activities,-451000000.0,-664000000.0,-232000000.0,-1143000000.0,
Net Other Financing Charges,-14000000.0,-1000000.0,,-28000000.0,-18000000.0
Proceeds From Stock Option Exercised,-14000000.0,11000000.0,-39000000.0,-17000000.0,
Cash Dividends Paid,-118000000.0,-184000000.0,-385000000.0,-394000000.0,
Common Stock Dividend Paid,,,,,-392000000.0
Net Common Stock Issuance,0.0,0.0,-325000000.0,0.0,
Common Stock Payments,0.0,0.0,-325000000.0,0.0,
Net Issuance Payments Of Debt,-305000000.0,-490000000.0,517000000.0,-704000000.0,
Net Short Term Debt Issuance,-792000000.0,-490000000.0,-472000000.0,0.0,
Short Term Debt Payments,-1223000000.0,-490000000.0,-1091000000.0,0.0,
Short Term Debt Issuance,431000000.0,0.0,619000000.0,0.0,
Net Long Term Debt Issuance,487000000.0,0.0,989000000.0,-704000000.0,
Long Term Debt Payments,-750000000.0,0.0,0.0,-704000000.0,
Long Term Debt Issuance,1237000000.0,0.0,989000000.0,0.0,
Investing Cash Flow,-151000000.0,-199000000.0,343000000.0,-268000000.0,
Cash Flow From Continuing Investing Activities,-151000000.0,-199000000.0,343000000.0,-268000000.0,
Net Other Investing Changes,34000000.0,31000000.0,13000000.0,6000000.0,
Net Investment Purchase And Sale,60000000.0,43000000.0,25000000.0,15000000.0,
Sale Of Investment,60000000.0,43000000.0,25000000.0,15000000.0,
Net Business Purchase And Sale,14000000.0,11000000.0,617000000.0,0.0,
Sale Of Business,14000000.0,11000000.0,617000000.0,0.0,
Capital Expenditure Reported,-259000000.0,-284000000.0,-312000000.0,-289000000.0,
Operating Cash Flow,496000000.0,930000000.0,-272000000.0,884000000.0,
Cash Flow From Continuing Operating Activities,496000000.0,930000000.0,-272000000.0,884000000.0,
Change In Working Capital,79000000.0,783000000.0,-1189000000.0,-142000000.0,
Change In Payables And Accrued Expense,-232000000.0,43000000.0,-1043000000.0,191000000.0,
Change In Accrued Expense,-136000000.0,93000000.0,-507000000.0,14000000.0,
Change In Payable,-96000000.0,-50000000.0,-536000000.0,177000000.0,
Change In Account Payable,-96000000.0,-50000000.0,-536000000.0,177000000.0,
Change In Inventory,70000000.0,673000000.0,-276000000.0,-463000000.0,
Change In Receivables,241000000.0,67000000.0,130000000.0,130000000.0,
Changes In Account Receivables,241000000.0,67000000.0,130000000.0,130000000.0,
Other Non Cash Items,-18000000.0,-33000000.0,-24000000.0,-10000000.0,
Stock Based Compensation,74000000.0,50000000.0,12000000.0,52000000.0,
Unrealized Gain Loss On Investment Securities,,,,,0.0
Asset Impairment Charge,353000000.0,342000000.0,474000000.0,60000000.0,
Deferred Tax,-114000000.0,-283000000.0,97000000.0,-24000000.0,
Deferred Income Tax,-114000000.0,-283000000.0,97000000.0,-24000000.0,
Depreciation Amortization Depletion,323000000.0,334000000.0,296000000.0,325000000.0,
Depreciation And Amortization,323000000.0,334000000.0,296000000.0,325000000.0,
Amortization Cash Flow,135000000.0,109000000.0,100000000.0,120000000.0,
Amortization Of Intangibles,135000000.0,109000000.0,100000000.0,120000000.0,
Depreciation,188000000.0,225000000.0,196000000.0,205000000.0,
Operating Gains Losses,15000000.0,125000000.0,-135000000.0,1000000.0,
Pension And Employee Benefit Expense,-1000000.0,126000000.0,0.0,0.0,
Gain Loss On Sale Of Business,2000000.0,-1000000.0,-136000000.0,-4000000.0,
Net Income From Continuing Operations,-216000000.0,-388000000.0,197000000.0,622000000.0,
