,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,811826000.0,916434000.0,662529000.0,707943000.0
Repurchase Of Capital Stock,-453613000.0,-1277219000.0,-536465000.0,-364057000.0
Repayment Of Debt,-20000000.0,0.0,0.0,-45000000.0
Issuance Of Debt,,0.0,0.0,99923000.0
Capital Expenditure,-757309000.0,-775148000.0,-550077000.0,-225081000.0
Interest Paid Supplemental Data,3484000.0,3953000.0,4232000.0,5686000.0
Income Tax Paid Supplemental Data,361448000.0,396510000.0,352826000.0,266506000.0
End Cash Position,433799000.0,186312000.0,462564000.0,401430000.0
Beginning Cash Position,186312000.0,462564000.0,401430000.0,403571000.0
Changes In Cash,247487000.0,-276252000.0,61134000.0,-2141000.0
Financing Cash Flow,-661828000.0,-1420362000.0,-696184000.0,-383502000.0
Cash Flow From Continuing Financing Activities,-661828000.0,-1420362000.0,-696184000.0,-383502000.0
Net Other Financing Charges,-13126000.0,-8659000.0,-67353000.0,-3345000.0
Cash Dividends Paid,-175089000.0,-134484000.0,-92366000.0,-71023000.0
Common Stock Dividend Paid,-175089000.0,-134484000.0,-92366000.0,-71023000.0
Net Common Stock Issuance,-453613000.0,-1277219000.0,-536465000.0,-364057000.0
Common Stock Payments,-453613000.0,-1277219000.0,-536465000.0,-364057000.0
Net Issuance Payments Of Debt,-20000000.0,0.0,0.0,54923000.0
Net Long Term Debt Issuance,-20000000.0,0.0,0.0,54923000.0
Long Term Debt Payments,-20000000.0,0.0,0.0,-45000000.0
Long Term Debt Issuance,,0.0,0.0,99923000.0
Investing Cash Flow,-659820000.0,-547472000.0,-455288000.0,-551663000.0
Cash Flow From Continuing Investing Activities,-659820000.0,-547472000.0,-455288000.0,-551663000.0
Net Other Investing Changes,,,-500000.0,-100000.0
Net Investment Purchase And Sale,48852000.0,205580000.0,75741000.0,-330172000.0
Sale Of Investment,48852000.0,369300000.0,435130000.0,29988000.0
Purchase Of Investment,0.0,-163720000.0,-359389000.0,-360160000.0
Net PPE Purchase And Sale,-708672000.0,-753052000.0,-530529000.0,-221391000.0
Sale Of PPE,48637000.0,22096000.0,19548000.0,3690000.0
Purchase Of PPE,-757309000.0,-775148000.0,-550077000.0,-225081000.0
Operating Cash Flow,1569135000.0,1691582000.0,1212606000.0,933024000.0
Cash Flow From Continuing Operating Activities,1569135000.0,1691582000.0,1212606000.0,933024000.0
Change In Working Capital,-55347000.0,-52777000.0,-141199000.0,16050000.0
Change In Other Working Capital,-7238000.0,-4722000.0,4508000.0,81678000.0
Change In Other Current Liabilities,-10295000.0,-39552000.0,-6729000.0,-11659000.0
Change In Payables And Accrued Expense,4250000.0,29220000.0,24971000.0,-3202000.0
Change In Accrued Expense,-2249000.0,5464000.0,10963000.0,-1459000.0
Change In Payable,6499000.0,23756000.0,14008000.0,-1743000.0
Change In Account Payable,6499000.0,23756000.0,14008000.0,-1743000.0
Change In Tax Payable,,,,8750000.0
Change In Income Tax Payable,,,,8750000.0
Change In Prepaid Assets,-38189000.0,-24714000.0,-38387000.0,-1722000.0
Change In Receivables,-3875000.0,-13009000.0,-125562000.0,-49045000.0
Other Non Cash Items,18665000.0,16658000.0,14890000.0,11963000.0
Stock Based Compensation,11080000.0,15893000.0,15039000.0,11337000.0
Deferred Tax,53341000.0,62008000.0,30165000.0,-41011000.0
Deferred Income Tax,53341000.0,62008000.0,30165000.0,-41011000.0
Depreciation Amortization Depletion,324449000.0,276066000.0,259899000.0,261267000.0
Depreciation And Amortization,324449000.0,276066000.0,259899000.0,261267000.0
Operating Gains Losses,-22555000.0,-3425000.0,-563000.0,736000.0
Gain Loss On Sale Of PPE,-22555000.0,-3425000.0,-563000.0,736000.0
Net Income From Continuing Operations,1239502000.0,1377159000.0,1034375000.0,672682000.0
