,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,59072792.0,62353221.0,67029042.0,71123109.0
Share Issued,59072792.0,62353221.0,67029042.0,71123109.0
Net Debt,5290993000.0,4263070000.0,3464865000.0,3657577000.0
Total Debt,7841005000.0,6545030000.0,5866567000.0,6164686000.0
Tangible Book Value,-2686744000.0,-1991416000.0,-945763000.0,-740772000.0
Invested Capital,3830847000.0,3310901000.0,3760555000.0,4263475000.0
Working Capital,-2103051000.0,-2015558000.0,-1370353000.0,-762630000.0
Net Tangible Assets,-2686744000.0,-1991416000.0,-945763000.0,-740772000.0
Capital Lease Obligations,2270880000.0,2173377000.0,2039589000.0,2041469000.0
Common Stock Equity,-1739278000.0,-1060752000.0,-66423000.0,140258000.0
Total Capitalization,3830847000.0,3310901000.0,3760555000.0,4263475000.0
Total Equity Gross Minority Interest,-1739278000.0,-1060752000.0,-66423000.0,140258000.0
Stockholders Equity,-1739278000.0,-1060752000.0,-66423000.0,140258000.0
Gains Losses Not Affecting Retained Earnings,39388000.0,2996000.0,-6799000.0,-2155000.0
Other Equity Adjustments,39388000.0,2996000.0,-6799000.0,-2155000.0
Retained Earnings,-3131532000.0,-2375860000.0,-1365802000.0,-1139139000.0
Additional Paid In Capital,1352275000.0,1311488000.0,1305508000.0,1280841000.0
Capital Stock,591000.0,624000.0,670000.0,711000.0
Common Stock,591000.0,624000.0,670000.0,711000.0
Preferred Stock,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,15612273000.0,13688731000.0,11785130000.0,11456384000.0
Total Non Current Liabilities Net Minority Interest,7950920000.0,6624914000.0,5910515000.0,6193967000.0
Other Non Current Liabilities,203980000.0,201258000.0,206568000.0,196160000.0
Non Current Deferred Liabilities,295471000.0,245347000.0,175212000.0,155899000.0
Non Current Deferred Taxes Liabilities,295471000.0,245347000.0,175212000.0,155899000.0
Long Term Debt And Capital Lease Obligation,7451469000.0,6178309000.0,5528735000.0,5841908000.0
Long Term Capital Lease Obligation,1881344000.0,1806656000.0,1701757000.0,1718691000.0
Long Term Debt,5570125000.0,4371653000.0,3826978000.0,4123217000.0
Current Liabilities,7661353000.0,7063817000.0,5874615000.0,5262417000.0
Other Current Liabilities,730937000.0,383692000.0,370217000.0,297393000.0
Current Debt And Capital Lease Obligation,389536000.0,366721000.0,337832000.0,322778000.0
Current Capital Lease Obligation,389536000.0,366721000.0,337832000.0,322778000.0
Pensionand Other Post Retirement Benefit Plans Current,,166433000.0,234872000.0,242724000.0
Current Provisions,128548000.0,138926000.0,128794000.0,109199000.0
Payables And Accrued Expenses,6412332000.0,6174478000.0,5037772000.0,4533047000.0
Current Accrued Expenses,312772000.0,293321000.0,342460000.0,331599000.0
Payables,6099560000.0,5881157000.0,4695312000.0,4201448000.0
Total Tax Payable,7860000.0,0.0,0.0,16786000.0
Income Tax Payable,7860000.0,0.0,0.0,16786000.0
Accounts Payable,6091700000.0,5881157000.0,4695312000.0,4184662000.0
Total Assets,13872995000.0,12627979000.0,11718707000.0,11596642000.0
Total Non Current Assets,8314693000.0,7579720000.0,7214445000.0,7096855000.0
Other Non Current Assets,129693000.0,112748000.0,139112000.0,125780000.0
Goodwill And Other Intangible Assets,947466000.0,930664000.0,879340000.0,881030000.0
Other Intangible Assets,49770000.0,46219000.0,,
Goodwill,897696000.0,884445000.0,879340000.0,881030000.0
Net PPE,7237534000.0,6536308000.0,6195993000.0,6090045000.0
Accumulated Depreciation,-3275387000.0,-3014024000.0,-2734523000.0,-2464993000.0
Gross PPE,10512921000.0,9550332000.0,8930516000.0,8555038000.0
Leases,1113374000.0,951652000.0,864169000.0,799013000.0
Construction In Progress,348968000.0,239773000.0,255307000.0,305511000.0
Other Properties,2200554000.0,2112267000.0,1982478000.0,1995127000.0
Machinery Furniture Equipment,2738888000.0,2418576000.0,2202792000.0,2019621000.0
Buildings And Improvements,3121562000.0,2896071000.0,2737212000.0,2574969000.0
Land And Improvements,989575000.0,931993000.0,888558000.0,860797000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,5558302000.0,5048259000.0,4504262000.0,4499787000.0
Other Current Assets,105311000.0,110376000.0,70092000.0,50658000.0
Inventory,4658367000.0,4359126000.0,3686383000.0,3653195000.0
Receivables,515492000.0,470174000.0,385674000.0,330294000.0
Other Receivables,140443000.0,127019000.0,113112000.0,100615000.0
Accounts Receivable,375049000.0,343155000.0,272562000.0,229679000.0
Allowance For Doubtful Accounts Receivable,-15834000.0,-14695000.0,-11870000.0,-12670000.0
Gross Accounts Receivable,390883000.0,357850000.0,284432000.0,242349000.0
Cash Cash Equivalents And Short Term Investments,279132000.0,108583000.0,362113000.0,465640000.0
Cash And Cash Equivalents,279132000.0,108583000.0,362113000.0,465640000.0
