,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,147000000.0,-139000000.0,599000000.0,1970000000.0
Repurchase Of Capital Stock,,0.0,0.0,-58000000.0
Repayment Of Debt,-1277000000.0,-3140000000.0,-2230000000.0,-2901000000.0
Issuance Of Debt,45000000.0,1138000000.0,58000000.0,4375000000.0
Issuance Of Capital Stock,0.0,0.0,2655000000.0,0.0
Capital Expenditure,-328000000.0,-358000000.0,-354000000.0,-324000000.0
Interest Paid Supplemental Data,901000000.0,920000000.0,970000000.0,965000000.0
Income Tax Paid Supplemental Data,107000000.0,73000000.0,334000000.0,466000000.0
End Cash Position,2460000000.0,2885000000.0,6267000000.0,3119000000.0
Beginning Cash Position,2885000000.0,6267000000.0,3119000000.0,834000000.0
Effect Of Exchange Rate Changes,-1000000.0,-94000000.0,-48000000.0,25000000.0
Changes In Cash,-424000000.0,-3288000000.0,3196000000.0,2260000000.0
Financing Cash Flow,-1841000000.0,-2981000000.0,-152000000.0,-90000000.0
Cash Flow From Continuing Financing Activities,-1841000000.0,-2981000000.0,-152000000.0,-90000000.0
Net Other Financing Charges,-162000000.0,-290000000.0,-396000000.0,-205000000.0
Proceeds From Stock Option Exercised,0.0,0.0,408000000.0,5000000.0
Cash Dividends Paid,-447000000.0,-689000000.0,-647000000.0,-600000000.0
Preferred Stock Dividend Paid,-58000000.0,-58000000.0,-30000000.0,0.0
Common Stock Dividend Paid,-389000000.0,-631000000.0,-617000000.0,-600000000.0
Net Preferred Stock Issuance,0.0,0.0,983000000.0,0.0
Preferred Stock Issuance,0.0,0.0,983000000.0,0.0
Net Common Stock Issuance,0.0,0.0,1672000000.0,-58000000.0
Common Stock Payments,,0.0,0.0,-58000000.0
Common Stock Issuance,0.0,0.0,1672000000.0,0.0
Net Issuance Payments Of Debt,-1232000000.0,-2002000000.0,-2172000000.0,768000000.0
Net Short Term Debt Issuance,,0.0,0.0,-706000000.0
Net Long Term Debt Issuance,-1232000000.0,-2002000000.0,-2172000000.0,1474000000.0
Long Term Debt Payments,-1277000000.0,-3140000000.0,-2230000000.0,-2901000000.0
Long Term Debt Issuance,45000000.0,1138000000.0,58000000.0,4375000000.0
Investing Cash Flow,942000000.0,-526000000.0,2395000000.0,56000000.0
Cash From Discontinued Investing Activities,1524000000.0,-8000000.0,-7000000.0,-7000000.0
Cash Flow From Continuing Investing Activities,-582000000.0,-518000000.0,2402000000.0,63000000.0
Net Other Investing Changes,-3000000.0,-1000000.0,-25000000.0,
Net Investment Purchase And Sale,-322000000.0,-254000000.0,-193000000.0,-59000000.0
Net Business Purchase And Sale,71000000.0,95000000.0,2974000000.0,-147000000.0
Sale Of Business,71000000.0,95000000.0,3028000000.0,593000000.0
Purchase Of Business,0.0,0.0,-54000000.0,-147000000.0
Net Intangibles Purchase And Sale,,,3028000000.0,593000000.0
Sale Of Intangibles,,,3028000000.0,593000000.0
Capital Expenditure Reported,-328000000.0,-358000000.0,-354000000.0,-324000000.0
Operating Cash Flow,475000000.0,219000000.0,953000000.0,2294000000.0
Cash From Discontinued Operating Activities,91000000.0,361000000.0,118000000.0,79000000.0
Cash Flow From Continuing Operating Activities,384000000.0,-142000000.0,835000000.0,2215000000.0
Change In Working Capital,-15642000000.0,-16679000000.0,-15789000000.0,-11980000000.0
Change In Other Working Capital,12000000.0,69000000.0,153000000.0,-12100000000.0
Change In Payables And Accrued Expense,-659000000.0,596000000.0,642000000.0,188000000.0
Change In Payable,-659000000.0,596000000.0,642000000.0,188000000.0
Change In Account Payable,-659000000.0,596000000.0,642000000.0,188000000.0
Change In Inventory,-15518000000.0,-17164000000.0,-16763000000.0,
Change In Receivables,523000000.0,-180000000.0,179000000.0,-68000000.0
Other Non Cash Items,17084000000.0,14951000000.0,13649000000.0,10928000000.0
Stock Based Compensation,177000000.0,172000000.0,192000000.0,274000000.0
Asset Impairment Charge,83000000.0,27000000.0,0.0,
Deferred Tax,-650000000.0,-106000000.0,90000000.0,122000000.0
Deferred Income Tax,-650000000.0,-106000000.0,90000000.0,122000000.0
Depreciation Amortization Depletion,418000000.0,378000000.0,390000000.0,430000000.0
Depreciation And Amortization,418000000.0,378000000.0,390000000.0,430000000.0
Operating Gains Losses,166000000.0,280000000.0,-2166000000.0,-260000000.0
Earnings Losses From Equity Investments,363000000.0,207000000.0,96000000.0,34000000.0
Gain Loss On Investment Securities,-168000000.0,9000000.0,-47000000.0,-206000000.0
Gain Loss On Sale Of PPE,,,-2343000000.0,-214000000.0
Net Income From Continuing Operations,-1252000000.0,835000000.0,4469000000.0,2701000000.0
