,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,481000000.0,-1385000000.0,-983000000.0,68000000.0
Repurchase Of Capital Stock,0.0,-500000000.0,0.0,
Repayment Of Debt,-3825000000.0,-4019000000.0,-3382000000.0,-2217000000.0
Issuance Of Debt,3800000000.0,4850000000.0,5581000000.0,3250000000.0
Capital Expenditure,-3325000000.0,-2888000000.0,-2719000000.0,-3034000000.0
Interest Paid Supplemental Data,683000000.0,602000000.0,547000000.0,568000000.0
Income Tax Paid Supplemental Data,144000000.0,353000000.0,425000000.0,297000000.0
End Cash Position,99000000.0,511000000.0,863000000.0,572000000.0
Beginning Cash Position,511000000.0,863000000.0,572000000.0,176000000.0
Changes In Cash,-412000000.0,-352000000.0,291000000.0,396000000.0
Financing Cash Flow,-1260000000.0,-754000000.0,799000000.0,-30000000.0
Cash Flow From Continuing Financing Activities,-1260000000.0,-754000000.0,799000000.0,-30000000.0
Net Other Financing Charges,-98000000.0,-6000000.0,-369000000.0,-72000000.0
Cash Dividends Paid,-1137000000.0,-1079000000.0,-1031000000.0,-991000000.0
Common Stock Dividend Paid,-1137000000.0,-1079000000.0,-1031000000.0,-991000000.0
Net Common Stock Issuance,0.0,-500000000.0,0.0,
Common Stock Payments,0.0,-500000000.0,0.0,
Net Issuance Payments Of Debt,-25000000.0,831000000.0,2199000000.0,1033000000.0
Net Short Term Debt Issuance,-1250000000.0,-1319000000.0,2456000000.0,-52000000.0
Short Term Debt Payments,-2250000000.0,-3319000000.0,-300000000.0,-852000000.0
Short Term Debt Issuance,1000000000.0,2000000000.0,2756000000.0,800000000.0
Net Long Term Debt Issuance,1225000000.0,2150000000.0,-257000000.0,1085000000.0
Long Term Debt Payments,-1575000000.0,-700000000.0,-3082000000.0,-1365000000.0
Long Term Debt Issuance,2800000000.0,2850000000.0,2825000000.0,2450000000.0
Investing Cash Flow,-2958000000.0,-1101000000.0,-2244000000.0,-2676000000.0
Cash Flow From Continuing Investing Activities,-2958000000.0,-1101000000.0,-2244000000.0,-2676000000.0
Net Other Investing Changes,39000000.0,-7000000.0,17000000.0,57000000.0
Net Investment Purchase And Sale,,,8000000.0,-16000000.0
Sale Of Investment,,,2100000000.0,2234000000.0
Purchase Of Investment,,,-2092000000.0,-2250000000.0
Net Business Purchase And Sale,291000000.0,-124000000.0,-111000000.0,0.0
Sale Of Business,291000000.0,0.0,0.0,
Purchase Of Business,0.0,-124000000.0,-111000000.0,0.0
Net Intangibles Purchase And Sale,,,-98000000.0,-111000000.0
Purchase Of Intangibles,,,-98000000.0,-111000000.0
Net PPE Purchase And Sale,-3288000000.0,-970000000.0,-2150000000.0,-2622000000.0
Sale Of PPE,37000000.0,1918000000.0,569000000.0,301000000.0
Purchase Of PPE,-3325000000.0,-2888000000.0,-2719000000.0,-2923000000.0
Operating Cash Flow,3806000000.0,1503000000.0,1736000000.0,3102000000.0
Cash Flow From Continuing Operating Activities,3806000000.0,1503000000.0,1736000000.0,3102000000.0
Change In Working Capital,1307000000.0,-847000000.0,-1099000000.0,294000000.0
Change In Other Working Capital,1518000000.0,-864000000.0,-1053000000.0,63000000.0
Change In Other Current Liabilities,-201000000.0,111000000.0,81000000.0,
Change In Payables And Accrued Expense,-10000000.0,-94000000.0,-127000000.0,124000000.0
Change In Payable,-10000000.0,-94000000.0,-127000000.0,124000000.0
Change In Tax Payable,-10000000.0,-94000000.0,-127000000.0,124000000.0
Change In Income Tax Payable,-10000000.0,-94000000.0,-127000000.0,124000000.0
Change In Receivables,,,56000000.0,107000000.0
Other Non Cash Items,-538000000.0,-483000000.0,-355000000.0,-279000000.0
Provisionand Write Offof Assets,3000000.0,55000000.0,138000000.0,
Deferred Tax,355000000.0,-261000000.0,-845000000.0,139000000.0
Deferred Income Tax,355000000.0,-261000000.0,-845000000.0,139000000.0
Depreciation Amortization Depletion,1324000000.0,1283000000.0,1403000000.0,1469000000.0
Depreciation And Amortization,1324000000.0,1283000000.0,1403000000.0,1469000000.0
Depreciation,1324000000.0,1283000000.0,1403000000.0,1469000000.0
Operating Gains Losses,-1208000000.0,725000000.0,3142000000.0,-426000000.0
Pension And Employee Benefit Expense,366000000.0,-239000000.0,-178000000.0,-105000000.0
Gain Loss On Investment Securities,-1581000000.0,841000000.0,385000000.0,-198000000.0
Net Income From Continuing Operations,2563000000.0,1031000000.0,-648000000.0,1905000000.0
