,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,25166902.0,19728681.0,2167393.0,2167393.0
Preferred Shares Number,8624.0,,,
Ordinary Shares Number,152112961.0,153523727.0,170214942.0,155700834.0
Share Issued,177279863.0,173252408.0,172382335.0,157868227.0
Net Debt,1693800000.0,1153500000.0,872900000.0,458800000.0
Total Debt,11542200000.0,12908900000.0,11605100000.0,11157500000.0
Tangible Book Value,-1111200000.0,-850100000.0,-623100000.0,-37500000.0
Invested Capital,5967700000.0,6355800000.0,6808800000.0,4945700000.0
Working Capital,169000000.0,854700000.0,1090400000.0,1225000000.0
Net Tangible Assets,-1111200000.0,-830700000.0,-597300000.0,-14400000.0
Capital Lease Obligations,8776600000.0,10131400000.0,8868300000.0,8844900000.0
Common Stock Equity,3202100000.0,3578300000.0,4072000000.0,2633100000.0
Preferred Stock Equity,,19400000.0,25800000.0,23100000.0
Total Capitalization,5920100000.0,6319000000.0,6735100000.0,4887400000.0
Total Equity Gross Minority Interest,3199600000.0,3596600000.0,4097100000.0,2655800000.0
Minority Interest,-2500000.0,-1100000.0,-700000.0,-400000.0
Stockholders Equity,3202100000.0,3597700000.0,4097800000.0,2656200000.0
Gains Losses Not Affecting Retained Earnings,-121300000.0,-168600000.0,-54400000.0,0.0
Other Equity Adjustments,-121300000.0,-168600000.0,-54400000.0,
Treasury Stock,779500000.0,629500000.0,28400000.0,28400000.0
Retained Earnings,-335500000.0,154500000.0,-86500000.0,-507300000.0
Additional Paid In Capital,4436600000.0,4220200000.0,4239600000.0,3167200000.0
Capital Stock,1800000.0,21100000.0,27500000.0,24700000.0
Common Stock,1800000.0,1700000.0,1700000.0,1600000.0
Preferred Stock,0.0,19400000.0,25800000.0,23100000.0
Total Liabilities Net Minority Interest,12864600000.0,13905500000.0,12775000000.0,12011500000.0
Total Non Current Liabilities Net Minority Interest,11374600000.0,12746800000.0,11641800000.0,11151500000.0
Other Non Current Liabilities,146300000.0,117900000.0,129000000.0,119400000.0
Non Current Deferred Liabilities,117600000.0,33900000.0,189100000.0,126300000.0
Non Current Deferred Taxes Liabilities,117600000.0,33900000.0,189100000.0,126300000.0
Long Term Debt And Capital Lease Obligation,11110700000.0,12595000000.0,11323700000.0,10905800000.0
Long Term Capital Lease Obligation,8392700000.0,9873700000.0,8686400000.0,8674600000.0
Long Term Debt,2718000000.0,2721300000.0,2637300000.0,2231200000.0
Current Liabilities,1490000000.0,1158700000.0,1133200000.0,860000000.0
Other Current Liabilities,382200000.0,203700000.0,201000000.0,137400000.0
Current Debt And Capital Lease Obligation,431500000.0,313900000.0,281400000.0,251700000.0
Current Capital Lease Obligation,383900000.0,257700000.0,181900000.0,170300000.0
Current Debt,47600000.0,56200000.0,99500000.0,81400000.0
Other Current Borrowings,47600000.0,56200000.0,99500000.0,81400000.0
Payables And Accrued Expenses,676300000.0,641100000.0,650800000.0,470900000.0
Current Accrued Expenses,639700000.0,601000000.0,597500000.0,437700000.0
Interest Payable,21100000.0,20800000.0,20900000.0,13200000.0
Payables,36600000.0,40100000.0,53300000.0,33200000.0
Total Tax Payable,,110200000.0,103600000.0,75000000.0
Accounts Payable,36600000.0,40100000.0,53300000.0,33200000.0
Total Assets,16064200000.0,17502100000.0,16872100000.0,14667300000.0
Total Non Current Assets,14405200000.0,15488700000.0,14648500000.0,12582300000.0
Other Non Current Assets,187300000.0,192900000.0,263100000.0,297900000.0
Investments And Advances,84900000.0,248600000.0,255100000.0,266800000.0
Long Term Equity Investment,84900000.0,248600000.0,255100000.0,266800000.0
Investmentsin Associatesat Cost,,,255100000.0,266800000.0
Goodwill And Other Intangible Assets,4313300000.0,4428400000.0,4695100000.0,2670600000.0
Other Intangible Assets,1618200000.0,1738900000.0,1872600000.0,1513500000.0
Goodwill,2695100000.0,2689500000.0,2822500000.0,1157100000.0
Net PPE,9819700000.0,10618800000.0,9435200000.0,9347000000.0
Accumulated Depreciation,-2505100000.0,-3383300000.0,-3133400000.0,-2874900000.0
Gross PPE,12324800000.0,14002100000.0,12568600000.0,12221900000.0
Leases,521200000.0,353500000.0,292000000.0,219500000.0
Construction In Progress,172800000.0,166800000.0,70700000.0,89800000.0
Other Properties,6305700000.0,6103300000.0,4853000000.0,4817700000.0
Machinery Furniture Equipment,1846300000.0,1753600000.0,1714800000.0,1620400000.0
Buildings And Improvements,1914500000.0,3964600000.0,3967300000.0,3845700000.0
Land And Improvements,1564300000.0,1660300000.0,1670800000.0,1628800000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,1659000000.0,2013400000.0,2223600000.0,2085000000.0
Other Current Assets,42600000.0,36300000.0,32400000.0,31300000.0
Prepaid Assets,225600000.0,106100000.0,132300000.0,103500000.0
Receivables,319000000.0,247000000.0,195000000.0,96400000.0
Receivables Adjustments Allowances,-4200000.0,-8500000.0,-8000000.0,-8800000.0
Other Receivables,191700000.0,162200000.0,170200000.0,81500000.0
Accounts Receivable,131500000.0,93300000.0,32800000.0,23700000.0
Gross Accounts Receivable,,,,23700000.0
Cash Cash Equivalents And Short Term Investments,1071800000.0,1624000000.0,1863900000.0,1853800000.0
Cash And Cash Equivalents,1071800000.0,1624000000.0,1863900000.0,1853800000.0
