,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,74000000.0,605800000.0,627800000.0,197000000.0
Repurchase Of Capital Stock,-149800000.0,-601100000.0,0.0,0.0
Repayment Of Debt,-142500000.0,-1774000000.0,-125900000.0,-888500000.0
Issuance Of Debt,0.0,1545000000.0,472500000.0,862200000.0
Issuance Of Capital Stock,,0.0,0.0,1288800000.0
Capital Expenditure,-381900000.0,-272400000.0,-268300000.0,-141800000.0
Interest Paid Supplemental Data,420100000.0,721700000.0,514600000.0,355000000.0
Income Tax Paid Supplemental Data,73900000.0,72800000.0,108300000.0,
End Cash Position,1094500000.0,1644200000.0,1880100000.0,1870400000.0
Beginning Cash Position,1644200000.0,1880100000.0,1870400000.0,455200000.0
Effect Of Exchange Rate Changes,-400000.0,-2500000.0,-4500000.0,0.0
Changes In Cash,-549300000.0,-233400000.0,14200000.0,1415200000.0
Financing Cash Flow,-262600000.0,-853000000.0,339900000.0,1310100000.0
Cash Flow From Continuing Financing Activities,-262600000.0,-853000000.0,339900000.0,1310100000.0
Net Other Financing Charges,24400000.0,-29800000.0,-17500000.0,-15100000.0
Proceeds From Stock Option Exercised,5300000.0,6900000.0,10800000.0,62700000.0
Net Common Stock Issuance,-149800000.0,-601100000.0,0.0,1288800000.0
Common Stock Payments,-149800000.0,-601100000.0,0.0,0.0
Common Stock Issuance,,0.0,0.0,1288800000.0
Net Issuance Payments Of Debt,-142500000.0,-229000000.0,346600000.0,-26300000.0
Net Short Term Debt Issuance,,0.0,0.0,-140000000.0
Short Term Debt Payments,,0.0,0.0,-680000000.0
Short Term Debt Issuance,,0.0,0.0,540000000.0
Net Long Term Debt Issuance,-142500000.0,-229000000.0,346600000.0,113700000.0
Long Term Debt Payments,-142500000.0,-1774000000.0,-125900000.0,-208500000.0
Long Term Debt Issuance,0.0,1545000000.0,472500000.0,322200000.0
Investing Cash Flow,-742600000.0,-258600000.0,-1221800000.0,-233700000.0
Cash Flow From Continuing Investing Activities,-742600000.0,-258600000.0,-1221800000.0,-233700000.0
Net Other Investing Changes,-3700000.0,23900000.0,-9400000.0,35400000.0
Net Investment Purchase And Sale,8000000.0,-15000000.0,-26000000.0,-135000000.0
Sale Of Investment,8000000.0,,0.0,
Purchase Of Investment,0.0,-15000000.0,-26000000.0,-135000000.0
Net Business Purchase And Sale,-365500000.0,0.0,-919600000.0,-8400000.0
Sale Of Business,,,,0.0
Purchase Of Business,-365500000.0,0.0,-919600000.0,-8400000.0
Net Intangibles Purchase And Sale,-21900000.0,-9000000.0,-24200000.0,-4800000.0
Purchase Of Intangibles,-21900000.0,-9000000.0,-24200000.0,-4800000.0
Net PPE Purchase And Sale,500000.0,4900000.0,1500000.0,16100000.0
Sale Of PPE,500000.0,4900000.0,1500000.0,16100000.0
Capital Expenditure Reported,-360000000.0,-263400000.0,-244100000.0,-137000000.0
Operating Cash Flow,455900000.0,878200000.0,896100000.0,338800000.0
Cash Flow From Continuing Operating Activities,455900000.0,878200000.0,896100000.0,338800000.0
Change In Working Capital,-390600000.0,-161400000.0,-89400000.0,-174300000.0
Change In Other Working Capital,-50200000.0,27300000.0,10200000.0,-32500000.0
Change In Other Current Liabilities,-198400000.0,-85200000.0,-71300000.0,-78500000.0
Change In Other Current Assets,-18200000.0,-2200000.0,-21700000.0,-12800000.0
Change In Payables And Accrued Expense,17300000.0,4000000.0,108000000.0,-47500000.0
Change In Accrued Expense,25900000.0,17400000.0,138400000.0,-40900000.0
Change In Payable,-8600000.0,-13400000.0,-30400000.0,-6600000.0
Change In Account Payable,-8600000.0,-13400000.0,-30400000.0,-6600000.0
Change In Tax Payable,,,,-32500000.0
Change In Income Tax Payable,,,,-32500000.0
Change In Prepaid Assets,-66300000.0,-24100000.0,-32300000.0,13500000.0
Change In Receivables,-74800000.0,-81200000.0,-82300000.0,-16500000.0
Changes In Account Receivables,-74800000.0,-81200000.0,-82300000.0,-16500000.0
Other Non Cash Items,269600000.0,126500000.0,170800000.0,422600000.0
Stock Based Compensation,85900000.0,58100000.0,35100000.0,14500000.0
Asset Impairment Charge,130600000.0,118200000.0,0.0,623400000.0
Deferred Tax,-32700000.0,-150700000.0,-4500000.0,-118300000.0
Deferred Income Tax,-32700000.0,-150700000.0,-4500000.0,-118300000.0
Depreciation Amortization Depletion,435100000.0,567500000.0,344500000.0,366700000.0
Depreciation And Amortization,435100000.0,567500000.0,344500000.0,366700000.0
Operating Gains Losses,449400000.0,98300000.0,19100000.0,-126700000.0
Earnings Losses From Equity Investments,8000000.0,10100000.0,-6900000.0,8000000.0
Gain Loss On Investment Securities,-481900000.0,69900000.0,24900000.0,-106700000.0
Gain Loss On Sale Of PPE,100000.0,7900000.0,1100000.0,-29200000.0
Gain Loss On Sale Of Business,923200000.0,0.0,0.0,
Net Income From Continuing Operations,-491400000.0,221700000.0,420500000.0,-669100000.0
