,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-1027110000.0,-390144000.0,-212724000.0,-87451677.089255
Tax Rate For Calcs,0.21,0.096,0.076,0.052587
Normalized EBITDA,14448000000.0,45095000000.0,33592000000.0,14925000000.0
Total Unusual Items,-4891000000.0,-4064000000.0,-2799000000.0,-1663000000.0
Total Unusual Items Excluding Goodwill,-4891000000.0,-4064000000.0,-2799000000.0,-1663000000.0
Net Income From Continuing Operation Net Minority Interest,2134000000.0,31366000000.0,22413000000.0,6630000000.0
Reconciled Depreciation,6290000000.0,5064000000.0,5191000000.0,4777000000.0
Reconciled Cost Of Revenue,23397000000.0,32889000000.0,29330000000.0,7055000000.0
EBITDA,9557000000.0,41031000000.0,30793000000.0,13262000000.0
EBIT,3267000000.0,35967000000.0,25602000000.0,8485000000.0
Net Interest Income,-585000000.0,-987000000.0,-1255000000.0,-1376000000.0
Interest Expense,2209000000.0,1238000000.0,1291000000.0,1449000000.0
Interest Income,1624000000.0,251000000.0,36000000.0,73000000.0
Normalized Income,5997890000.0,35039856000.0,24999276000.0,8205548322.910745
Net Income From Continuing And Discontinued Operation,2119000000.0,31372000000.0,21979000000.0,9159000000.0
Total Expenses,55137000000.0,63058000000.0,57584000000.0,32822000000.0
Diluted Average Shares,5643000000.0,5733000000.0,5708000000.0,5632000000.0
Basic Average Shares,5643000000.0,5608000000.0,5601000000.0,5555000000.0
Diluted EPS,0.37,5.47,3.85,1.71
Basic EPS,0.38,5.59,3.92,1.73
Diluted NI Availto Com Stockholders,2119000000.0,31372000000.0,21979000000.0,9159000000.0
Net Income Common Stockholders,2119000000.0,31372000000.0,21979000000.0,9159000000.0
Net Income,2119000000.0,31372000000.0,21979000000.0,9159000000.0
Minority Interests,-39000000.0,-35000000.0,-45000000.0,-36000000.0
Net Income Including Noncontrolling Interests,2158000000.0,31407000000.0,22025000000.0,9195000000.0
Net Income Discontinuous Operations,-15000000.0,6000000.0,-434000000.0,2529000000.0
Net Income Continuous Operations,2172000000.0,31401000000.0,22459000000.0,6666000000.0
Tax Provision,-1115000000.0,3328000000.0,1852000000.0,370000000.0
Pretax Income,1058000000.0,34729000000.0,24311000000.0,7036000000.0
Other Income Expense,-1716000000.0,-1556000000.0,1763000000.0,-415000000.0
Other Non Operating Income Expenses,2670000000.0,2072000000.0,4091000000.0,950000000.0
Special Income Charges,-6481000000.0,-2791000000.0,-4143000000.0,-2203000000.0
Gain On Sale Of Ppe,,0.0,99000000.0,-237000000.0
Other Special Charges,514000000.0,995000000.0,3255000000.0,-298000000.0
Write Off,,,86000000.0,1691000000.0
Impairment Of Capital Assets,3024000000.0,421000000.0,86000000.0,1691000000.0
Restructuring And Mergern Acquisition,2943000000.0,1375000000.0,802000000.0,573000000.0
Earnings From Equity Interest,505000000.0,436000000.0,471000000.0,298000000.0
Gain On Sale Of Security,1590000000.0,-1273000000.0,1344000000.0,540000000.0
Net Non Operating Interest Income Expense,-585000000.0,-987000000.0,-1255000000.0,-1376000000.0
Interest Expense Non Operating,2209000000.0,1238000000.0,1291000000.0,1449000000.0
Interest Income Non Operating,1624000000.0,251000000.0,36000000.0,73000000.0
Operating Income,3359000000.0,37272000000.0,23704000000.0,8829000000.0
Operating Expense,30183000000.0,28714000000.0,26763000000.0,24338000000.0
Depreciation Amortization Depletion Income Statement,4733000000.0,3609000000.0,3700000000.0,3348000000.0
Depreciation And Amortization In Income Statement,4733000000.0,3609000000.0,3700000000.0,3348000000.0
Amortization,4733000000.0,3609000000.0,3700000000.0,3348000000.0
Amortization Of Intangibles Income Statement,4733000000.0,3609000000.0,3700000000.0,3348000000.0
Research And Development,10679000000.0,11428000000.0,10360000000.0,9393000000.0
Selling General And Administration,14771000000.0,13677000000.0,12703000000.0,11597000000.0
Gross Profit,33542000000.0,65986000000.0,50467000000.0,33167000000.0
Cost Of Revenue,24954000000.0,34344000000.0,30821000000.0,8484000000.0
Total Revenue,58496000000.0,100330000000.0,81288000000.0,41651000000.0
Operating Revenue,58496000000.0,100330000000.0,81288000000.0,41651000000.0
