,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,-49456000.0,0.0,0.0
Tax Rate For Calcs,0.2,0.22,0.2,0.2
Total Unusual Items,0.0,-224800000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,0.0,-224800000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,3902400000.0,721500000.0,3350900000.0,5704600000.0
Reconciled Depreciation,299700000.0,336600000.0,337400000.0,331800000.0
EBIT,5172100000.0,1165600000.0,4428600000.0,7390200000.0
Net Interest Income,-268400000.0,-243500000.0,-218600000.0,-217000000.0
Interest Expense,268400000.0,243500000.0,218600000.0,217000000.0
Normalized Income,3902400000.0,896844000.0,3350900000.0,5704600000.0
Net Income From Continuing And Discontinued Operation,3902400000.0,721500000.0,3350900000.0,5704600000.0
Total Expenses,57178600000.0,48664300000.0,43466500000.0,35464900000.0
Diluted Average Shares,587500000.0,587100000.0,587100000.0,587600000.0
Basic Average Shares,584900000.0,584400000.0,584500000.0,584900000.0
Diluted EPS,6.58,1.18,5.66,9.66
Basic EPS,6.61,1.19,5.69,9.71
Diluted NI Availto Com Stockholders,3864800000.0,694600000.0,3324000000.0,5677700000.0
Net Income Common Stockholders,3864800000.0,694600000.0,3324000000.0,5677700000.0
Preferred Stock Dividends,37600000.0,26900000.0,26900000.0,26900000.0
Net Income,3902400000.0,721500000.0,3350900000.0,5704600000.0
Minority Interests,,,0.0,0.0
Net Income Including Noncontrolling Interests,3902400000.0,721500000.0,3350900000.0,5704600000.0
Net Income Continuous Operations,3902400000.0,721500000.0,3350900000.0,5704600000.0
Tax Provision,1001300000.0,200600000.0,859100000.0,1468600000.0
Pretax Income,4903700000.0,922100000.0,4210000000.0,7173200000.0
Other Income Expense,,722100000.0,691800000.0,603500000.0
Special Income Charges,0.0,-224800000.0,0.0,0.0
Impairment Of Capital Assets,0.0,224800000.0,0.0,0.0
Net Non Operating Interest Income Expense,-268400000.0,-243500000.0,-218600000.0,-217000000.0
Interest Expense Non Operating,268400000.0,243500000.0,218600000.0,217000000.0
Total Revenue,62082300000.0,49586400000.0,47676500000.0,42638100000.0
Operating Revenue,62082300000.0,49586400000.0,47676500000.0,42638100000.0
Loss Adjustment Expense,45654600000.0,38122700000.0,33627600000.0,25121800000.0
Net Policyholder Benefits And Claims,45654600000.0,38122700000.0,33627600000.0,25121800000.0
Policyholder Benefits Gross,,38122700000.0,33627600000.0,25121800000.0
