,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,845400000.0,670800000.0,489000000.0,611600000.0
Repurchase Of Capital Stock,-57200000.0,-538000000.0,-205900000.0,-10500000.0
Repayment Of Debt,-1900000.0,-1700000.0,-757700000.0,-1500000.0
Issuance Of Debt,397100000.0,0.0,690200000.0,0.0
Capital Expenditure,-469700000.0,-824200000.0,-605100000.0,-421200000.0
End Cash Position,648000000.0,320000000.0,618700000.0,974600000.0
Beginning Cash Position,320000000.0,618700000.0,974600000.0,679500000.0
Changes In Cash,328000000.0,-298700000.0,-355900000.0,295100000.0
Financing Cash Flow,-112000000.0,-960000000.0,-655600000.0,-311600000.0
Cash Flow From Continuing Financing Activities,-112000000.0,-960000000.0,-655600000.0,-311600000.0
Net Other Financing Charges,,,-2400000.0,-10500000.0
Interest Paid Cff,-1100000.0,0.0,-2400000.0,0.0
Cash Dividends Paid,-448900000.0,-420300000.0,-379800000.0,-299600000.0
Common Stock Dividend Paid,-448900000.0,-420300000.0,-379800000.0,-299600000.0
Net Common Stock Issuance,-57200000.0,-538000000.0,-205900000.0,-10500000.0
Common Stock Payments,-57200000.0,-538000000.0,-205900000.0,-10500000.0
Net Issuance Payments Of Debt,395200000.0,-1700000.0,-67500000.0,-1500000.0
Net Long Term Debt Issuance,395200000.0,-1700000.0,-67500000.0,-1500000.0
Long Term Debt Payments,-1900000.0,-1700000.0,-757700000.0,-1500000.0
Long Term Debt Issuance,397100000.0,0.0,690200000.0,0.0
Investing Cash Flow,-875100000.0,-833700000.0,-794400000.0,-426100000.0
Cash Flow From Continuing Investing Activities,-875100000.0,-833700000.0,-794400000.0,-426100000.0
Net Other Investing Changes,-1000000.0,-2100000.0,6100000.0,-1800000.0
Net Investment Purchase And Sale,-404400000.0,-7400000.0,-500000.0,-3100000.0
Sale Of Investment,102800000.0,118700000.0,126900000.0,107000000.0
Purchase Of Investment,-507200000.0,-126100000.0,-127400000.0,-110100000.0
Net Business Purchase And Sale,0.0,0.0,-194900000.0,0.0
Purchase Of Business,0.0,0.0,-194900000.0,0.0
Net PPE Purchase And Sale,-469700000.0,-824200000.0,-605100000.0,-421200000.0
Purchase Of PPE,-469700000.0,-824200000.0,-605100000.0,-421200000.0
Operating Cash Flow,1315100000.0,1495000000.0,1094100000.0,1032800000.0
Cash Flow From Continuing Operating Activities,1315100000.0,1495000000.0,1094100000.0,1032800000.0
Change In Working Capital,-6800000.0,-85100000.0,-287400000.0,77800000.0
Change In Other Working Capital,31400000.0,-28400000.0,-2100000.0,21400000.0
Change In Payables And Accrued Expense,3200000.0,-9800000.0,50100000.0,36500000.0
Change In Accrued Expense,-8200000.0,8300000.0,37900000.0,-3200000.0
Change In Payable,11400000.0,-18100000.0,12200000.0,39700000.0
Change In Account Payable,11400000.0,-18100000.0,12200000.0,39700000.0
Change In Prepaid Assets,-4200000.0,-11000000.0,-2700000.0,400000.0
Change In Inventory,-35800000.0,-75200000.0,-105500000.0,6300000.0
Change In Receivables,-1400000.0,39300000.0,-227200000.0,13200000.0
Changes In Account Receivables,-1400000.0,39300000.0,-227200000.0,13200000.0
Other Non Cash Items,15500000.0,4100000.0,16300000.0,20800000.0
Stock Based Compensation,40000000.0,35600000.0,35500000.0,30000000.0
Asset Impairment Charge,,0.0,0.0,55200000.0
Deferred Tax,5200000.0,86000000.0,59400000.0,34700000.0
Deferred Income Tax,5200000.0,86000000.0,59400000.0,34700000.0
Depreciation Amortization Depletion,517700000.0,456800000.0,417500000.0,409900000.0
Depreciation And Amortization,517700000.0,456800000.0,417500000.0,
Depreciation,517700000.0,456800000.0,417500000.0,
Operating Gains Losses,-21700000.0,-32200000.0,11700000.0,-56600000.0
Pension And Employee Benefit Expense,-30800000.0,-47400000.0,-50500000.0,-63400000.0
Net Income From Continuing Operations,765200000.0,1029800000.0,841100000.0,461000000.0
