,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,145087054.0,142000000.0,123000000.0,119000000.0
Preferred Shares Number,,,60001000.0,60001000.0
Ordinary Shares Number,398029217.0,401000000.0,420000000.0,423701045.0
Share Issued,543116271.0,543000000.0,543000000.0,542701045.0
Net Debt,22012000000.0,24350000000.0,,
Total Debt,72737000000.0,58713000000.0,30784000000.0,37195000000.0
Tangible Book Value,36487000000.0,31364000000.0,42961000000.0,43535000000.0
Invested Capital,123842000000.0,104487000000.0,86479000000.0,91205000000.0
Net Tangible Assets,36487000000.0,31364000000.0,42961000000.0,43535000000.0
Capital Lease Obligations,,,2220000000.0,2097000000.0
Common Stock Equity,51105000000.0,45774000000.0,55695000000.0,54010000000.0
Total Capitalization,123842000000.0,104487000000.0,86479000000.0,91205000000.0
Total Equity Gross Minority Interest,51141000000.0,45812000000.0,55726000000.0,54041000000.0
Minority Interest,36000000.0,38000000.0,31000000.0,31000000.0
Stockholders Equity,51105000000.0,45774000000.0,55695000000.0,54010000000.0
Gains Losses Not Affecting Retained Earnings,-7712000000.0,-10172000000.0,409000000.0,2770000000.0
Other Equity Adjustments,-7712000000.0,-10172000000.0,409000000.0,2770000000.0
Treasury Stock,19209000000.0,18716000000.0,15112000000.0,14205000000.0
Retained Earnings,56290000000.0,53572000000.0,50228000000.0,46848000000.0
Additional Paid In Capital,19020000000.0,18376000000.0,17457000000.0,15884000000.0
Capital Stock,2716000000.0,2714000000.0,2713000000.0,2713000000.0
Common Stock,2716000000.0,2714000000.0,2713000000.0,2713000000.0
Total Liabilities Net Minority Interest,510439000000.0,511451000000.0,501465000000.0,412638000000.0
Derivative Product Liabilities,,,985000000.0,584000000.0
Long Term Debt And Capital Lease Obligation,72737000000.0,58713000000.0,30784000000.0,37195000000.0
Long Term Capital Lease Obligation,,,2220000000.0,2097000000.0
Long Term Debt,72737000000.0,58713000000.0,30784000000.0,37195000000.0
Long Term Provisions,663000000.0,694000000.0,662000000.0,584000000.0
Payables And Accrued Expenses,,15762000000.0,12741000000.0,9514000000.0
Current Accrued Expenses,,15762000000.0,12741000000.0,9514000000.0
Total Assets,561580000000.0,557263000000.0,557191000000.0,466679000000.0
Investments And Advances,140883000000.0,147771000000.0,141142000000.0,94851000000.0
Held To Maturity Securities,82355000000.0,95175000000.0,1426000000.0,1441000000.0
Available For Sale Securities,39476000000.0,41863000000.0,125685000000.0,85320000000.0
Long Term Equity Investment,8314000000.0,8437000000.0,8180000000.0,6052000000.0
Goodwill And Other Intangible Assets,14618000000.0,14410000000.0,12734000000.0,10475000000.0
Other Intangible Assets,3686000000.0,3423000000.0,1818000000.0,1242000000.0
Goodwill,10932000000.0,10987000000.0,10916000000.0,9233000000.0
Net PPE,,,1919000000.0,1876000000.0
Gross PPE,,,1919000000.0,1876000000.0
Other Properties,,,1919000000.0,1876000000.0
Receivables,6460000000.0,6404000000.0,6040000000.0,6257000000.0
Other Receivables,6460000000.0,6404000000.0,6040000000.0,6257000000.0
Accounts Receivable,,,1022000000.0,938000000.0
Other Short Term Investments,10738000000.0,44159000000.0,131536000000.0,87358000000.0
Cash And Cash Equivalents,50725000000.0,34363000000.0,82254000000.0,92190000000.0
Cash Financial,6921000000.0,7043000000.0,8004000000.0,7017000000.0
Cash Cash Equivalents And Federal Funds Sold,50725000000.0,34363000000.0,82254000000.0,92190000000.0
