,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,543200000.0,278100000.0,553000000.0,511400000.0
Repurchase Of Capital Stock,0.0,-52700000.0,-150000000.0,-150200000.0
Repayment Of Debt,-332500000.0,-88300000.0,-103800000.0,-191500000.0
Issuance Of Debt,0.0,1515800000.0,159400000.0,0.0
Issuance Of Capital Stock,9600000.0,,22200000.0,32900000.0
Capital Expenditure,-76000000.0,-85200000.0,-60200000.0,-62200000.0
Interest Paid Supplemental Data,146400000.0,57000000.0,29900000.0,41000000.0
Income Tax Paid Supplemental Data,120000000.0,122600000.0,71800000.0,67700000.0
End Cash Position,170300000.0,108900000.0,94500000.0,82100000.0
Other Cash Adjustment Outside Changein Cash,,,,0.0
Beginning Cash Position,108900000.0,94500000.0,82100000.0,82500000.0
Effect Of Exchange Rate Changes,-4300000.0,1200000.0,12100000.0,-20200000.0
Changes In Cash,65700000.0,13200000.0,300000.0,19800000.0
Financing Cash Flow,-468100000.0,1232700000.0,-222200000.0,-435900000.0
Cash Flow From Continuing Financing Activities,-468100000.0,1232700000.0,-222200000.0,-435900000.0
Net Other Financing Charges,,-3500000.0,-17000000.0,
Proceeds From Stock Option Exercised,,-2700000.0,22200000.0,32900000.0
Cash Dividends Paid,-145200000.0,-138600000.0,-133000000.0,-127100000.0
Common Stock Dividend Paid,-145200000.0,-138600000.0,-133000000.0,-127100000.0
Net Common Stock Issuance,9600000.0,-52700000.0,-127800000.0,-117300000.0
Common Stock Payments,0.0,-52700000.0,-150000000.0,-150200000.0
Common Stock Issuance,9600000.0,,22200000.0,32900000.0
Net Issuance Payments Of Debt,-332500000.0,1427500000.0,55600000.0,-191500000.0
Net Long Term Debt Issuance,-332500000.0,1427500000.0,55600000.0,-191500000.0
Long Term Debt Payments,-332500000.0,-88300000.0,-103800000.0,-191500000.0
Long Term Debt Issuance,0.0,1515800000.0,159400000.0,0.0
Investing Cash Flow,-85400000.0,-1582800000.0,-390700000.0,-117900000.0
Cash From Discontinued Investing Activities,,,,0.0
Cash Flow From Continuing Investing Activities,-85400000.0,-1582800000.0,-390700000.0,-117900000.0
Net Other Investing Changes,4100000.0,300000.0,2700000.0,2200000.0
Net Investment Purchase And Sale,-18500000.0,78900000.0,0.0,
Sale Of Investment,,78900000.0,0.0,
Net Business Purchase And Sale,-600000.0,-1580900000.0,-337100000.0,-58000000.0
Sale Of Business,0.0,0.0,1400000.0,0.0
Purchase Of Business,-600000.0,-1580900000.0,-338500000.0,-58000000.0
Net PPE Purchase And Sale,5600000.0,4100000.0,3900000.0,100000.0
Sale Of PPE,5600000.0,4100000.0,3900000.0,100000.0
Capital Expenditure Reported,-76000000.0,-85200000.0,-60200000.0,-62200000.0
Operating Cash Flow,619200000.0,363300000.0,613200000.0,573600000.0
Cash From Discontinued Operating Activities,-1600000.0,-1000000.0,-400000.0,-600000.0
Cash Flow From Continuing Operating Activities,620800000.0,364300000.0,613600000.0,574200000.0
Change In Working Capital,-58600000.0,-214900000.0,-33100000.0,114600000.0
Change In Other Working Capital,19900000.0,-31400000.0,12200000.0,47600000.0
Change In Other Current Liabilities,-59500000.0,46500000.0,116200000.0,32000000.0
Change In Other Current Assets,-29100000.0,-16500000.0,-12300000.0,-2300000.0
Change In Payables And Accrued Expense,-75100000.0,-56900000.0,114200000.0,-81900000.0
Change In Payable,-75100000.0,-56900000.0,114200000.0,-81900000.0
Change In Account Payable,-75100000.0,-56900000.0,114200000.0,-81900000.0
Change In Inventory,109600000.0,-187000000.0,-121400000.0,-29100000.0
Change In Receivables,-24400000.0,30400000.0,-142000000.0,148300000.0
Changes In Account Receivables,-24400000.0,30400000.0,-142000000.0,148300000.0
Other Non Cash Items,-8700000.0,200000.0,-9400000.0,-9900000.0
Stock Based Compensation,29100000.0,24900000.0,29800000.0,20300000.0
Asset Impairment Charge,7900000.0,25600000.0,0.0,0.0
Deferred Tax,-92500000.0,-44800000.0,-9000000.0,4600000.0
Deferred Income Tax,-92500000.0,-44800000.0,-9000000.0,4600000.0
Depreciation Amortization Depletion,114800000.0,106600000.0,77500000.0,75100000.0
Depreciation And Amortization,114800000.0,106600000.0,77500000.0,75100000.0
Amortization Cash Flow,55300000.0,52500000.0,26300000.0,28400000.0
Amortization Of Intangibles,55300000.0,52500000.0,26300000.0,28400000.0
Depreciation,59500000.0,54100000.0,51200000.0,46700000.0
Operating Gains Losses,5900000.0,-16500000.0,1800000.0,10900000.0
Pension And Employee Benefit Expense,12100000.0,-12200000.0,2800000.0,12200000.0
Earnings Losses From Equity Investments,-2800000.0,-1800000.0,-300000.0,-1400000.0
Gain Loss On Sale Of Business,0.0,-200000.0,-1400000.0,100000.0
Net Income From Continuing Operations,622900000.0,483200000.0,556000000.0,358600000.0
