,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-638673000.0,-466049000.0,-613461000.0,-360219000.0
Repayment Of Debt,-32740000.0,-150000000.0,-19000000.0,-1685840000.0
Issuance Of Debt,931249000.0,924257000.0,888999000.0,2421687000.0
Capital Expenditure,-1846370000.0,-1707490000.0,-1473475000.0,-1326584000.0
Interest Paid Supplemental Data,310996000.0,245271000.0,227584000.0,216951000.0
Income Tax Paid Supplemental Data,8788000.0,46227000.0,229000.0,
End Cash Position,4955000.0,4832000.0,9969000.0,59968000.0
Beginning Cash Position,4832000.0,9969000.0,59968000.0,10283000.0
Changes In Cash,123000.0,-5137000.0,-49999000.0,49685000.0
Financing Cash Flow,486675000.0,371468000.0,476916000.0,361138000.0
Cash Flow From Continuing Financing Activities,486675000.0,371468000.0,476916000.0,361138000.0
Net Other Financing Charges,-21255000.0,-21255000.0,-21255000.0,-22743000.0
Cash Dividends Paid,-386486000.0,-378881000.0,-369478000.0,-350577000.0
Common Stock Dividend Paid,-386486000.0,-378881000.0,-369478000.0,-350577000.0
Net Common Stock Issuance,-4093000.0,-2653000.0,-2350000.0,-1389000.0
Net Issuance Payments Of Debt,898509000.0,774257000.0,869999000.0,735847000.0
Net Short Term Debt Issuance,241900000.0,48720000.0,123000000.0,54325000.0
Short Term Debt Payments,0.0,0.0,-19000000.0,-770690000.0
Short Term Debt Issuance,241900000.0,48720000.0,142000000.0,825015000.0
Net Long Term Debt Issuance,656609000.0,725537000.0,746999000.0,681522000.0
Long Term Debt Payments,-32740000.0,-150000000.0,0.0,-915150000.0
Long Term Debt Issuance,689349000.0,875537000.0,746999000.0,1596672000.0
Investing Cash Flow,-1694249000.0,-1618046000.0,-1386929000.0,-1277818000.0
Cash Flow From Continuing Investing Activities,-1694249000.0,-1618046000.0,-1386929000.0,-1277818000.0
Net Other Investing Changes,130844000.0,93794000.0,91060000.0,51856000.0
Net Investment Purchase And Sale,-2123000.0,-4350000.0,-4514000.0,-3090000.0
Sale Of Investment,1679722000.0,1207713000.0,1720966000.0,819518000.0
Purchase Of Investment,-1681845000.0,-1212063000.0,-1725480000.0,-822608000.0
Net Business Purchase And Sale,23400000.0,0.0,0.0,
Sale Of Business,23400000.0,0.0,0.0,
Capital Expenditure Reported,-1846370000.0,-1707490000.0,-1473475000.0,-1326584000.0
Operating Cash Flow,1207697000.0,1241441000.0,860014000.0,966365000.0
Cash Flow From Continuing Operating Activities,1207697000.0,1241441000.0,860014000.0,966365000.0
Change In Working Capital,-172364000.0,-13551000.0,-372149000.0,-233535000.0
Change In Other Working Capital,53112000.0,12432000.0,-17012000.0,2320000.0
Change In Other Current Liabilities,66306000.0,-267638000.0,-24333000.0,-150690000.0
Change In Other Current Assets,-124623000.0,340478000.0,-252231000.0,-98093000.0
Change In Payables And Accrued Expense,-73230000.0,85871000.0,29361000.0,8593000.0
Change In Payable,-73230000.0,85871000.0,29361000.0,8593000.0
Change In Account Payable,-75623000.0,90076000.0,20267000.0,-6059000.0
Change In Tax Payable,2393000.0,-4205000.0,9094000.0,14652000.0
Change In Income Tax Payable,2393000.0,-4205000.0,9094000.0,14652000.0
Change In Inventory,-42911000.0,-83469000.0,-32870000.0,11623000.0
Change In Receivables,-51018000.0,-101225000.0,-75064000.0,-7288000.0
Changes In Account Receivables,-61983000.0,-63869000.0,-72559000.0,-18191000.0
Other Non Cash Items,-55752000.0,-117676000.0,-254051000.0,-139070000.0
Stock Based Compensation,17341000.0,15942000.0,18460000.0,18292000.0
Deferred Tax,52755000.0,37309000.0,112669000.0,64373000.0
Deferred Income Tax,52755000.0,37309000.0,112669000.0,64373000.0
Depreciation Amortization Depletion,854136000.0,817814000.0,719141000.0,686253000.0
Depreciation And Amortization,854136000.0,817814000.0,719141000.0,686253000.0
Operating Gains Losses,-7200000.0,777000.0,,
Gain Loss On Investment Securities,-777000.0,777000.0,,
Gain Loss On Sale Of Business,-6423000.0,0.0,0.0,
Net Income From Continuing Operations,518781000.0,500826000.0,635944000.0,570052000.0
