,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-27090000.0,-3032600.0,-51300000.0,-31995000.0
Tax Rate For Calcs,0.21,0.059,0.27,0.27
Normalized EBITDA,654000000.0,406900000.0,885900000.0,636900000.0
Total Unusual Items,-129000000.0,-51400000.0,-190000000.0,-118500000.0
Total Unusual Items Excluding Goodwill,-129000000.0,-51400000.0,-190000000.0,-118500000.0
Net Income From Continuing Operation Net Minority Interest,-4400000.0,-130900000.0,-130900000.0,44200000.0
Reconciled Depreciation,359500000.0,338600000.0,312200000.0,384800000.0
Reconciled Cost Of Revenue,2975200000.0,2996200000.0,2722500000.0,2593300000.0
EBITDA,525000000.0,355500000.0,695900000.0,518400000.0
EBIT,165500000.0,16900000.0,383700000.0,133600000.0
Net Interest Income,-173800000.0,-156000000.0,-125000000.0,-127700000.0
Interest Expense,173800000.0,156000000.0,125000000.0,127700000.0
Normalized Income,97510000.0,-82532600.0,7800000.0,130705000.0
Net Income From Continuing And Discontinued Operation,-12700000.0,-140600000.0,-68900000.0,-162600000.0
Total Expenses,4371500000.0,4330200000.0,3538300000.0,3819800000.0
Total Operating Income As Reported,151900000.0,78900000.0,410400000.0,265200000.0
Diluted Average Shares,135300000.0,134500000.0,133600000.0,136100000.0
Basic Average Shares,135300000.0,134500000.0,133600000.0,136100000.0
Diluted EPS,-0.09,-1.04,-0.52,-1.19
Basic EPS,-0.09,-1.04,-0.52,-1.19
Diluted NI Availto Com Stockholders,-12700000.0,-140600000.0,-68900000.0,-162600000.0
Net Income Common Stockholders,-12700000.0,-140600000.0,-68900000.0,-162600000.0
Net Income,-12700000.0,-140600000.0,-68900000.0,-162600000.0
Net Income Including Noncontrolling Interests,-12700000.0,-140600000.0,-68900000.0,-162600000.0
Net Income Discontinuous Operations,-8300000.0,-9700000.0,62000000.0,-206800000.0
Net Income Continuous Operations,-4400000.0,-130900000.0,-130900000.0,44200000.0
Tax Provision,-3900000.0,-8200000.0,389600000.0,-38300000.0
Pretax Income,-8300000.0,-139100000.0,258700000.0,5900000.0
Other Income Expense,-118600000.0,-104500000.0,-216700000.0,-134800000.0
Other Non Operating Income Expenses,10400000.0,-53100000.0,-26700000.0,-16300000.0
Special Income Charges,-129000000.0,-51400000.0,-190000000.0,-23200000.0
Other Special Charges,-3200000.0,8900000.0,,20000000.0
Write Off,90000000.0,0.0,173100000.0,0.0
Restructuring And Mergern Acquisition,42200000.0,42500000.0,16900000.0,3200000.0
Gain On Sale Of Security,,,,-95300000.0
Net Non Operating Interest Income Expense,-173800000.0,-156000000.0,-125000000.0,-127700000.0
Total Other Finance Cost,,,125000000.0,127700000.0
Interest Expense Non Operating,173800000.0,156000000.0,125000000.0,127700000.0
Operating Income,284100000.0,121400000.0,600400000.0,268400000.0
Operating Expense,1396300000.0,1334000000.0,815800000.0,1226500000.0
Other Operating Expenses,-800000.0,800000.0,-417600000.0,-4300000.0
Research And Development,122500000.0,123100000.0,122000000.0,121700000.0
Selling General And Administration,1274600000.0,1210100000.0,1111400000.0,1109100000.0
Selling And Marketing Expense,752300000.0,697800000.0,629400000.0,630600000.0
General And Administrative Expense,522300000.0,512300000.0,482000000.0,478500000.0
Other Gand A,522300000.0,512300000.0,482000000.0,478500000.0
Gross Profit,1680400000.0,1455400000.0,1416200000.0,1494900000.0
Cost Of Revenue,2975200000.0,2996200000.0,2722500000.0,2593300000.0
Total Revenue,4655600000.0,4451600000.0,4138700000.0,4088200000.0
Operating Revenue,4655600000.0,4451600000.0,4138700000.0,4088200000.0
