,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,2785511000.0,2657368000.0,2273317000.0,1872904000.0
Repurchase Of Capital Stock,0.0,0.0,-1175000000.0,-1220000000.0
Repayment Of Debt,-8259000.0,-513495000.0,-2218000.0,-2020000.0
Issuance Of Debt,2181273000.0,0.0,5038904000.0,545151000.0
Issuance Of Capital Stock,0.0,242832000.0,1147455000.0,1220870000.0
Capital Expenditure,-461137000.0,-459773000.0,-270238000.0,-169998000.0
End Cash Position,400375000.0,805157000.0,761290000.0,282600000.0
Beginning Cash Position,805157000.0,761290000.0,282600000.0,433554000.0
Effect Of Exchange Rate Changes,0.0,0.0,505000.0,-426000.0
Changes In Cash,-404782000.0,43867000.0,478185000.0,-150528000.0
Financing Cash Flow,-112928000.0,-4193270000.0,3498141000.0,-1075716000.0
Cash Flow From Continuing Financing Activities,-112928000.0,-4193270000.0,3498141000.0,-1075716000.0
Net Other Financing Charges,-33751000.0,-49381000.0,-17972000.0,-2770000.0
Proceeds From Stock Option Exercised,53131000.0,35271000.0,95860000.0,-10518000.0
Cash Dividends Paid,-2305322000.0,-3908497000.0,-1588888000.0,-1606429000.0
Net Preferred Stock Issuance,0.0,242832000.0,-27545000.0,-11794000.0
Preferred Stock Payments,0.0,0.0,-1175000000.0,-1220000000.0
Preferred Stock Issuance,0.0,242832000.0,1147455000.0,1208206000.0
Net Common Stock Issuance,,35271000.0,95860000.0,12664000.0
Common Stock Payments,,,,-10518000.0
Common Stock Issuance,,35271000.0,95860000.0,12664000.0
Net Issuance Payments Of Debt,2173014000.0,-513495000.0,5036686000.0,543131000.0
Net Long Term Debt Issuance,2173014000.0,-513495000.0,5036686000.0,543131000.0
Long Term Debt Payments,-8259000.0,-513495000.0,-2218000.0,-2020000.0
Long Term Debt Issuance,2181273000.0,0.0,5038904000.0,545151000.0
Investing Cash Flow,-3538502000.0,1119996000.0,-5563511000.0,-1117714000.0
Cash Flow From Continuing Investing Activities,-3538502000.0,1119996000.0,-5563511000.0,-1117714000.0
Net Other Investing Changes,,,,7509000.0
Dividends Received Cfi,10975000.0,13670000.0,19518000.0,24658000.0
Net Investment Properties Purchase And Sale,-910189000.0,-1069912000.0,-5312791000.0,-979883000.0
Sale Of Investment Properties,39986000.0,1543000.0,16296000.0,1796000.0
Purchase Of Investment Properties,-950175000.0,-1071455000.0,-5329087000.0,-981679000.0
Net Business Purchase And Sale,-2178151000.0,2636011000.0,0.0,
Sale Of Business,0.0,2636011000.0,0.0,
Purchase Of Business,-2178151000.0,0.0,0.0,
Capital Expenditure Reported,-461137000.0,-459773000.0,-270238000.0,-169998000.0
Operating Cash Flow,3246648000.0,3117141000.0,2543555000.0,2042902000.0
Cash Flow From Continuing Operating Activities,3246648000.0,3117141000.0,2543555000.0,2042902000.0
Dividend Received Cfo,29333000.0,134769000.0,150488000.0,72098000.0
Change In Working Capital,18901000.0,-9051000.0,12865000.0,
Change In Other Current Assets,-16365000.0,-29638000.0,-44127000.0,
Change In Payables And Accrued Expense,35266000.0,20587000.0,56992000.0,
Change In Accrued Expense,35266000.0,20587000.0,56992000.0,
Other Non Cash Items,20508000.0,15207000.0,4883000.0,6994000.0
Stock Based Compensation,41566000.0,56703000.0,59815000.0,33363000.0
Depreciation Amortization Depletion,970056000.0,888146000.0,713428000.0,553257000.0
Depreciation And Amortization,970056000.0,888146000.0,713428000.0,553257000.0
Operating Gains Losses,6164000.0,-2334907000.0,-357563000.0,15963000.0
Earnings Losses From Equity Investments,-27897000.0,-106981000.0,-232093000.0,-80497000.0
Gain Loss On Investment Securities,-17178000.0,-1503000.0,-13683000.0,-1493000.0
Net Foreign Currency Exchange Gain Loss,51239000.0,-97563000.0,-111787000.0,97953000.0
Gain Loss On Sale Of Business,0.0,-2128860000.0,0.0,
Net Income From Continuing Operations,2160120000.0,4366274000.0,1959639000.0,1361227000.0
