,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-287369.906874,7209824.560106,705700.219168,-26044200.0
Tax Rate For Calcs,0.004984,0.00327,0.00627,0.27
Normalized EBITDA,3399782000.0,3200447000.0,2663659000.0,2067227000.0
Total Unusual Items,-57653000.0,2204618000.0,112547000.0,-96460000.0
Total Unusual Items Excluding Goodwill,-57653000.0,2204618000.0,112547000.0,-96460000.0
Net Income From Continuing Operation Net Minority Interest,2148327000.0,4349147000.0,1953263000.0,1357213000.0
Reconciled Depreciation,970056000.0,888146000.0,713428000.0,553257000.0
Reconciled Cost Of Revenue,1147946000.0,1052907000.0,920598000.0,867462000.0
EBITDA,3342129000.0,5405065000.0,2776206000.0,1970767000.0
EBIT,2372073000.0,4516919000.0,2062778000.0,1417510000.0
Net Interest Income,-136313000.0,-115495000.0,-78468000.0,-33960000.0
Interest Expense,201132000.0,136319000.0,90774000.0,56283000.0
Interest Income,64819000.0,20824000.0,12306000.0,22323000.0
Normalized Income,2205692630.093126,2151738824.560106,1841421700.219168,1427628800.0
Net Income From Continuing And Discontinued Operation,2148327000.0,4349147000.0,1953263000.0,1357213000.0
Total Expenses,2198634000.0,2012725000.0,1709992000.0,1503918000.0
Diluted Average Shares,176143000.0,176280000.0,175568000.0,174642000.0
Basic Average Shares,175472000.0,175257000.0,174858000.0,174494000.0
Diluted EPS,11.06,23.5,9.87,6.29
Basic EPS,11.11,23.64,9.91,6.29
Diluted NI Availto Com Stockholders,1948741000.0,4142288000.0,1732444000.0,1098335000.0
Net Income Common Stockholders,1948741000.0,4142288000.0,1732444000.0,1098335000.0
Otherunder Preferred Stock Dividend,4883000.0,12469000.0,5326000.0,3545000.0
Preferred Stock Dividends,194703000.0,194390000.0,215493000.0,255333000.0
Net Income,2148327000.0,4349147000.0,1953263000.0,1357213000.0
Minority Interests,-11793000.0,-17127000.0,-6376000.0,-4014000.0
Net Income Including Noncontrolling Interests,2160120000.0,4366274000.0,1959639000.0,1361227000.0
Net Income Continuous Operations,2160120000.0,4366274000.0,1959639000.0,1361227000.0
Tax Provision,10821000.0,14326000.0,12365000.0,
Pretax Income,2170941000.0,4380600000.0,1972004000.0,1361227000.0
Other Income Expense,-11802000.0,2326657000.0,344640000.0,-15963000.0
Other Non Operating Income Expenses,17954000.0,15058000.0,12205000.0,
Special Income Charges,-26451000.0,2100116000.0,-12923000.0,
Gain On Sale Of Ppe,,1503000.0,13683000.0,
Gain On Sale Of Business,0.0,2128860000.0,0.0,
Restructuring And Mergern Acquisition,26451000.0,28744000.0,12923000.0,
Earnings From Equity Interest,27897000.0,106981000.0,232093000.0,80497000.0
Gain On Sale Of Security,-31202000.0,104502000.0,125470000.0,-96460000.0
Net Non Operating Interest Income Expense,-136313000.0,-115495000.0,-78468000.0,-33960000.0
Interest Expense Non Operating,201132000.0,136319000.0,90774000.0,56283000.0
Interest Income Non Operating,64819000.0,20824000.0,12306000.0,22323000.0
Operating Income,2319056000.0,2169438000.0,1705832000.0,1411150000.0
Operating Expense,1050688000.0,959818000.0,789394000.0,636456000.0
Other Taxes,,16086000.0,11530000.0,8317000.0
Depreciation Amortization Depletion Income Statement,970056000.0,888146000.0,713428000.0,553257000.0
Depreciation And Amortization In Income Statement,970056000.0,888146000.0,713428000.0,553257000.0
Research And Development,,17540000.0,8403000.0,10839000.0
Selling General And Administration,80632000.0,71672000.0,75966000.0,64043000.0
General And Administrative Expense,80632000.0,71672000.0,75966000.0,64043000.0
Other Gand A,55233000.0,45011000.0,42237000.0,45457000.0
Salaries And Wages,25399000.0,26661000.0,33729000.0,18586000.0
Gross Profit,3369744000.0,3129256000.0,2495226000.0,2047606000.0
Cost Of Revenue,1147946000.0,1052907000.0,920598000.0,867462000.0
Total Revenue,4517690000.0,4182163000.0,3415824000.0,2915068000.0
Operating Revenue,4517690000.0,4182163000.0,3415824000.0,2915068000.0
