,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,28440462.0,27707927.0,25912579.0,24410601.0
Ordinary Shares Number,145508549.0,142930598.0,142633934.0,138300191.0
Share Issued,173949011.0,170638525.0,168546513.0,162710792.0
Net Debt,2908458000.0,3301422000.0,3524543000.0,1004438000.0
Total Debt,4463697000.0,3975491000.0,4002318000.0,1453014000.0
Tangible Book Value,863924000.0,338088000.0,-217765000.0,1787512000.0
Invested Capital,10470947000.0,9113391000.0,8865941000.0,5533239000.0
Working Capital,2463781000.0,2129876000.0,1567617000.0,1449833000.0
Net Tangible Assets,863924000.0,338088000.0,-217765000.0,1787512000.0
Capital Lease Obligations,264991000.0,245564000.0,248678000.0,263956000.0
Common Stock Equity,6272241000.0,5383464000.0,5112301000.0,4344181000.0
Total Capitalization,9935745000.0,9075896000.0,8836775000.0,5518475000.0
Total Equity Gross Minority Interest,6283355000.0,5398819000.0,5116921000.0,4348972000.0
Minority Interest,11114000.0,15355000.0,4620000.0,4791000.0
Stockholders Equity,6272241000.0,5383464000.0,5112301000.0,4344181000.0
Gains Losses Not Affecting Retained Earnings,-282945000.0,-310677000.0,-237689000.0,-232997000.0
Other Equity Adjustments,-282945000.0,-310677000.0,-237689000.0,-232997000.0
Treasury Stock,1305534000.0,1188061000.0,980265000.0,857817000.0
Retained Earnings,4858066000.0,4163212000.0,3714843000.0,3264967000.0
Additional Paid In Capital,3002652000.0,2718988000.0,2615410000.0,2170026000.0
Capital Stock,2000.0,2000.0,2000.0,2000.0
Common Stock,2000.0,2000.0,2000.0,2000.0
Total Liabilities Net Minority Interest,9953870000.0,8065518000.0,7738268000.0,4049300000.0
Total Non Current Liabilities Net Minority Interest,4740754000.0,4659324000.0,4573308000.0,1910744000.0
Other Non Current Liabilities,636250000.0,567519000.0,487309000.0,391221000.0
Non Current Deferred Liabilities,254004000.0,227861000.0,191098000.0,166407000.0
Non Current Deferred Taxes Liabilities,254004000.0,227861000.0,191098000.0,166407000.0
Long Term Debt And Capital Lease Obligation,3850500000.0,3863944000.0,3894901000.0,1353116000.0
Long Term Capital Lease Obligation,186996000.0,171512000.0,170427000.0,178822000.0
Long Term Debt,3663504000.0,3692432000.0,3724474000.0,1174294000.0
Current Liabilities,5213116000.0,3406194000.0,3164960000.0,2138556000.0
Current Deferred Liabilities,1538677000.0,1141518000.0,802872000.0,528864000.0
Current Deferred Revenue,1538677000.0,1141518000.0,802872000.0,528864000.0
Current Debt And Capital Lease Obligation,613197000.0,111547000.0,107417000.0,99898000.0
Current Capital Lease Obligation,77995000.0,74052000.0,78251000.0,85134000.0
Current Debt,535202000.0,37495000.0,29166000.0,14764000.0
Other Current Borrowings,535202000.0,37495000.0,29166000.0,14764000.0
Pensionand Other Post Retirement Benefit Plans Current,526221000.0,469048000.0,547161000.0,378002000.0
Payables And Accrued Expenses,2535021000.0,1684081000.0,1707510000.0,1131792000.0
Current Accrued Expenses,507433000.0,381995000.0,456392000.0,333769000.0
Payables,2027588000.0,1302086000.0,1251118000.0,798023000.0
Total Tax Payable,,,,62902000.0
Income Tax Payable,,,,32315000.0
Accounts Payable,2027588000.0,1302086000.0,1251118000.0,798023000.0
Total Assets,16237225000.0,13464337000.0,12855189000.0,8398272000.0
Total Non Current Assets,8560328000.0,7928267000.0,8122612000.0,4809883000.0
Other Non Current Assets,565625000.0,622736000.0,632244000.0,435713000.0
Goodwill And Other Intangible Assets,5408317000.0,5045376000.0,5330066000.0,2556669000.0
Other Intangible Assets,1362412000.0,1458631000.0,1801180000.0,435655000.0
Goodwill,4045905000.0,3586745000.0,3528886000.0,2121014000.0
Net PPE,2586386000.0,2260155000.0,2160302000.0,1817501000.0
Accumulated Depreciation,-1821410000.0,-1650913000.0,-1503498000.0,-1372132000.0
Gross PPE,4407796000.0,3911068000.0,3663800000.0,3189633000.0
Construction In Progress,73018000.0,84446000.0,91502000.0,20900000.0
Other Properties,415366000.0,331076000.0,304861000.0,309005000.0
Machinery Furniture Equipment,3360569000.0,3008828000.0,2862925000.0,2541233000.0
Buildings And Improvements,456004000.0,396003000.0,318499000.0,249106000.0
Land And Improvements,102839000.0,90715000.0,86013000.0,69389000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,7676897000.0,5536070000.0,4732577000.0,3588389000.0
Other Current Assets,387105000.0,249569000.0,215050000.0,183382000.0
Prepaid Assets,,,215050000.0,183382000.0
Inventory,175658000.0,103265000.0,84659000.0,50472000.0
Receivables,5823886000.0,4754731000.0,4203771000.0,3169915000.0
Other Receivables,1413057000.0,1080206000.0,803453000.0,453832000.0
Accounts Receivable,4410829000.0,3674525000.0,3400318000.0,2716083000.0
Allowance For Doubtful Accounts Receivable,-13962000.0,-15644000.0,-49749000.0,-16546000.0
Gross Accounts Receivable,4424791000.0,3690169000.0,3450067000.0,2732629000.0
Cash Cash Equivalents And Short Term Investments,1290248000.0,428505000.0,229097000.0,184620000.0
Cash And Cash Equivalents,1290248000.0,428505000.0,229097000.0,184620000.0
