,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,705959000.0,684278000.0,835777000.0,1114893000.0,
Repurchase Of Capital Stock,-400054000.0,-861751000.0,-1152287000.0,-515084000.0,
Repayment Of Debt,-58309000.0,0.0,-197500000.0,-1087994000.0,
Issuance Of Debt,0.0,0.0,499070000.0,1206750000.0,
Issuance Of Capital Stock,36918000.0,32507000.0,38303000.0,42598000.0,
Capital Expenditure,-127230000.0,-158953000.0,-213466000.0,-186960000.0,
Interest Paid Supplemental Data,55270000.0,66115000.0,59393000.0,81232000.0,
Income Tax Paid Supplemental Data,103059000.0,105788000.0,125322000.0,53236000.0,
End Cash Position,1049258000.0,808943000.0,972805000.0,1398309000.0,
Beginning Cash Position,808943000.0,972805000.0,1398309000.0,715612000.0,
Effect Of Exchange Rate Changes,3170000.0,-331000.0,-3281000.0,1425000.0,
Changes In Cash,237145000.0,-163531000.0,-422223000.0,681272000.0,
Financing Cash Flow,-459574000.0,-853353000.0,-875510000.0,-401923000.0,
Cash Flow From Continuing Financing Activities,-459574000.0,-853353000.0,-875510000.0,-401923000.0,
Net Other Financing Charges,-38129000.0,-24109000.0,-63096000.0,-48193000.0,
Net Common Stock Issuance,-363136000.0,-829244000.0,-1113984000.0,-472486000.0,
Common Stock Payments,-400054000.0,-861751000.0,-1152287000.0,-515084000.0,
Common Stock Issuance,36918000.0,32507000.0,38303000.0,42598000.0,
Net Issuance Payments Of Debt,-58309000.0,0.0,301570000.0,118756000.0,
Net Long Term Debt Issuance,-58309000.0,0.0,301570000.0,118756000.0,
Long Term Debt Payments,-58309000.0,0.0,-197500000.0,-1087994000.0,
Long Term Debt Issuance,0.0,0.0,499070000.0,1206750000.0,
Investing Cash Flow,-136470000.0,-153409000.0,-595956000.0,-218658000.0,
Cash Flow From Continuing Investing Activities,-136470000.0,-153409000.0,-595956000.0,-218658000.0,
Net Other Investing Changes,24186000.0,3792000.0,5748000.0,15371000.0,
Net Investment Purchase And Sale,,,,0.0,1950000.0
Sale Of Investment,,,,0.0,1950000.0
Purchase Of Investment,,,,0.0,0.0
Net Business Purchase And Sale,-82974000.0,-95000.0,-389136000.0,-47069000.0,
Purchase Of Business,-82974000.0,-95000.0,-389136000.0,-47069000.0,
Net PPE Purchase And Sale,-77682000.0,-157106000.0,-212568000.0,-186960000.0,
Sale Of PPE,49548000.0,1847000.0,898000.0,,
Purchase Of PPE,-127230000.0,-158953000.0,-213466000.0,-186960000.0,
Operating Cash Flow,833189000.0,843231000.0,1049243000.0,1301853000.0,
Cash Flow From Continuing Operating Activities,833189000.0,843231000.0,1049243000.0,1301853000.0,
Change In Working Capital,142404000.0,96985000.0,-523801000.0,-21663000.0,
Change In Other Working Capital,8681000.0,-33240000.0,-3139000.0,34618000.0,
Change In Other Current Liabilities,-50354000.0,36762000.0,-21963000.0,-20778000.0,
Change In Payables And Accrued Expense,220118000.0,-133108000.0,22135000.0,64872000.0,
Change In Accrued Expense,130979000.0,-17613000.0,-11815000.0,30671000.0,
Change In Payable,89139000.0,-115495000.0,33950000.0,34201000.0,
Change In Account Payable,89139000.0,-115495000.0,33950000.0,34201000.0,
Change In Prepaid Assets,-23174000.0,43240000.0,-176742000.0,-18490000.0,
Change In Inventory,92909000.0,-81450000.0,-236196000.0,9390000.0,
Change In Receivables,-105776000.0,264781000.0,-107896000.0,-91275000.0,
Changes In Account Receivables,-105776000.0,264781000.0,-107896000.0,-91275000.0,
Other Non Cash Items,6544000.0,25299000.0,14894000.0,-4657000.0,
Stock Based Compensation,120834000.0,105580000.0,83507000.0,89322000.0,
Asset Impairment Charge,258129000.0,239512000.0,48000000.0,5281000.0,
Deferred Tax,19405000.0,-66145000.0,31875000.0,-18136000.0,
Deferred Income Tax,19405000.0,-66145000.0,31875000.0,-18136000.0,
Depreciation Amortization Depletion,320933000.0,338848000.0,361415000.0,456104000.0,
Depreciation And Amortization,320933000.0,338848000.0,361415000.0,456104000.0,
Amortization Cash Flow,127898000.0,132425000.0,150466000.0,252898000.0,
Amortization Of Intangibles,127898000.0,132425000.0,150466000.0,252898000.0,
Depreciation,193035000.0,206423000.0,210949000.0,203206000.0,
Operating Gains Losses,35262000.0,,744000.0,61991000.0,-43008000.0
Earnings Losses From Equity Investments,,,0.0,0.0,-43008000.0
Net Foreign Currency Exchange Gain Loss,,,,,-1300000.0
Gain Loss On Sale Of Business,35262000.0,0.0,0.0,,
Net Income From Continuing Operations,-70322000.0,103152000.0,1033353000.0,733611000.0,
