,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,41032676.0,41032676.0,41032676.0,41032676.0
Preferred Shares Number,56000000.0,56000000.0,56000000.0,
Ordinary Shares Number,922343005.0,934491492.0,941907925.0,960474376.0
Share Issued,963375681.0,975524168.0,982940601.0,1001507052.0
Total Debt,2330000000.0,2284000000.0,2407000000.0,3569000000.0
Tangible Book Value,8926000000.0,7494000000.0,10200000000.0,10847000000.0
Invested Capital,18100000000.0,16572000000.0,19074000000.0,20024000000.0
Net Tangible Assets,10585000000.0,9153000000.0,11859000000.0,12503000000.0
Common Stock Equity,15770000000.0,14288000000.0,16667000000.0,16455000000.0
Preferred Stock Equity,1659000000.0,1659000000.0,1659000000.0,1656000000.0
Total Capitalization,19759000000.0,18231000000.0,20733000000.0,21680000000.0
Total Equity Gross Minority Interest,17493000000.0,15951000000.0,18326000000.0,18111000000.0
Minority Interest,64000000.0,4000000.0,0.0,
Stockholders Equity,17429000000.0,15947000000.0,18326000000.0,18111000000.0
Gains Losses Not Affecting Retained Earnings,-2812000000.0,-3343000000.0,289000000.0,1315000000.0
Other Equity Adjustments,-2812000000.0,-3343000000.0,289000000.0,1315000000.0
Treasury Stock,1371000000.0,1371000000.0,1371000000.0,1371000000.0
Retained Earnings,8186000000.0,7004000000.0,5550000000.0,3770000000.0
Additional Paid In Capital,11757000000.0,11988000000.0,12189000000.0,12731000000.0
Capital Stock,1669000000.0,1669000000.0,1669000000.0,1666000000.0
Common Stock,10000000.0,10000000.0,10000000.0,10000000.0
Preferred Stock,1659000000.0,1659000000.0,1659000000.0,1656000000.0
Total Liabilities Net Minority Interest,134701000000.0,139269000000.0,144612000000.0,129278000000.0
Long Term Debt And Capital Lease Obligation,2330000000.0,2284000000.0,2407000000.0,3569000000.0
Long Term Debt,2330000000.0,2284000000.0,2407000000.0,3569000000.0
Current Debt And Capital Lease Obligation,,,,0.0
Current Debt,,,,0.0
Other Current Borrowings,,,,0.0
Total Assets,152194000000.0,155220000000.0,162938000000.0,147389000000.0
Investments And Advances,30275000000.0,30042000000.0,30567000000.0,29493000000.0
Held To Maturity Securities,754000000.0,801000000.0,899000000.0,1122000000.0
Available For Sale Securities,4396000000.0,1308000000.0,1187000000.0,1217000000.0
Goodwill And Other Intangible Assets,6844000000.0,6794000000.0,6467000000.0,5608000000.0
Other Intangible Assets,1111000000.0,1061000000.0,723000000.0,418000000.0
Goodwill,5733000000.0,5733000000.0,5744000000.0,5190000000.0
Net PPE,1642000000.0,1718000000.0,1814000000.0,1897000000.0
Accumulated Depreciation,-3058000000.0,-2963000000.0,-2824000000.0,-2713000000.0
Gross PPE,4700000000.0,4681000000.0,4638000000.0,4610000000.0
Leases,449000000.0,455000000.0,434000000.0,413000000.0
Construction In Progress,150000000.0,101000000.0,152000000.0,208000000.0
Other Properties,1555000000.0,1680000000.0,1651000000.0,1678000000.0
Machinery Furniture Equipment,2137000000.0,2025000000.0,1982000000.0,1877000000.0
Buildings And Improvements,1555000000.0,1680000000.0,1651000000.0,1678000000.0
Land And Improvements,409000000.0,420000000.0,419000000.0,434000000.0
Receivables,614000000.0,511000000.0,319000000.0,346000000.0
Accounts Receivable,614000000.0,511000000.0,319000000.0,346000000.0
Other Short Term Investments,25125000000.0,27933000000.0,28481000000.0,27154000000.0
Cash And Cash Equivalents,6801000000.0,11227000000.0,29411000000.0,17956000000.0
Cash Financial,2635000000.0,1997000000.0,1350000000.0,1558000000.0
Cash Cash Equivalents And Federal Funds Sold,6801000000.0,11227000000.0,29411000000.0,17956000000.0
