,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-24465000.0,-20733600.0,2166600.0,476700.0
Tax Rate For Calcs,0.21,0.326,0.314,0.227
Normalized EBITDA,1057100000.0,1147000000.0,1070400000.0,972700000.0
Total Unusual Items,-116500000.0,-63600000.0,6900000.0,2100000.0
Total Unusual Items Excluding Goodwill,-116500000.0,-63600000.0,6900000.0,2100000.0
Net Income From Continuing Operation Net Minority Interest,339300000.0,491300000.0,491200000.0,484100000.0
Reconciled Depreciation,233400000.0,184600000.0,186400000.0,174200000.0
Reconciled Cost Of Revenue,3676900000.0,3720500000.0,3705300000.0,3157200000.0
EBITDA,940600000.0,1083400000.0,1077300000.0,974800000.0
EBIT,707200000.0,898800000.0,890900000.0,800600000.0
Net Interest Income,-268600000.0,-167400000.0,-172800000.0,-180700000.0
Interest Expense,277500000.0,169500000.0,174700000.0,174400000.0
Interest Income,14500000.0,7200000.0,6900000.0,10200000.0
Normalized Income,431335000.0,534166400.0,486466600.0,482476700.0
Net Income From Continuing And Discontinued Operation,341600000.0,491600000.0,506800000.0,502900000.0
Total Expenses,4669400000.0,4691300000.0,4664100000.0,4105100000.0
Total Operating Income As Reported,754600000.0,944800000.0,900900000.0,788100000.0
Diluted Average Shares,144900000.0,147400000.0,152400000.0,156000000.0
Basic Average Shares,144400000.0,145900000.0,150900000.0,155200000.0
Diluted EPS,2.36,3.33,3.32,3.22
Basic EPS,2.37,3.37,3.36,3.24
Diluted NI Availto Com Stockholders,341600000.0,491600000.0,506800000.0,502700000.0
Average Dilution Earnings,,,,0.0
Net Income Common Stockholders,341600000.0,491600000.0,506800000.0,502700000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,200000.0
Net Income,341600000.0,491600000.0,506800000.0,502900000.0
Net Income Including Noncontrolling Interests,341600000.0,491600000.0,506800000.0,502900000.0
Net Income Discontinuous Operations,2300000.0,300000.0,15600000.0,18800000.0
Net Income Continuous Operations,339300000.0,491300000.0,491200000.0,484100000.0
Tax Provision,90400000.0,238000000.0,225000000.0,142100000.0
Pretax Income,429700000.0,729300000.0,716200000.0,626200000.0
Other Income Expense,-121200000.0,-53900000.0,19300000.0,8800000.0
Other Non Operating Income Expenses,-4700000.0,9700000.0,12400000.0,6700000.0
Special Income Charges,-78100000.0,-17000000.0,4600000.0,-10000000.0
Gain On Sale Of Business,-49300000.0,6300000.0,45700000.0,1000000.0
Other Special Charges,13200000.0,11200000.0,18600000.0,
Write Off,0.0,0.0,8000000.0,0.0
Restructuring And Mergern Acquisition,15600000.0,12100000.0,14500000.0,11000000.0
Gain On Sale Of Security,-38400000.0,-46600000.0,2300000.0,12100000.0
Net Non Operating Interest Income Expense,-268600000.0,-167400000.0,-172800000.0,-180700000.0
Total Other Finance Cost,5600000.0,5100000.0,5000000.0,6300000.0
Interest Expense Non Operating,277500000.0,169500000.0,174700000.0,174400000.0
Interest Income Non Operating,14500000.0,7200000.0,6900000.0,10200000.0
Operating Income,819500000.0,950600000.0,869700000.0,798100000.0
Operating Expense,821800000.0,822300000.0,811200000.0,811200000.0
Depreciation Amortization Depletion Income Statement,62700000.0,36100000.0,38800000.0,37500000.0
Depreciation And Amortization In Income Statement,62700000.0,36100000.0,38800000.0,37500000.0
Amortization,62700000.0,36100000.0,38800000.0,37500000.0
Amortization Of Intangibles Income Statement,62700000.0,36100000.0,38800000.0,37500000.0
Selling General And Administration,759100000.0,786200000.0,772400000.0,773700000.0
Gross Profit,1641300000.0,1772900000.0,1680900000.0,1609300000.0
Cost Of Revenue,3847600000.0,3869000000.0,3852900000.0,3293900000.0
Total Revenue,5488900000.0,5641900000.0,5533800000.0,4903200000.0
Operating Revenue,5488900000.0,5641900000.0,5533800000.0,4903200000.0
