,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-25311200.0,-8815000.0,-14694120.786267,-970000.0
Tax Rate For Calcs,0.232,0.215,0.170862,0.194
Normalized EBITDA,4259000000.0,3586000000.0,3241900000.0,3446000000.0
Total Unusual Items,-109100000.0,-41000000.0,-86000000.0,-5000000.0
Total Unusual Items Excluding Goodwill,-109100000.0,-41000000.0,-86000000.0,-5000000.0
Net Income From Continuing Operation Net Minority Interest,2388800000.0,2020100000.0,1864400000.0,2030400000.0
Reconciled Depreciation,622500000.0,581100000.0,572600000.0,581400000.0
Reconciled Cost Of Revenue,12293800000.0,12823800000.0,11401900000.0,9411100000.0
EBITDA,4149900000.0,3545000000.0,3155900000.0,3441000000.0
EBIT,3527400000.0,2963900000.0,2583300000.0,2859600000.0
Net Interest Income,-407300000.0,-395000000.0,-340100000.0,-347200000.0
Interest Expense,417500000.0,390800000.0,334700000.0,340400000.0
Interest Income,25200000.0,8000000.0,4900000.0,3600000.0
Normalized Income,2472588800.0,2052285000.0,1935705879.213733,2034430000.0
Net Income From Continuing And Discontinued Operation,2388800000.0,2020100000.0,1864400000.0,2030400000.0
Total Expenses,19445500000.0,19148300000.0,17279900000.0,15507500000.0
Diluted Average Shares,258300000.0,261800000.0,267100000.0,275827869.0
Basic Average Shares,255400000.0,258000000.0,262500000.0,271277583.0
Diluted EPS,9.25,7.72,6.98,7.36
Basic EPS,9.35,7.83,7.1,7.483333
Diluted NI Availto Com Stockholders,2388800000.0,2020100000.0,1864400000.0,2030400000.0
Net Income Common Stockholders,2388800000.0,2020100000.0,1864400000.0,2030400000.0
Net Income,2388800000.0,2020100000.0,1864400000.0,2030400000.0
Net Income Including Noncontrolling Interests,2388800000.0,2020100000.0,1864400000.0,2030400000.0
Net Income Continuous Operations,2388800000.0,2020100000.0,1864400000.0,2030400000.0
Tax Provision,721100000.0,553000000.0,384200000.0,488800000.0
Pretax Income,3109900000.0,2573100000.0,2248600000.0,2519200000.0
Other Income Expense,-89200000.0,-32500000.0,-76000000.0,12200000.0
Other Non Operating Income Expenses,19900000.0,8500000.0,10000000.0,17200000.0
Special Income Charges,-51500000.0,2300000.0,-104400000.0,-14200000.0
Gain On Sale Of Ppe,-900000.0,17800000.0,6100000.0,9400000.0
Gain On Sale Of Business,20100000.0,0.0,-111900000.0,0.0
Other Special Charges,12800000.0,,-1400000.0,21300000.0
Impairment Of Capital Assets,57900000.0,15500000.0,0.0,2300000.0
Gain On Sale Of Security,-57600000.0,-43300000.0,18400000.0,9200000.0
Net Non Operating Interest Income Expense,-407300000.0,-395000000.0,-340100000.0,-347200000.0
Total Other Finance Cost,15000000.0,12200000.0,10300000.0,10400000.0
Interest Expense Non Operating,417500000.0,390800000.0,334700000.0,340400000.0
Interest Income Non Operating,25200000.0,8000000.0,4900000.0,3600000.0
Operating Income,3606400000.0,3000600000.0,2664700000.0,2854200000.0
Operating Expense,7151700000.0,6324500000.0,5878000000.0,5828400000.0
Other Operating Expenses,80700000.0,-7100000.0,-4000000.0,37100000.0
Depreciation Amortization Depletion Income Statement,,317100000.0,309500000.0,313400000.0
Depreciation And Amortization In Income Statement,,317100000.0,309500000.0,313400000.0
Amortization,,317100000.0,309500000.0,313400000.0
Amortization Of Intangibles Income Statement,,317100000.0,309500000.0,313400000.0
Selling General And Administration,7071000000.0,6331600000.0,5882000000.0,5477900000.0
General And Administrative Expense,7071000000.0,6331600000.0,5882000000.0,5477900000.0
Other Gand A,7071000000.0,6331600000.0,5882000000.0,5477900000.0
Salaries And Wages,-21100000.0,4000000.0,4400000.0,4900000.0
Gross Profit,10758100000.0,9325100000.0,8542700000.0,8682600000.0
Cost Of Revenue,12293800000.0,12823800000.0,11401900000.0,9679100000.0
Total Revenue,23051900000.0,22148900000.0,19944600000.0,18361700000.0
Operating Revenue,23051900000.0,22148900000.0,19944600000.0,18361700000.0
