,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,129595000.0,229503000.0,276088000.0,255979000.0,
Repurchase Of Capital Stock,-2503000.0,-11700000.0,-169164000.0,-347443000.0,
Repayment Of Debt,-1578977000.0,-853826000.0,-2156364000.0,-2183478000.0,
Issuance Of Debt,1174450000.0,667656000.0,1983854000.0,1579551000.0,
Issuance Of Capital Stock,386790000.0,0.0,0.0,,
Interest Paid Supplemental Data,200752000.0,229119000.0,169519000.0,152773000.0,
Income Tax Paid Supplemental Data,9001000.0,7815000.0,5358000.0,4405000.0,
End Cash Position,331638000.0,335519000.0,384054000.0,336984000.0,
Beginning Cash Position,335519000.0,384054000.0,336984000.0,372795000.0,
Changes In Cash,-3881000.0,-48535000.0,47070000.0,-35811000.0,
Financing Cash Flow,-252229000.0,-449383000.0,-654823000.0,-1285371000.0,
Cash Flow From Continuing Financing Activities,-252229000.0,-449383000.0,-654823000.0,-1285371000.0,
Net Other Financing Charges,-65474000.0,-21107000.0,-51538000.0,-64482000.0,
Proceeds From Stock Option Exercised,52308000.0,525000.0,525000.0,1556000.0,
Cash Dividends Paid,-218823000.0,-230931000.0,-262136000.0,-271075000.0,
Net Preferred Stock Issuance,-2503000.0,-11700000.0,-17967000.0,-6040000.0,
Preferred Stock Payments,-2503000.0,-11700000.0,-17967000.0,-6040000.0,
Net Common Stock Issuance,386790000.0,0.0,-151197000.0,-341403000.0,
Common Stock Payments,0.0,0.0,-151197000.0,-341403000.0,
Common Stock Issuance,386790000.0,0.0,0.0,,
Net Issuance Payments Of Debt,-404527000.0,-186170000.0,-172510000.0,-603927000.0,
Net Short Term Debt Issuance,,-290000000.0,-340000000.0,-320000000.0,-380000000.0
Short Term Debt Payments,,-828000000.0,-1864000000.0,-1808000000.0,-1875000000.0
Short Term Debt Issuance,,538000000.0,1524000000.0,1488000000.0,1495000000.0
Net Long Term Debt Issuance,-404527000.0,-186170000.0,-172510000.0,-603927000.0,
Long Term Debt Payments,-1578977000.0,-853826000.0,-2156364000.0,-2183478000.0,
Long Term Debt Issuance,1174450000.0,667656000.0,1983854000.0,1579551000.0,
Investing Cash Flow,118753000.0,171345000.0,425805000.0,993581000.0,
Cash Flow From Continuing Investing Activities,118753000.0,171345000.0,425805000.0,993581000.0,
Net Other Investing Changes,-98877000.0,,60494000.0,,
Dividends Received Cfi,161474000.0,140569000.0,141742000.0,770604000.0,
Net Investment Purchase And Sale,13283000.0,-82691000.0,146984000.0,106057000.0,
Sale Of Investment,63496000.0,0.0,198351000.0,211752000.0,
Purchase Of Investment,-50213000.0,-82691000.0,-51367000.0,-105695000.0,
Net Investment Properties Purchase And Sale,517156000.0,297948000.0,261103000.0,205792000.0,
Sale Of Investment Properties,729025000.0,557611000.0,626364000.0,661069000.0,
Purchase Of Investment Properties,-211869000.0,-259663000.0,-365261000.0,-455277000.0,
Net Business Purchase And Sale,-474283000.0,-184481000.0,-184518000.0,-88872000.0,
Purchase Of Business,-474283000.0,-184481000.0,-184518000.0,-88872000.0,
Operating Cash Flow,129595000.0,229503000.0,276088000.0,255979000.0,
Cash Flow From Continuing Operating Activities,129595000.0,229503000.0,276088000.0,255979000.0,
Dividend Received Cfo,12992000.0,9897000.0,780000.0,824000.0,
Change In Working Capital,-132524000.0,2949000.0,-40356000.0,-120515000.0,
Change In Other Working Capital,-34070000.0,-9370000.0,-3460000.0,-11844000.0,
Change In Other Current Liabilities,-16703000.0,-11796000.0,1111000.0,-33241000.0,
Change In Other Current Assets,15968000.0,-1922000.0,-28204000.0,20245000.0,
Change In Payables And Accrued Expense,-74501000.0,11974000.0,-30839000.0,-66387000.0,
Change In Payable,-74501000.0,11974000.0,-30839000.0,-66387000.0,
Change In Account Payable,-74501000.0,11974000.0,-30839000.0,-66387000.0,
Change In Receivables,-23218000.0,14063000.0,21036000.0,-29288000.0,
Changes In Account Receivables,-11804000.0,-1725000.0,14370000.0,-20561000.0,
Other Non Cash Items,-23992000.0,54856000.0,19096000.0,-159442000.0,
Provisionand Write Offof Assets,104071000.0,382374000.0,6313000.0,23794000.0,
Asset Impairment Charge,,,,,60454000.0
Depreciation Amortization Depletion,214062000.0,255647000.0,223984000.0,228393000.0,
Depreciation And Amortization,214062000.0,255647000.0,223984000.0,228393000.0,
Operating Gains Losses,-75236000.0,123117000.0,142574000.0,-197707000.0,
Earnings Losses From Equity Investments,179695000.0,76509000.0,57958000.0,55402000.0,
Gain Loss On Investment Securities,-3025000.0,32370000.0,84485000.0,-287417000.0,
Gain Loss On Sale Of Business,-208144000.0,13368000.0,131000.0,32757000.0,
Net Income From Continuing Operations,30222000.0,-599337000.0,-76303000.0,480632000.0,
