,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,30552000.0,-5076000.0,19552000.0,899313.501144
Tax Rate For Calcs,0.114,0.188,0.104,0.112414
Normalized EBITDA,11509000000.0,10336000000.0,8198000000.0,9214000000.0
Total Unusual Items,268000000.0,-27000000.0,188000000.0,8000000.0
Total Unusual Items Excluding Goodwill,268000000.0,-27000000.0,188000000.0,8000000.0
Net Income From Continuing Operation Net Minority Interest,3976000000.0,3535000000.0,2408000000.0,3134000000.0
Reconciled Depreciation,4986000000.0,4064000000.0,3973000000.0,3905000000.0
Reconciled Cost Of Revenue,13084000000.0,18000000000.0,12458000000.0,10091000000.0
EBITDA,11777000000.0,10309000000.0,8386000000.0,9222000000.0
EBIT,6791000000.0,6245000000.0,4413000000.0,5317000000.0
Net Interest Income,-2446000000.0,-2022000000.0,-1837000000.0,-1821000000.0
Interest Expense,2446000000.0,2022000000.0,1837000000.0,1821000000.0
Normalized Income,3738552000.0,3556924000.0,2239552000.0,3126899313.501144
Net Income From Continuing And Discontinued Operation,3976000000.0,3535000000.0,2408000000.0,3134000000.0
Total Expenses,19427000000.0,23658000000.0,19413000000.0,15555000000.0
Total Operating Income As Reported,5826000000.0,5370000000.0,3698000000.0,4885000000.0
Diluted Average Shares,1098000000.0,1080981595.0,1061000000.0,1058000000.0
Basic Average Shares,1092000000.0,1075000000.0,1061000000.0,1058000000.0
Diluted EPS,3.62,3.26,2.26,2.95
Basic EPS,3.64,3.28,2.26,2.95
Diluted NI Availto Com Stockholders,3976000000.0,3524000000.0,2393000000.0,3119000000.0
Net Income Common Stockholders,3976000000.0,3524000000.0,2393000000.0,3119000000.0
Preferred Stock Dividends,,11000000.0,15000000.0,15000000.0
Net Income,3976000000.0,3535000000.0,2408000000.0,3134000000.0
Minority Interests,127000000.0,107000000.0,99000000.0,31000000.0
Net Income Including Noncontrolling Interests,3849000000.0,3428000000.0,2309000000.0,3103000000.0
Net Income Continuous Operations,3849000000.0,3428000000.0,2309000000.0,3103000000.0
Tax Provision,496000000.0,795000000.0,267000000.0,393000000.0
Pretax Income,4345000000.0,4223000000.0,2576000000.0,3496000000.0
Other Income Expense,965000000.0,624000000.0,713000000.0,497000000.0
Other Non Operating Income Expenses,553000000.0,500000000.0,449000000.0,336000000.0
Special Income Charges,268000000.0,-27000000.0,188000000.0,8000000.0
Gain On Sale Of Business,,57000000.0,186000000.0,65000000.0
Other Special Charges,-268000000.0,-224000000.0,-190000000.0,-149000000.0
Write Off,0.0,251000000.0,2000000.0,0.0
Impairment Of Capital Assets,,0.0,7000000.0,206000000.0
Earnings From Equity Interest,144000000.0,151000000.0,76000000.0,153000000.0
Net Non Operating Interest Income Expense,-2446000000.0,-2022000000.0,-1837000000.0,-1821000000.0
Interest Expense Non Operating,2446000000.0,2022000000.0,1837000000.0,1821000000.0
Operating Income,5826000000.0,5621000000.0,3700000000.0,4820000000.0
Operating Expense,5882000000.0,5257000000.0,6547000000.0,5077000000.0
Other Operating Expenses,-68000000.0,183000000.0,1692000000.0,325000000.0
Other Taxes,1425000000.0,1411000000.0,1290000000.0,1234000000.0
Depreciation Amortization Depletion Income Statement,4525000000.0,3663000000.0,3565000000.0,3518000000.0
Depreciation And Amortization In Income Statement,4525000000.0,3663000000.0,3565000000.0,3518000000.0
Gross Profit,11708000000.0,10878000000.0,10247000000.0,9897000000.0
Cost Of Revenue,13545000000.0,18401000000.0,12866000000.0,10478000000.0
Total Revenue,25253000000.0,29279000000.0,23113000000.0,20375000000.0
Operating Revenue,24304000000.0,28547000000.0,22405000000.0,19694000000.0
