,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,73211000.0,73211000.0,73211000.0
Share Issued,73211000.0,73211000.0,73211000.0
Net Debt,2182521.0,,
Total Debt,2202500.0,125341.0,
Tangible Book Value,-28533250.0,-3894774.0,5531073.0
Invested Capital,-26330750.0,-3769433.0,6687209.0
Working Capital,-42862281.0,-148043.0,1283337.0
Net Tangible Assets,-28533250.0,-3894774.0,5531073.0
Common Stock Equity,-28533250.0,-3894774.0,6687209.0
Total Capitalization,-28533250.0,-3894774.0,6687209.0
Total Equity Gross Minority Interest,-28533250.0,-3894774.0,6687209.0
Stockholders Equity,-28533250.0,-3894774.0,6687209.0
Other Equity Interest,12.0,12.0,
Retained Earnings,-28533570.0,-3895094.0,
Additional Paid In Capital,0.0,0.0,
Capital Stock,320.0,320.0,
Common Stock,320.0,320.0,
Preferred Stock,0.0,0.0,
Total Liabilities Net Minority Interest,99878541.0,132474809.0,23737.0
Total Non Current Liabilities Net Minority Interest,28665243.0,131565483.0,0.0
Other Non Current Liabilities,24342743.0,127242983.0,
Non Current Deferred Liabilities,4322500.0,4322500.0,
Non Current Deferred Revenue,4322500.0,4322500.0,
Current Liabilities,71213298.0,909326.0,23737.0
Other Current Liabilities,64562831.0,465240.0,
Current Deferred Liabilities,520000.0,0.0,
Current Deferred Revenue,520000.0,0.0,
Current Debt And Capital Lease Obligation,2202500.0,125341.0,
Current Debt,2202500.0,125341.0,
Other Current Borrowings,2202500.0,125341.0,
Payables And Accrued Expenses,3927967.0,783985.0,23737.0
Current Accrued Expenses,0.0,5000.0,23362.0
Payables,3927967.0,778985.0,375.0
Total Tax Payable,1796948.0,339899.0,
Income Tax Payable,906563.0,339899.0,
Accounts Payable,2131019.0,439086.0,375.0
Total Assets,71345291.0,128580035.0,6710946.0
Total Non Current Assets,42994274.0,127818752.0,5403872.0
Other Non Current Assets,42994274.0,127818752.0,
Duefrom Related Parties Non Current,,0.0,1070000.0
Non Current Accounts Receivable,,,1070000.0
Goodwill And Other Intangible Assets,,1332197.0,1156136.0
Other Intangible Assets,,1332197.0,1156136.0
Net PPE,,2630458.0,3177736.0
Accumulated Depreciation,,-3177683.0,-2620261.0
Gross PPE,,5808141.0,5797997.0
Construction In Progress,,0.0,17332.0
Other Properties,,-1.0,
Machinery Furniture Equipment,,2124763.0,2104221.0
Buildings And Improvements,,3623242.0,3616307.0
Land And Improvements,,60137.0,60137.0
Properties,,0.0,0.0
Current Assets,28351017.0,761283.0,1307074.0
Other Current Assets,,,1.0
Hedging Assets Current,28245500.0,0.0,
Prepaid Assets,85538.0,215628.0,44666.0
Inventory,,22731.0,22731.0
Receivables,,1071037.0,1230997.0
Duefrom Related Parties Current,,1070000.0,1230000.0
Accounts Receivable,,1037.0,997.0
Cash Cash Equivalents And Short Term Investments,19979.0,545655.0,8679.0
Cash And Cash Equivalents,19979.0,545655.0,8679.0
Cash Financial,19979.0,545655.0,8679.0
