,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-2661093.0,-725102.0,-3091574.0
Repurchase Of Capital Stock,-89038494.0,,
Issuance Of Debt,2077159.0,0.0,
Issuance Of Capital Stock,0.0,123500000.0,
Capital Expenditure,,-235694.0,-261501.0
Income Tax Paid Supplemental Data,1012944.0,0.0,
End Cash Position,19979.0,545655.0,8679.0
Beginning Cash Position,545655.0,0.0,42990.0
Changes In Cash,-525676.0,545655.0,-34311.0
Financing Cash Flow,-86441335.0,127240757.0,3057263.0
Cash Flow From Continuing Financing Activities,-86441335.0,127240757.0,3057263.0
Net Other Financing Charges,520000.0,-1664243.0,3057263.0
Proceeds From Stock Option Exercised,0.0,5405000.0,
Net Common Stock Issuance,-89038494.0,123500000.0,
Common Stock Payments,-89038494.0,,
Common Stock Issuance,0.0,123500000.0,
Net Issuance Payments Of Debt,2077159.0,0.0,
Net Short Term Debt Issuance,2077159.0,0.0,
Short Term Debt Issuance,2077159.0,0.0,
Investing Cash Flow,88576752.0,-125970000.0,-261501.0
Cash Flow From Continuing Investing Activities,88576752.0,-125970000.0,-261501.0
Net Other Investing Changes,88576752.0,-125970000.0,
Net PPE Purchase And Sale,,-10144.0,-19755.0
Purchase Of PPE,,-10144.0,-19755.0
Capital Expenditure Reported,,-225550.0,-241746.0
Operating Cash Flow,-2661093.0,-725102.0,-2830073.0
Cash Flow From Continuing Operating Activities,-2661093.0,-725102.0,-2830074.0
Change In Working Capital,2419556.0,513307.0,-12536.0
Change In Other Current Assets,35870.0,-35870.0,
Change In Payables And Accrued Expense,2253596.0,764805.0,-64853.0
Change In Accrued Expense,-5000.0,0.0,-65210.0
Change In Payable,2258596.0,764805.0,357.0
Change In Account Payable,1691932.0,424906.0,357.0
Change In Tax Payable,566664.0,339899.0,
Change In Income Tax Payable,566664.0,339899.0,
Change In Prepaid Assets,130090.0,-215628.0,158.0
Change In Inventory,,0.0,19444.0
Change In Receivables,,1059960.0,32715.0
Changes In Account Receivables,,-40.0,32715.0
Other Non Cash Items,-3788143.0,-1832314.0,1.0
Depreciation Amortization Depletion,,606911.0,657182.0
Depreciation And Amortization,,606911.0,657182.0
Operating Gains Losses,18483096.0,,
Gain Loss On Investment Securities,18483096.0,,
Net Income From Continuing Operations,-19775602.0,593905.0,-3474720.0
