,2024-02-29,2023-02-28,2022-02-28,2021-02-28,2020-02-29
Free Cash Flow,1510900000.0,1721500000.0,1678600000.0,1941900000.0,
Repurchase Of Capital Stock,-249700000.0,-3200200000.0,-1390500000.0,0.0,
Repayment Of Debt,-809700000.0,-2159700000.0,-1365300000.0,-2721300000.0,
Issuance Of Debt,1144400000.0,3344900000.0,995600000.0,1194700000.0,
Capital Expenditure,-1269100000.0,-1035400000.0,-1026800000.0,-864600000.0,
Interest Paid Supplemental Data,418600000.0,386300000.0,368500000.0,418500000.0,
Income Tax Paid Supplemental Data,333500000.0,129700000.0,324700000.0,189700000.0,
End Cash Position,152400000.0,133500000.0,199400000.0,460600000.0,
Beginning Cash Position,133500000.0,199400000.0,460600000.0,81400000.0,
Effect Of Exchange Rate Changes,-600000.0,-3500000.0,-1300000.0,7200000.0,
Changes In Cash,19500000.0,-62400000.0,-259900000.0,372000000.0,
Financing Cash Flow,-1474600000.0,-1819900000.0,-1929500000.0,-2346600000.0,
Cash Flow From Continuing Financing Activities,-1474600000.0,-1819900000.0,-1929500000.0,-2346600000.0,
Net Other Financing Charges,-86400000.0,-101900000.0,-96900000.0,-65000000.0,
Proceeds From Stock Option Exercised,104500000.0,42400000.0,177600000.0,58900000.0,
Cash Dividends Paid,-653800000.0,-587700000.0,-573000000.0,-575000000.0,
Common Stock Dividend Paid,-653800000.0,-587700000.0,-573000000.0,-575000000.0,
Net Common Stock Issuance,-249700000.0,-3200200000.0,-1390500000.0,0.0,
Common Stock Payments,-249700000.0,-3200200000.0,-1390500000.0,0.0,
Net Issuance Payments Of Debt,-589200000.0,2027500000.0,-46700000.0,-1765500000.0,
Net Short Term Debt Issuance,-923900000.0,842300000.0,323000000.0,-238900000.0,
Net Long Term Debt Issuance,334700000.0,1185200000.0,-369700000.0,-1526600000.0,
Long Term Debt Payments,-809700000.0,-2159700000.0,-1365300000.0,-2721300000.0,
Long Term Debt Issuance,1144400000.0,3344900000.0,995600000.0,1194700000.0,
Investing Cash Flow,-1285900000.0,-999400000.0,-1035800000.0,-87900000.0,
Cash Flow From Continuing Investing Activities,-1285900000.0,-999400000.0,-1035800000.0,-87900000.0,
Net Other Investing Changes,19600000.0,7200000.0,2100000.0,19500000.0,
Net Investment Purchase And Sale,300000.0,0.0,74400000.0,0.0,
Sale Of Investment,300000.0,0.0,74400000.0,0.0,
Net Business Purchase And Sale,-36700000.0,28800000.0,-85500000.0,757200000.0,
Sale Of Business,5400000.0,96700000.0,4600000.0,999500000.0,
Purchase Of Business,-42100000.0,-67900000.0,-90100000.0,-242300000.0,
Net PPE Purchase And Sale,-1269100000.0,-1035400000.0,-1026800000.0,-864600000.0,
Purchase Of PPE,-1269100000.0,-1035400000.0,-1026800000.0,-864600000.0,
Operating Cash Flow,2780000000.0,2756900000.0,2705400000.0,2806500000.0,
Cash Flow From Continuing Operating Activities,2780000000.0,2756900000.0,2705400000.0,2806500000.0,
Change In Working Capital,-287800000.0,-274500000.0,-185600000.0,148300000.0,
Change In Other Working Capital,-11000000.0,12800000.0,118000000.0,,1400000.0
Change In Payables And Accrued Expense,-91200000.0,-124900000.0,184900000.0,-170700000.0,
Change In Accrued Expense,-115900000.0,-239800000.0,-28800000.0,-75000000.0,
Change In Payable,24700000.0,114900000.0,213700000.0,-95700000.0,
Change In Account Payable,24700000.0,114900000.0,213700000.0,-95700000.0,
Change In Prepaid Assets,-76500000.0,197900000.0,-113200000.0,65700000.0,
Change In Inventory,-182300000.0,-356400000.0,-261300000.0,193700000.0,
Change In Receivables,73200000.0,-3900000.0,-114000000.0,59600000.0,
Changes In Account Receivables,73200000.0,-3900000.0,-114000000.0,59600000.0,
Other Non Cash Items,119500000.0,262100000.0,96700000.0,50500000.0,
Stock Based Compensation,63600000.0,68500000.0,44900000.0,63000000.0,
Unrealized Gain Loss On Investment Securities,85400000.0,45900000.0,1644700000.0,-802000000.0,
Asset Impairment Charge,137400000.0,1130000000.0,671000000.0,11300000.0,
Deferred Tax,147900000.0,207800000.0,84800000.0,336400000.0,
Deferred Income Tax,147900000.0,207800000.0,84800000.0,336400000.0,
Depreciation Amortization Depletion,427900000.0,383800000.0,337300000.0,293800000.0,
Depreciation And Amortization,427900000.0,383800000.0,337300000.0,293800000.0,
Depreciation,427900000.0,383800000.0,337300000.0,293800000.0,
Operating Gains Losses,320900000.0,971800000.0,10600000.0,673400000.0,
Earnings Losses From Equity Investments,321200000.0,971800000.0,61600000.0,673400000.0,
Gain Loss On Investment Securities,-300000.0,,-51000000.0,,-400000.0
Gain Loss On Sale Of Business,,,-1700000.0,-14200000.0,-74100000.0
Net Income From Continuing Operations,1765200000.0,-38500000.0,1000000.0,2031800000.0,
