,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,120000.0,1388600.0,-2221618.583739,0.0
Tax Rate For Calcs,0.075,0.131,0.165792,0.144
Normalized EBITDA,1351000000.0,1319000000.0,1009800000.0,601200000.0
Total Unusual Items,1600000.0,10600000.0,-13400000.0,0.0
Total Unusual Items Excluding Goodwill,1600000.0,10600000.0,-13400000.0,0.0
Net Income From Continuing Operation Net Minority Interest,885700000.0,788600000.0,445300000.0,401900000.0
Reconciled Depreciation,316400000.0,332200000.0,371800000.0,116200000.0
Reconciled Cost Of Revenue,3076400000.0,2997800000.0,2550400000.0,1827900000.0
EBITDA,1352600000.0,1329600000.0,996400000.0,601200000.0
EBIT,1036200000.0,997400000.0,624600000.0,485000000.0
Net Interest Income,-77300000.0,-89300000.0,-90800000.0,-15300000.0
Interest Expense,77300000.0,89300000.0,90800000.0,15300000.0
Normalized Income,884220000.0,779388600.0,456478381.416261,401900000.0
Net Income From Continuing And Discontinued Operation,885700000.0,788600000.0,445300000.0,401900000.0
Total Expenses,4601100000.0,4486600000.0,3990000000.0,2606100000.0
Total Operating Income As Reported,1034400000.0,972000000.0,624300000.0,480100000.0
Diluted Average Shares,47900000.0,47700000.0,46692296.0,37900000.0
Basic Average Shares,47331845.0,46912635.0,46692296.0,36951607.0
Diluted EPS,18.49,16.53,9.544493,10.62
Basic EPS,18.71256,16.824869,9.544493,10.875842
Diluted NI Availto Com Stockholders,885700000.0,788600000.0,445300000.0,401900000.0
Net Income Common Stockholders,885700000.0,788600000.0,445300000.0,401900000.0
Net Income,885700000.0,788600000.0,445300000.0,401900000.0
Minority Interests,-900000.0,-300000.0,0.0,0.0
Net Income Including Noncontrolling Interests,886600000.0,788900000.0,445300000.0,401900000.0
Net Income Continuous Operations,886600000.0,788900000.0,445300000.0,401900000.0
Tax Provision,72300000.0,119200000.0,88500000.0,67800000.0
Pretax Income,958900000.0,908100000.0,533800000.0,469700000.0
Other Income Expense,1800000.0,25400000.0,300000.0,4900000.0
Other Non Operating Income Expenses,200000.0,14800000.0,13700000.0,4900000.0
Special Income Charges,1600000.0,10600000.0,-13400000.0,0.0
Other Special Charges,-1600000.0,-10600000.0,13400000.0,
Net Non Operating Interest Income Expense,-77300000.0,-89300000.0,-90800000.0,-15300000.0
Interest Expense Non Operating,77300000.0,89300000.0,90800000.0,15300000.0
Operating Income,1034400000.0,972000000.0,624300000.0,480100000.0
Operating Expense,1405000000.0,1358300000.0,1217100000.0,700800000.0
Depreciation Amortization Depletion Income Statement,196700000.0,201700000.0,149300000.0,38800000.0
Depreciation And Amortization In Income Statement,196700000.0,201700000.0,149300000.0,38800000.0
Amortization,196700000.0,201700000.0,149300000.0,38800000.0
Amortization Of Intangibles Income Statement,196700000.0,201700000.0,149300000.0,38800000.0
Selling General And Administration,1208300000.0,1156600000.0,1067800000.0,662000000.0
General And Administrative Expense,1195900000.0,1145200000.0,1056600000.0,649900000.0
Other Gand A,1208300000.0,1156600000.0,1067800000.0,662000000.0
Salaries And Wages,-12400000.0,-11400000.0,-11200000.0,-12100000.0
Gross Profit,2439400000.0,2330300000.0,1841400000.0,1180900000.0
Cost Of Revenue,3196100000.0,3128300000.0,2772900000.0,1905300000.0
Total Revenue,5635500000.0,5458600000.0,4614300000.0,3086200000.0
Operating Revenue,5635500000.0,5458600000.0,4614300000.0,3086200000.0
