,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.219,0.187,0.22,0.212
Normalized EBITDA,8600000000.0,6596000000.0,11970000000.0,9008000000.0
Net Income From Continuing Operation Net Minority Interest,4138000000.0,2780000000.0,6946000000.0,4368000000.0
Reconciled Depreciation,2801000000.0,2700000000.0,2642000000.0,2485000000.0
Reconciled Cost Of Revenue,77350000000.0,81914000000.0,74665000000.0,65922000000.0
EBITDA,8600000000.0,6596000000.0,11970000000.0,9008000000.0
EBIT,5799000000.0,3896000000.0,9328000000.0,6523000000.0
Net Interest Income,-502000000.0,-478000000.0,-421000000.0,-977000000.0
Interest Expense,502000000.0,478000000.0,421000000.0,977000000.0
Normalized Income,4138000000.0,2780000000.0,6946000000.0,4368000000.0
Net Income From Continuing And Discontinued Operation,4138000000.0,2780000000.0,6946000000.0,4368000000.0
Total Expenses,101705000000.0,105272000000.0,97059000000.0,87022000000.0
Total Operating Income As Reported,5707000000.0,3848000000.0,8946000000.0,6539000000.0
Diluted Average Shares,462800000.0,464700000.0,492700000.0,505400000.0
Basic Average Shares,461500000.0,462100000.0,488100000.0,500600000.0
Diluted EPS,8.94,5.98,14.1,8.64
Basic EPS,8.96,6.02,14.23,8.72
Diluted NI Availto Com Stockholders,4138000000.0,2780000000.0,6946000000.0,4368000000.0
Net Income Common Stockholders,4138000000.0,2780000000.0,6946000000.0,4368000000.0
Net Income,4138000000.0,2780000000.0,6946000000.0,4368000000.0
Net Income Including Noncontrolling Interests,4138000000.0,2780000000.0,6946000000.0,4368000000.0
Net Income Discontinuous Operations,,,0.0,0.0
Net Income Continuous Operations,4138000000.0,2780000000.0,6946000000.0,4368000000.0
Tax Provision,1159000000.0,638000000.0,1961000000.0,1178000000.0
Pretax Income,5297000000.0,3418000000.0,8907000000.0,5546000000.0
Other Income Expense,92000000.0,48000000.0,382000000.0,-16000000.0
Other Non Operating Income Expenses,92000000.0,48000000.0,382000000.0,-16000000.0
Net Non Operating Interest Income Expense,-502000000.0,-478000000.0,-421000000.0,-977000000.0
Interest Expense Non Operating,502000000.0,478000000.0,421000000.0,977000000.0
Operating Income,5707000000.0,3848000000.0,8946000000.0,6539000000.0
Operating Expense,23969000000.0,23043000000.0,22096000000.0,20845000000.0
Depreciation Amortization Depletion Income Statement,2415000000.0,2385000000.0,2344000000.0,2230000000.0
Depreciation And Amortization In Income Statement,2415000000.0,2385000000.0,2344000000.0,2230000000.0
Selling General And Administration,21554000000.0,20658000000.0,19752000000.0,18615000000.0
Gross Profit,29676000000.0,26891000000.0,31042000000.0,27384000000.0
Cost Of Revenue,77736000000.0,82229000000.0,74963000000.0,66177000000.0
Total Revenue,107412000000.0,109120000000.0,106005000000.0,93561000000.0
Operating Revenue,105803000000.0,107588000000.0,104611000000.0,92400000000.0
