,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-20655000.0,-10260000.0,-24625000.0,-11682000.0
Tax Rate For Calcs,0.045,0.09,0.125,0.118
Normalized EBITDA,11538000000.0,12056000000.0,12166000000.0,10207000000.0
Total Unusual Items,-459000000.0,-114000000.0,-197000000.0,-99000000.0
Total Unusual Items Excluding Goodwill,-459000000.0,-114000000.0,-197000000.0,-99000000.0
Net Income From Continuing Operation Net Minority Interest,5995000000.0,6950000000.0,7725000000.0,6375000000.0
Reconciled Depreciation,3406000000.0,3381000000.0,2592000000.0,2325000000.0
Reconciled Cost Of Revenue,25757000000.0,25944000000.0,19573000000.0,16214000000.0
EBITDA,11079000000.0,11942000000.0,11969000000.0,10108000000.0
EBIT,7673000000.0,8561000000.0,9377000000.0,7783000000.0
Net Interest Income,-496000000.0,-454000000.0,-493000000.0,-488000000.0
Interest Expense,1375000000.0,726000000.0,536000000.0,553000000.0
Interest Income,879000000.0,272000000.0,43000000.0,65000000.0
Normalized Income,6433345000.0,7053740000.0,7897375000.0,6462318000.0
Net Income From Continuing And Discontinued Operation,5995000000.0,6950000000.0,7725000000.0,6375000000.0
Total Expenses,35539000000.0,36408000000.0,28986000000.0,24325000000.0
Total Operating Income As Reported,6859000000.0,8393000000.0,10028000000.0,7794000000.0
Diluted Average Shares,388000000.0,394000000.0,397000000.0,399000000.0
Basic Average Shares,386000000.0,392000000.0,394000000.0,396000000.0
Diluted EPS,15.45,17.63,19.46,15.96
Basic EPS,15.52,17.75,19.62,16.09
Diluted NI Availto Com Stockholders,5995000000.0,6950000000.0,7725000000.0,6375000000.0
Net Income Common Stockholders,5995000000.0,6950000000.0,7725000000.0,6375000000.0
Net Income,5995000000.0,6950000000.0,7725000000.0,6375000000.0
Minority Interests,40000000.0,-10000000.0,-3000000.0,-2000000.0
Net Income Including Noncontrolling Interests,5955000000.0,6960000000.0,7728000000.0,6377000000.0
Net Income Continuous Operations,5955000000.0,6960000000.0,7728000000.0,6377000000.0
Earnings From Equity Interest Net Of Tax,-59000000.0,-172000000.0,-4000000.0,-3000000.0
Tax Provision,284000000.0,703000000.0,1109000000.0,850000000.0
Pretax Income,6298000000.0,7835000000.0,8841000000.0,7230000000.0
Other Income Expense,-524000000.0,-218000000.0,-891000000.0,-175000000.0
Other Non Operating Income Expenses,-65000000.0,-104000000.0,-694000000.0,-76000000.0
Special Income Charges,-459000000.0,-114000000.0,-197000000.0,-99000000.0
Restructuring And Mergern Acquisition,459000000.0,114000000.0,197000000.0,99000000.0
Net Non Operating Interest Income Expense,-496000000.0,-454000000.0,-493000000.0,-488000000.0
Interest Expense Non Operating,1375000000.0,726000000.0,536000000.0,553000000.0
Interest Income Non Operating,879000000.0,272000000.0,43000000.0,65000000.0
Operating Income,7318000000.0,8507000000.0,10225000000.0,7893000000.0
Operating Expense,9782000000.0,10464000000.0,9413000000.0,8111000000.0
Research And Development,1337000000.0,1471000000.0,1406000000.0,1181000000.0
Selling General And Administration,8445000000.0,8993000000.0,8007000000.0,6930000000.0
Gross Profit,17100000000.0,18971000000.0,19638000000.0,16004000000.0
Cost Of Revenue,25757000000.0,25944000000.0,19573000000.0,16214000000.0
Total Revenue,42857000000.0,44915000000.0,39211000000.0,32218000000.0
Operating Revenue,42857000000.0,44915000000.0,39211000000.0,32218000000.0
