,2024-03-31,2023-03-31,2021-12-31,2020-12-31
Free Cash Flow,203637000.0,-197952000.0,595070000.0,120573000.0
Repurchase Of Capital Stock,-75000000.0,-125000000.0,0.0,0.0
Repayment Of Debt,0.0,0.0,-506280000.0,-800000000.0
Issuance Of Debt,,0.0,0.0,1288753000.0
Capital Expenditure,-150333000.0,-158066000.0,-69759000.0,-92291000.0
Interest Paid Supplemental Data,4428000.0,19218000.0,25226000.0,28626000.0
Income Tax Paid Supplemental Data,,,,24443000.0
End Cash Position,876917000.0,726745000.0,1682870000.0,1528515000.0
Beginning Cash Position,726745000.0,1021387000.0,1528515000.0,796008000.0
Effect Of Exchange Rate Changes,-19775000.0,-5315000.0,-23391000.0,16445000.0
Changes In Cash,169947000.0,-289327000.0,177746000.0,716062000.0
Financing Cash Flow,-78690000.0,-126375000.0,-418737000.0,436853000.0
Cash Flow From Continuing Financing Activities,-78690000.0,-126375000.0,-418737000.0,436853000.0
Net Other Financing Charges,-6883000.0,-5151000.0,83855000.0,-56644000.0
Proceeds From Stock Option Exercised,3193000.0,3776000.0,3688000.0,4744000.0
Net Common Stock Issuance,-75000000.0,-125000000.0,0.0,0.0
Common Stock Payments,-75000000.0,-125000000.0,0.0,0.0
Net Issuance Payments Of Debt,0.0,0.0,-506280000.0,488753000.0
Net Long Term Debt Issuance,0.0,0.0,-506280000.0,488753000.0
Long Term Debt Payments,0.0,0.0,-506280000.0,-800000000.0
Long Term Debt Issuance,,0.0,0.0,1288753000.0
Investing Cash Flow,-105333000.0,-123066000.0,-68346000.0,66345000.0
Cash Flow From Continuing Investing Activities,-105333000.0,-123066000.0,-68346000.0,66345000.0
Net Business Purchase And Sale,45000000.0,35000000.0,0.0,158636000.0
Sale Of Business,45000000.0,35000000.0,0.0,198916000.0
Purchase Of Business,,0.0,0.0,-40280000.0
Net PPE Purchase And Sale,-150333000.0,-158066000.0,-68346000.0,-92291000.0
Sale Of PPE,0.0,0.0,1413000.0,0.0
Purchase Of PPE,-150333000.0,-158066000.0,-69759000.0,-92291000.0
Operating Cash Flow,353970000.0,-39886000.0,664829000.0,212864000.0
Cash Flow From Continuing Operating Activities,353970000.0,-39886000.0,664829000.0,212864000.0
Change In Working Capital,-79495000.0,-443469000.0,22539000.0,202908000.0
Change In Other Working Capital,-60352000.0,17541000.0,-1973000.0,2511000.0
Change In Other Current Liabilities,-21427000.0,851000.0,-38861000.0,-19250000.0
Change In Other Current Assets,34920000.0,-60944000.0,79782000.0,-259735000.0
Change In Payables And Accrued Expense,-276506000.0,84433000.0,-90740000.0,280370000.0
Change In Accrued Expense,-18267000.0,-9388000.0,-114794000.0,318532000.0
Change In Payable,-258239000.0,93821000.0,24054000.0,-38162000.0
Change In Account Payable,-197887000.0,76280000.0,26027000.0,-40673000.0
Change In Tax Payable,-60352000.0,17541000.0,-1973000.0,2511000.0
Change In Income Tax Payable,-60352000.0,17541000.0,-1973000.0,2511000.0
Change In Prepaid Assets,-29060000.0,-37907000.0,10224000.0,18603000.0
Change In Inventory,216484000.0,-368992000.0,93287000.0,15306000.0
Change In Receivables,-3906000.0,-60910000.0,-31153000.0,167614000.0
Changes In Account Receivables,-3906000.0,-60910000.0,-31153000.0,167614000.0
Other Non Cash Items,8213000.0,4151000.0,43829000.0,482613000.0
Stock Based Compensation,42998000.0,36811000.0,43794000.0,42070000.0
Provisionand Write Offof Assets,13612000.0,11696000.0,-25766000.0,10347000.0
Asset Impairment Charge,,,,470543000.0
Deferred Tax,-23693000.0,-153143000.0,-2642000.0,43992000.0
Deferred Income Tax,-23693000.0,-153143000.0,-2642000.0,43992000.0
Depreciation Amortization Depletion,142590000.0,135456000.0,141144000.0,164984000.0
Depreciation And Amortization,142590000.0,135456000.0,141144000.0,164984000.0
Operating Gains Losses,17703000.0,-5847000.0,81871000.0,-184873000.0
Net Foreign Currency Exchange Gain Loss,16080000.0,-8463000.0,18877000.0,-9295000.0
Gain Loss On Sale Of PPE,1623000.0,2616000.0,4468000.0,3740000.0
Gain Loss On Sale Of Business,,0.0,0.0,-179318000.0
Net Income From Continuing Operations,232042000.0,374459000.0,360060000.0,-549177000.0
