,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-260000000.0,1247000000.0,-40000000.0,-5860000000.0
Repurchase Of Capital Stock,,0.0,0.0,-353000000.0
Repayment Of Debt,-4248000000.0,-4011000000.0,-5205000000.0,-4449000000.0
Issuance Of Debt,2388000000.0,736000000.0,11096000000.0,15676000000.0
Issuance Of Capital Stock,0.0,0.0,532000000.0,2103000000.0
Capital Expenditure,-7171000000.0,-4819000000.0,-2107000000.0,-1727000000.0
Interest Paid Supplemental Data,1848000000.0,1573000000.0,1424000000.0,874000000.0
Income Tax Paid Supplemental Data,7000000.0,8000000.0,0.0,
End Cash Position,6334000000.0,7421000000.0,18533000000.0,11742000000.0
Beginning Cash Position,7421000000.0,18533000000.0,11742000000.0,2868000000.0
Changes In Cash,-1087000000.0,-11112000000.0,6791000000.0,8874000000.0
Financing Cash Flow,-1892000000.0,-3349000000.0,6396000000.0,12957000000.0
Cash Flow From Continuing Financing Activities,-1892000000.0,-3349000000.0,6396000000.0,12957000000.0
Net Other Financing Charges,-32000000.0,-74000000.0,-27000000.0,-20000000.0
Net Common Stock Issuance,0.0,0.0,532000000.0,1750000000.0
Common Stock Payments,,0.0,0.0,-353000000.0
Common Stock Issuance,0.0,0.0,532000000.0,2103000000.0
Net Issuance Payments Of Debt,-1860000000.0,-3275000000.0,5891000000.0,11227000000.0
Net Long Term Debt Issuance,-1860000000.0,-3275000000.0,5891000000.0,11227000000.0
Long Term Debt Payments,-4248000000.0,-4011000000.0,-5205000000.0,-4449000000.0
Long Term Debt Issuance,2388000000.0,736000000.0,11096000000.0,15676000000.0
Investing Cash Flow,-6106000000.0,-13829000000.0,-1672000000.0,50000000.0
Cash Flow From Continuing Investing Activities,-6106000000.0,-13829000000.0,-1672000000.0,50000000.0
Net Other Investing Changes,-23000000.0,-69000000.0,-1000000.0,4000000.0
Net Investment Purchase And Sale,1049000000.0,-9148000000.0,329000000.0,1767000000.0
Sale Of Investment,10519000000.0,2084000000.0,397000000.0,2319000000.0
Purchase Of Investment,-9470000000.0,-11232000000.0,-68000000.0,-552000000.0
Net Business Purchase And Sale,,,,0.0
Purchase Of Business,,,,0.0
Net PPE Purchase And Sale,39000000.0,207000000.0,107000000.0,6000000.0
Sale Of PPE,39000000.0,207000000.0,107000000.0,6000000.0
Capital Expenditure Reported,-7171000000.0,-4819000000.0,-2107000000.0,-1727000000.0
Operating Cash Flow,6911000000.0,6066000000.0,2067000000.0,-4133000000.0
Cash Flow From Continuing Operating Activities,6911000000.0,6066000000.0,2067000000.0,-4133000000.0
Change In Working Capital,664000000.0,2255000000.0,1670000000.0,227000000.0
Change In Other Working Capital,-383000000.0,1593000000.0,1828000000.0,713000000.0
Change In Other Current Liabilities,1038000000.0,110000000.0,-403000000.0,-26000000.0
Change In Other Current Assets,,-86000000.0,-292000000.0,484000000.0
Change In Payables And Accrued Expense,572000000.0,796000000.0,985000000.0,-1079000000.0
Change In Payable,572000000.0,796000000.0,985000000.0,-1079000000.0
Change In Account Payable,572000000.0,796000000.0,985000000.0,-1079000000.0
Change In Prepaid Assets,-463000000.0,-86000000.0,-292000000.0,
Change In Receivables,-100000000.0,-158000000.0,-448000000.0,135000000.0
Changes In Account Receivables,,,,135000000.0
Other Non Cash Items,229000000.0,390000000.0,425000000.0,1768000000.0
Unrealized Gain Loss On Investment Securities,-27000000.0,-20000000.0,34000000.0,
Deferred Tax,756000000.0,248000000.0,-583000000.0,-1741000000.0
Deferred Income Tax,756000000.0,248000000.0,-583000000.0,-1741000000.0
Depreciation Amortization Depletion,2671000000.0,2456000000.0,2485000000.0,2488000000.0
Depreciation And Amortization,2671000000.0,2456000000.0,2485000000.0,2488000000.0
Operating Gains Losses,,,34000000.0,194000000.0
Gain Loss On Investment Securities,,,34000000.0,194000000.0
Net Income From Continuing Operations,2618000000.0,737000000.0,-1964000000.0,-7069000000.0
