,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,67181833.0,70628950.0,77091064.0,85062569.0
Share Issued,67181833.0,70628950.0,77091064.0,85062569.0
Net Debt,4793030000.0,4705162000.0,4074987000.0,2631761000.0
Total Debt,5366628000.0,5271278000.0,4559396000.0,4194350000.0
Tangible Book Value,2216594000.0,2011126000.0,2127040000.0,2434431000.0
Invested Capital,11061470000.0,10728562000.0,10279952000.0,10173397000.0
Working Capital,798003000.0,622921000.0,279447000.0,800830000.0
Net Tangible Assets,2216594000.0,2011126000.0,2127040000.0,2434431000.0
Capital Lease Obligations,454159000.0,463298000.0,369108000.0,338099000.0
Common Stock Equity,6149001000.0,5920582000.0,6089664000.0,6317146000.0
Total Capitalization,10934784000.0,10647115000.0,10231543000.0,9841399000.0
Total Equity Gross Minority Interest,6201906000.0,5970045000.0,6198172000.0,6406536000.0
Minority Interest,52905000.0,49463000.0,108508000.0,89390000.0
Stockholders Equity,6149001000.0,5920582000.0,6089664000.0,6317146000.0
Other Equity Interest,-659890000.0,-604127000.0,-545487000.0,-479503000.0
Gains Losses Not Affecting Retained Earnings,9289000.0,-9668000.0,30291000.0,48120000.0
Other Equity Adjustments,9289000.0,-9668000.0,30291000.0,48120000.0
Retained Earnings,6798930000.0,6533667000.0,6604089000.0,6747678000.0
Capital Stock,672000.0,710000.0,771000.0,851000.0
Common Stock,672000.0,710000.0,771000.0,851000.0
Total Liabilities Net Minority Interest,7765696000.0,7524143000.0,6895371000.0,7070343000.0
Total Non Current Liabilities Net Minority Interest,5752349000.0,5609724000.0,4911262000.0,4589304000.0
Other Non Current Liabilities,584007000.0,487669000.0,464759000.0,458549000.0
Preferred Securities Outside Stock Equity,,,5119000.0,4569000.0
Non Current Deferred Liabilities,,,0.0,328199000.0
Non Current Deferred Revenue,,,0.0,322617000.0
Non Current Deferred Taxes Liabilities,,,0.0,5582000.0
Long Term Debt And Capital Lease Obligation,5168342000.0,5122055000.0,4446503000.0,3802556000.0
Long Term Capital Lease Obligation,382559000.0,395522000.0,304624000.0,278303000.0
Long Term Debt,4785783000.0,4726533000.0,4141879000.0,3524253000.0
Current Liabilities,2013347000.0,1914419000.0,1984109000.0,2481039000.0
Current Deferred Liabilities,5375000.0,2397000.0,6000.0,376151000.0
Current Deferred Revenue,5375000.0,2397000.0,6000.0,376151000.0
Current Debt And Capital Lease Obligation,198286000.0,149223000.0,112893000.0,391794000.0
Current Capital Lease Obligation,71600000.0,67776000.0,64484000.0,59796000.0
Current Debt,126686000.0,81447000.0,48409000.0,331998000.0
Other Current Borrowings,126686000.0,81447000.0,48409000.0,331998000.0
Pensionand Other Post Retirement Benefit Plans Current,549470000.0,470858000.0,466353000.0,410165000.0
Current Provisions,,,,12625000.0
Payables And Accrued Expenses,1260216000.0,1291941000.0,1404857000.0,1302929000.0
Current Accrued Expenses,490010000.0,539843000.0,574444000.0,535756000.0
Interest Payable,17436000.0,16243000.0,14408000.0,9458000.0
Payables,770206000.0,752098000.0,830413000.0,767173000.0
Total Tax Payable,156232000.0,115497000.0,171513000.0,196650000.0
Income Tax Payable,2046000.0,4608000.0,10720000.0,44423000.0
Accounts Payable,613974000.0,636601000.0,658900000.0,570523000.0
Total Assets,13967602000.0,13494188000.0,13093543000.0,13476879000.0
Total Non Current Assets,11156252000.0,10956848000.0,10829987000.0,10195010000.0
Other Non Current Assets,572754000.0,599623000.0,573379000.0,574984000.0
Non Current Deferred Assets,92600000.0,74661000.0,52232000.0,27674000.0
Non Current Deferred Taxes Assets,85626000.0,68397000.0,45707000.0,22689000.0
Goodwill And Other Intangible Assets,3932407000.0,3909456000.0,3962624000.0,3882715000.0
Goodwill,3932407000.0,3909456000.0,3962624000.0,3882715000.0
Net PPE,6558491000.0,6373108000.0,6241752000.0,5709637000.0
Accumulated Depreciation,-5652518000.0,-5167394000.0,-4896427000.0,-4512764000.0
Gross PPE,12211009000.0,11540502000.0,11138179000.0,10222401000.0
Leases,101318000.0,102494000.0,102940000.0,75611000.0
Construction In Progress,732184000.0,562825000.0,665482000.0,507402000.0
Other Properties,3500301000.0,3391642000.0,3127411000.0,2944205000.0
Machinery Furniture Equipment,,2936992000.0,2759934000.0,2607692000.0
Buildings And Improvements,7139980000.0,6756228000.0,6509629000.0,6030183000.0
Land And Improvements,737226000.0,727313000.0,732717000.0,665000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,2811350000.0,2537340000.0,2263556000.0,3281869000.0
Other Current Assets,236658000.0,198283000.0,194781000.0,138034000.0
Inventory,216988000.0,218517000.0,206839000.0,190417000.0
Raw Materials,216988000.0,218517000.0,206839000.0,190417000.0
Receivables,2238265000.0,2017722000.0,1746635000.0,1728928000.0
Accounts Receivable,2238265000.0,2017722000.0,1746635000.0,1728928000.0
Cash Cash Equivalents And Short Term Investments,119439000.0,102818000.0,115301000.0,1224490000.0
Cash And Cash Equivalents,119439000.0,102818000.0,115301000.0,1224490000.0
