,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.235,0.242,0.236,0.239
Normalized EBITDA,1710678000.0,1570485000.0,1910198000.0,1868861000.0
Net Income From Continuing Operation Net Minority Interest,717795000.0,675609000.0,991590000.0,943953000.0
Reconciled Depreciation,568041000.0,581861000.0,533213000.0,510493000.0
Reconciled Cost Of Revenue,1532828000.0,1474339000.0,1427134000.0,1288132000.0
EBITDA,1710678000.0,1570485000.0,1910198000.0,1868861000.0
EBIT,1142637000.0,988624000.0,1376985000.0,1358368000.0
Net Interest Income,-206674000.0,-126889000.0,-83672000.0,-106285000.0
Interest Expense,202211000.0,122364000.0,83672000.0,106285000.0
Interest Income,572000.0,378000.0,1596000.0,2804000.0
Normalized Income,717795000.0,675609000.0,991590000.0,943953000.0
Net Income From Continuing And Discontinued Operation,717795000.0,675609000.0,991590000.0,943953000.0
Total Expenses,13106595000.0,12395815000.0,11279023000.0,10200543000.0
Rent Expense Supplemental,141026000.0,131626000.0,118863000.0,116059000.0
Total Operating Income As Reported,1175381000.0,1003555000.0,1363094000.0,1358354000.0
Diluted Average Shares,70125000.0,73832000.0,83692000.0,85587000.0
Basic Average Shares,69321000.0,73118000.0,82519000.0,85061000.0
Diluted EPS,10.23,9.14,11.82,10.99
Basic EPS,10.35,9.23,11.99,11.06
Diluted NI Availto Com Stockholders,717487000.0,674861000.0,989531000.0,940972000.0
Net Income Common Stockholders,717487000.0,674861000.0,989531000.0,940972000.0
Otherunder Preferred Stock Dividend,308000.0,748000.0,2059000.0,2981000.0
Net Income,717795000.0,675609000.0,991590000.0,943953000.0
Minority Interests,-1512000.0,18627000.0,3958000.0,-8837000.0
Net Income Including Noncontrolling Interests,719307000.0,656982000.0,987632000.0,952790000.0
Net Income Continuous Operations,719307000.0,656982000.0,987632000.0,952790000.0
Tax Provision,221119000.0,209278000.0,305681000.0,299293000.0
Pretax Income,940426000.0,866260000.0,1293313000.0,1252083000.0
Other Income Expense,-28281000.0,-10406000.0,13891000.0,14000.0
Other Non Operating Income Expenses,-28281000.0,-10406000.0,13891000.0,14000.0
Net Non Operating Interest Income Expense,-206674000.0,-126889000.0,-83672000.0,-106285000.0
Total Other Finance Cost,5035000.0,4903000.0,4310000.0,4938000.0
Interest Expense Non Operating,202211000.0,122364000.0,83672000.0,106285000.0
Interest Income Non Operating,572000.0,378000.0,1596000.0,2804000.0
Operating Income,1175381000.0,1003555000.0,1363094000.0,1358354000.0
Operating Expense,11573767000.0,10921476000.0,9851889000.0,8912411000.0
Other Operating Expenses,3757216000.0,3445733000.0,3035869000.0,2672762000.0
Depreciation Amortization Depletion Income Statement,568041000.0,581861000.0,533213000.0,510493000.0
Depreciation And Amortization In Income Statement,568041000.0,581861000.0,533213000.0,510493000.0
Selling General And Administration,7248510000.0,6893882000.0,6282807000.0,5729156000.0
General And Administrative Expense,7248510000.0,6893882000.0,6282807000.0,5729156000.0
Rent And Landing Fees,141026000.0,131626000.0,118863000.0,116059000.0
Salaries And Wages,7107484000.0,6762256000.0,6163944000.0,5613097000.0
Gross Profit,12749148000.0,11925031000.0,11214983000.0,10270765000.0
Cost Of Revenue,1532828000.0,1474339000.0,1427134000.0,1288132000.0
Total Revenue,14281976000.0,13399370000.0,12642117000.0,11558897000.0
Operating Revenue,14281976000.0,13399370000.0,12642117000.0,11558897000.0
