Price,Close,High,Low,Open,Volume
Ticker,UNM,UNM,UNM,UNM,UNM
Date,,,,,
2015-01-02,24.96445655822754,25.302200635885015,24.77761684258656,25.244713390415562,1208900
2015-01-05,24.17398452758789,24.820733141028622,24.06619491952998,24.712940791697395,1373900
2015-01-06,23.656578063964844,24.188349280484193,23.59190596459672,24.13086205617727,2418800
2015-01-07,23.879348754882812,24.23146795836683,23.60627688736087,23.843418895247112,1669300
2015-01-08,24.26740074157715,24.39675044486691,24.00151645871393,24.1021211743231,2104100
2015-01-09,23.72125816345215,24.2530294978617,23.714073286798108,24.2530294978617,1755600
2015-01-12,23.462560653686523,23.857794646211335,23.33321094831143,23.721257323163766,1915500
2015-01-13,23.189485549926758,23.807489003406033,22.995461018629364,23.62783696419799,1557100
2015-01-14,22.916412353515625,23.0385771585527,22.643341872838725,22.830180147253955,1504500
2015-01-15,22.528369903564453,23.110442227915225,22.513997408978874,22.945162652090623,1648600
2015-01-16,22.81580924987793,22.837367988267513,22.49243502721569,22.49243502721569,1110000
2015-01-20,22.62897491455078,23.124815019019035,22.478067831376748,22.909231709380578,1539300
2015-01-21,22.751127243041992,22.808615823346546,22.363079668645224,22.56428901439323,1220900
2015-01-22,23.383512496948242,23.412257484096557,22.607414291580845,22.84455632364517,1680300
2015-01-23,23.081697463989258,23.3978868654115,23.05295521581066,23.311651897056482,1339500
2015-01-26,23.196672439575195,23.28290739959936,22.851740823296968,23.00264789143004,1197600
2015-01-27,22.88048553466797,22.952346629853718,22.686460988857366,22.866113041503542,1682700
2015-01-28,22.429012298583984,23.122469039367626,22.414566316483043,23.04301131559621,2298200
2015-01-29,22.703506469726562,22.804635232621216,22.364000403821255,22.45068318471386,1774700
2015-01-30,22.436241149902344,22.826311689833435,22.190641486488634,22.400124119661193,2911300
2015-02-02,23.086355209350586,23.115249933099566,22.407345734564693,22.486803469321867,1968400
2015-02-03,23.76536750793457,23.794259476213995,23.30306019328088,23.37529700286077,2070100
2015-02-04,23.404191970825195,24.04708442725338,23.310285495168053,23.80148478322494,3879300
2015-02-05,23.758134841918945,23.823146571948026,23.303052731715397,23.368064461744474,2631200
2015-02-06,24.24211883544922,24.617741969410933,23.953177115308684,23.97484677987586,2205200
2015-02-09,24.14821434020996,24.242120820277112,23.924284350989115,24.03263819380142,1439800
2015-02-10,24.24211883544922,24.393811998524395,24.0615309492495,24.350469913837575,1420100
2015-02-11,24.574392318725586,24.661073705859174,24.177099642515724,24.234886315420912,2072500
2015-02-12,24.740535736083984,24.776652755391236,24.502158448662623,24.61773731932894,1822400
2015-02-13,25.108938217163086,25.159505359868344,24.661081035715586,24.769434868501605,1772300
2015-02-17,24.935579299926758,25.202848638992652,24.805555782423813,24.957248967659627,2188700
2015-02-18,24.48048973083496,24.91390224586681,24.44437271013699,24.863335110227187,1422500
2015-02-19,24.574392318725586,24.65385140507788,24.25655872886802,24.386579431792594,1099800
2015-02-20,24.552724838256836,24.617736573260412,23.99651394001554,24.422701368249683,1538000
2015-02-23,24.24211883544922,24.502163076912748,24.104870278383856,24.466046050783294,1024000
2015-02-24,24.61774253845215,24.733318678069423,24.14821292125868,24.242119395807876,1772300
2015-02-25,24.4732666015625,24.689971473976385,24.357690485904968,24.624959736697022,1154100
2015-02-26,24.278230667114258,24.51660519300903,24.10486512101198,24.39380677933182,1725900
2015-02-27,24.24211883544922,24.55995252316184,24.227671473886947,24.285458164583577,1229400
2015-03-02,24.458818435668945,24.588841905937684,24.126537458560783,24.242113570405007,1602700
2015-03-03,24.336023330688477,24.458824530119493,24.12654347021624,24.23489455207032,1517100
2015-03-04,24.177108764648438,24.285459850558876,24.01819053198328,24.198778430719994,1291200
2015-03-05,24.234893798828125,24.39381202060451,24.126542720341696,24.263788521978825,1164000
2015-03-06,24.531055450439453,25.036702034478058,24.30712825655325,24.30712825655325,2785400
2015-03-09,24.321578979492188,24.52383931731936,24.27101458392362,24.494944589693638,1849200
2015-03-10,23.67145538330078,24.08319545519724,23.67145538330078,24.010961418410865,1873300
2015-03-11,23.801485061645508,23.859271755035635,23.628119470369942,23.765368033832605,2097800
2015-03-12,24.184326171875,24.198773531515293,23.866492526444897,23.902609547769575,1333600
2015-03-13,24.03262710571289,24.516601134394207,23.75813285130554,24.198767567299825,2994100
2015-03-16,24.50216293334961,24.55273007629751,24.03263608531287,24.14098716306637,1896100
2015-03-17,24.42270851135254,24.559954322922856,24.27101258160858,24.350471698247638,1086800
2015-03-18,24.393814086914062,24.841671311476382,24.206001126078036,24.3649193613158,1843300
2015-03-19,24.14821434020996,24.39381399577219,23.888167321902575,24.364919270281884,933800
2015-03-20,24.574392318725586,24.697190720868868,24.213216657525418,24.314345401773206,1908900
2015-03-23,24.50216293334961,24.899458485103125,24.50216293334961,24.60329446369297,1098400
2015-03-24,24.104869842529297,24.55272977620435,24.104869842529297,24.480492969699142,1469200
2015-03-25,24.03262710571289,24.213214923379308,24.003732393553925,24.133755842717857,1552800
2015-03-26,24.090417861938477,24.155429597551088,23.888160353611195,23.989289107774837,1272900
2015-03-27,23.9748477935791,24.090423935411607,23.830379682952906,24.039859545581923,993600
2015-03-30,24.299907684326172,24.40103646869131,24.083202752750495,24.090425056396846,1106500
2015-03-31,24.36492347717285,24.51661667885955,24.14099344928785,24.198782910246496,1650300
2015-04-01,24.112096786499023,24.328801711855945,24.061532395767497,24.328801711855945,798700
2015-04-02,24.321578979492188,24.386590738873622,24.018192606080767,24.11932139721791,1010800
2015-04-06,24.227664947509766,24.372135768662908,23.953170662873966,24.025404695674677,1115100
