,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,1216528.0,110551977.0,104820670.0,102876514.0
Ordinary Shares Number,193372097.0,197754513.0,202514183.0,203690058.0
Share Issued,194588625.0,308306490.0,307334853.0,306566572.0
Net Debt,3284400000.0,3310600000.0,3367200000.0,3148700000.0
Total Debt,3430400000.0,3429800000.0,3442200000.0,3345700000.0
Tangible Book Value,9237600000.0,8324500000.0,10991100000.0,10434200000.0
Invested Capital,13081800000.0,12164800000.0,14858600000.0,14216700000.0
Net Tangible Assets,9237600000.0,8324500000.0,10991100000.0,10434200000.0
Common Stock Equity,9651400000.0,8735000000.0,11416400000.0,10871000000.0
Total Capitalization,13081800000.0,12162800000.0,14858600000.0,14216700000.0
Total Equity Gross Minority Interest,9651400000.0,8735000000.0,11416400000.0,10871000000.0
Stockholders Equity,9651400000.0,8735000000.0,11416400000.0,10871000000.0
Gains Losses Not Affecting Retained Earnings,-3308000000.0,-3448300000.0,354100000.0,374200000.0
Other Equity Adjustments,-3308000000.0,-3448300000.0,354100000.0,374200000.0
Treasury Stock,39300000.0,3429800000.0,3229700000.0,3179700000.0
Retained Earnings,11431500000.0,13141300000.0,11853200000.0,11269600000.0
Additional Paid In Capital,1547800000.0,2441000000.0,2408100000.0,2376200000.0
Capital Stock,19400000.0,30800000.0,30700000.0,30700000.0
Common Stock,19400000.0,30800000.0,30700000.0,30700000.0
Total Liabilities Net Minority Interest,53603800000.0,52413500000.0,58699200000.0,59754800000.0
Non Current Deferred Liabilities,27000000.0,25200000.0,458400000.0,416100000.0
Non Current Deferred Taxes Liabilities,27000000.0,25200000.0,458400000.0,416100000.0
Long Term Debt And Capital Lease Obligation,3430400000.0,3427800000.0,3442200000.0,3345700000.0
Long Term Debt,3430400000.0,3427800000.0,3442200000.0,3345700000.0
Current Debt And Capital Lease Obligation,0.0,2000000.0,,0.0
Current Debt,0.0,2000000.0,,0.0
Other Current Borrowings,,,,0.0
Current Notes Payable,0.0,2000000.0,,0.0
Payables And Accrued Expenses,190000000.0,190900000.0,159100000.0,0.0
Payables,190000000.0,190900000.0,159100000.0,
Total Tax Payable,190000000.0,190900000.0,159100000.0,0.0
Income Tax Payable,190000000.0,190900000.0,159100000.0,0.0
Total Assets,63255200000.0,61148500000.0,70115600000.0,70625800000.0
Investments And Advances,38444600000.0,36235600000.0,44724000000.0,45607300000.0
Goodwill And Other Intangible Assets,413800000.0,410500000.0,425300000.0,436800000.0
Other Intangible Assets,63900000.0,62900000.0,73100000.0,83800000.0
Goodwill,349900000.0,347600000.0,352200000.0,353000000.0
Net PPE,485300000.0,451700000.0,462700000.0,498000000.0
Receivables,10652100000.0,11090100000.0,12439200000.0,12258000000.0
Taxes Receivable,,,0.0,72700000.0
Accounts Receivable,10652100000.0,11090100000.0,12439200000.0,12185300000.0
Cash Cash Equivalents And Short Term Investments,38590600000.0,36354800000.0,44799000000.0,45804300000.0
Other Short Term Investments,38444600000.0,36235600000.0,44724000000.0,45607300000.0
Cash And Cash Equivalents,146000000.0,119200000.0,75000000.0,197000000.0
