,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1068000000.0,1316500000.0,1277200000.0,350200000.0
Repurchase Of Capital Stock,-250100000.0,-200100000.0,-50000000.0,0.0
Repayment Of Debt,-2000000.0,-367600000.0,-562800000.0,-480000000.0
Issuance Of Debt,0.0,349200000.0,588100000.0,494100000.0
Issuance Of Capital Stock,5200000.0,4000000.0,3400000.0,4400000.0
Capital Expenditure,-134800000.0,-102200000.0,-110300000.0,-119100000.0
End Cash Position,146000000.0,119200000.0,75000000.0,197000000.0
Beginning Cash Position,119200000.0,75000000.0,197000000.0,84100000.0
Changes In Cash,26800000.0,44200000.0,-122000000.0,112900000.0
Financing Cash Flow,-450100000.0,-418600000.0,-168900000.0,-88700000.0
Cash Flow From Continuing Financing Activities,-450100000.0,-418600000.0,-168900000.0,-88700000.0
Net Other Financing Charges,73900000.0,50100000.0,91800000.0,124700000.0
Cash Dividends Paid,-277100000.0,-254200000.0,-239400000.0,-231900000.0
Common Stock Dividend Paid,-277100000.0,-254200000.0,-239400000.0,-231900000.0
Net Common Stock Issuance,-244900000.0,-196100000.0,-46600000.0,4400000.0
Common Stock Payments,-250100000.0,-200100000.0,-50000000.0,0.0
Common Stock Issuance,5200000.0,4000000.0,3400000.0,4400000.0
Net Issuance Payments Of Debt,-2000000.0,-18400000.0,25300000.0,14100000.0
Net Short Term Debt Issuance,-2000000.0,0.0,0.0,-400000000.0
Short Term Debt Payments,-2000000.0,0.0,0.0,-400000000.0
Net Long Term Debt Issuance,,-18400000.0,25300000.0,414100000.0
Long Term Debt Payments,0.0,-367600000.0,-562800000.0,-80000000.0
Long Term Debt Issuance,0.0,349200000.0,588100000.0,494100000.0
Investing Cash Flow,-725900000.0,-955900000.0,-1340600000.0,-267700000.0
Cash Flow From Continuing Investing Activities,-725900000.0,-955900000.0,-1340600000.0,-267700000.0
Net Other Investing Changes,-98300000.0,-50800000.0,-50700000.0,314500000.0
Net Investment Purchase And Sale,-492800000.0,-802900000.0,-1179600000.0,-463100000.0
Sale Of Investment,3000800000.0,2537900000.0,3533500000.0,3280200000.0
Purchase Of Investment,-3493600000.0,-3340800000.0,-4713100000.0,-3743300000.0
Net Business Purchase And Sale,,,,0.0
Purchase Of Business,,,,0.0
Net PPE Purchase And Sale,-134800000.0,-102200000.0,-110300000.0,-119100000.0
Purchase Of PPE,-134800000.0,-102200000.0,-110300000.0,-119100000.0
Operating Cash Flow,1202800000.0,1418700000.0,1387500000.0,469300000.0
Cash Flow From Continuing Operating Activities,1202800000.0,1418700000.0,1387500000.0,469300000.0
Change In Working Capital,-20400000.0,64900000.0,989300000.0,1883400000.0
Change In Other Working Capital,-84300000.0,-31300000.0,335300000.0,-31300000.0
Change In Payables And Accrued Expense,-74800000.0,-113900000.0,11300000.0,160100000.0
Change In Accrued Expense,-74800000.0,-113900000.0,11300000.0,160100000.0
Change In Payable,,,,-31300000.0
Change In Tax Payable,,,,-31300000.0
Change In Income Tax Payable,,,,-31300000.0
Change In Receivables,602700000.0,590600000.0,676100000.0,242900000.0
Changes In Account Receivables,,,,242900000.0
Other Non Cash Items,35800000.0,68400000.0,-375900000.0,-996500000.0
Depreciation And Amortization,108800000.0,110500000.0,119800000.0,113600000.0
Depreciation,108800000.0,110500000.0,119800000.0,113600000.0
Operating Gains Losses,-193400000.0,-213500000.0,-313900000.0,-1343700000.0
Gain Loss On Investment Securities,-191400000.0,-217300000.0,-315900000.0,-1344400000.0
Net Foreign Currency Exchange Gain Loss,-2000000.0,3800000.0,2000000.0,700000.0
Net Income From Continuing Operations,1283800000.0,1407200000.0,981000000.0,793000000.0
