,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,567732687.0,594747484.0,642223571.0,618618084.0
Preferred Shares Number,102251000.0,102251000.0,84251000.0,148251000.0
Ordinary Shares Number,1557993055.0,1530978258.0,1483502171.0,1507107658.0
Share Issued,2125725742.0,2125725742.0,2125725742.0,2125725742.0
Net Debt,1743000000.0,15846000000.0,12813000000.0,
Total Debt,62935000000.0,69388000000.0,41718000000.0,50856000000.0
Tangible Book Value,29925000000.0,24430000000.0,34547000000.0,34330000000.0
Invested Capital,111433000000.0,113346000000.0,90265000000.0,97968000000.0
Net Tangible Assets,36733000000.0,31238000000.0,40918000000.0,40313000000.0
Common Stock Equity,48498000000.0,43958000000.0,48547000000.0,47112000000.0
Preferred Stock Equity,6808000000.0,6808000000.0,6371000000.0,5983000000.0
Total Capitalization,106786000000.0,90595000000.0,87043000000.0,94392000000.0
Total Equity Gross Minority Interest,55771000000.0,51232000000.0,55387000000.0,53725000000.0
Minority Interest,465000000.0,466000000.0,469000000.0,630000000.0
Stockholders Equity,55306000000.0,50766000000.0,54918000000.0,53095000000.0
Gains Losses Not Affecting Retained Earnings,-10096000000.0,-11407000000.0,-1943000000.0,322000000.0
Other Equity Adjustments,-10096000000.0,-11407000000.0,-1943000000.0,322000000.0
Treasury Stock,24126000000.0,25269000000.0,27271000000.0,25930000000.0
Retained Earnings,74026000000.0,71901000000.0,69201000000.0,64188000000.0
Additional Paid In Capital,8673000000.0,8712000000.0,8539000000.0,8511000000.0
Capital Stock,6829000000.0,6829000000.0,6392000000.0,6004000000.0
Common Stock,21000000.0,21000000.0,21000000.0,21000000.0
Preferred Stock,6808000000.0,6808000000.0,6371000000.0,5983000000.0
Total Liabilities Net Minority Interest,607720000000.0,623573000000.0,517897000000.0,500180000000.0
Long Term Debt And Capital Lease Obligation,51480000000.0,39829000000.0,32125000000.0,41297000000.0
Long Term Debt,51480000000.0,39829000000.0,32125000000.0,41297000000.0
Current Debt And Capital Lease Obligation,11455000000.0,29559000000.0,9593000000.0,9559000000.0
Current Debt,11455000000.0,29559000000.0,9593000000.0,9559000000.0
Other Current Borrowings,3682000000.0,21414000000.0,3567000000.0,3552000000.0
Commercial Paper,7773000000.0,8145000000.0,6026000000.0,6007000000.0
Total Assets,663491000000.0,674805000000.0,573284000000.0,553905000000.0
Investments And Advances,153413000000.0,160792000000.0,174264000000.0,136438000000.0
Held To Maturity Securities,83973000000.0,88740000000.0,41858000000.0,0.0
Goodwill And Other Intangible Assets,18573000000.0,19528000000.0,14000000000.0,12782000000.0
Other Intangible Assets,6084000000.0,7155000000.0,3738000000.0,2864000000.0
Goodwill,12489000000.0,12373000000.0,10262000000.0,9918000000.0
Net PPE,3623000000.0,3858000000.0,3305000000.0,3468000000.0
Accumulated Depreciation,-4636000000.0,-5069000000.0,-4948000000.0,-5150000000.0
Gross PPE,8259000000.0,8927000000.0,8253000000.0,8618000000.0
Construction In Progress,68000000.0,46000000.0,23000000.0,25000000.0
Other Properties,1424000000.0,1565000000.0,1186000000.0,1148000000.0
Machinery Furniture Equipment,3013000000.0,3485000000.0,3438000000.0,3439000000.0
Buildings And Improvements,3239000000.0,3296000000.0,3161000000.0,3519000000.0
Land And Improvements,515000000.0,535000000.0,445000000.0,487000000.0
Receivables,8340000000.0,10081000000.0,12367000000.0,13706000000.0
Other Receivables,8340000000.0,10081000000.0,12367000000.0,13706000000.0
Other Short Term Investments,69440000000.0,72052000000.0,132406000000.0,136438000000.0
Cash And Cash Equivalents,61192000000.0,53542000000.0,28905000000.0,62580000000.0
Cash Cash Equivalents And Federal Funds Sold,61192000000.0,53542000000.0,28905000000.0,62580000000.0
