,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-206845000.0,-65800000.0,0.0,0.0
Tax Rate For Calcs,0.205,0.2,0.214539,0.176169
Total Unusual Items,-1009000000.0,-329000000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,-1009000000.0,-329000000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,5429000000.0,5825000000.0,7963000000.0,4959000000.0
Reconciled Depreciation,1018000000.0,560000000.0,497000000.0,527000000.0
Net Interest Income,17396000000.0,14728000000.0,12494000000.0,12825000000.0
Interest Expense,12611000000.0,3217000000.0,993000000.0,2015000000.0
Interest Income,30007000000.0,17945000000.0,13487000000.0,14840000000.0
Normalized Income,6231155000.0,6088200000.0,7963000000.0,4959000000.0
Net Income From Continuing And Discontinued Operation,5429000000.0,5825000000.0,7963000000.0,4959000000.0
Diluted Average Shares,1543000000.0,1490000000.0,1490000000.0,1510000000.0
Basic Average Shares,1543000000.0,1489000000.0,1489000000.0,1509000000.0
Diluted EPS,3.27,3.69,5.1,3.06
Basic EPS,3.27,3.69,5.11,3.06
Diluted NI Availto Com Stockholders,5051000000.0,5501000000.0,7605000000.0,4621000000.0
Net Income Common Stockholders,5051000000.0,5501000000.0,7605000000.0,4621000000.0
Otherunder Preferred Stock Dividend,28000000.0,28000000.0,55000000.0,34000000.0
Preferred Stock Dividends,350000000.0,296000000.0,303000000.0,304000000.0
Net Income,5429000000.0,5825000000.0,7963000000.0,4959000000.0
Minority Interests,-29000000.0,-13000000.0,-22000000.0,-26000000.0
Net Income Including Noncontrolling Interests,5458000000.0,5838000000.0,7985000000.0,4985000000.0
Net Income Continuous Operations,5458000000.0,5838000000.0,7985000000.0,4985000000.0
Tax Provision,1407000000.0,1463000000.0,2181000000.0,1066000000.0
Pretax Income,6865000000.0,7301000000.0,10166000000.0,6051000000.0
Special Income Charges,-1009000000.0,-329000000.0,0.0,0.0
Restructuring And Mergern Acquisition,1009000000.0,329000000.0,0.0,0.0
Gain On Sale Of Security,-145000000.0,20000000.0,103000000.0,177000000.0
Depreciation Amortization Depletion Income Statement,636000000.0,215000000.0,159000000.0,176000000.0
Depreciation And Amortization In Income Statement,636000000.0,215000000.0,159000000.0,176000000.0
Amortization,636000000.0,215000000.0,159000000.0,176000000.0
Amortization Of Intangibles Income Statement,636000000.0,215000000.0,159000000.0,176000000.0
Selling General And Administration,11142000000.0,9613000000.0,9094000000.0,8256000000.0
Selling And Marketing Expense,726000000.0,456000000.0,366000000.0,318000000.0
General And Administrative Expense,10416000000.0,9157000000.0,8728000000.0,7938000000.0
Other Gand A,,,,1582000000.0
Salaries And Wages,10416000000.0,9157000000.0,8728000000.0,7938000000.0
Total Revenue,28013000000.0,24184000000.0,22721000000.0,23226000000.0
Operating Revenue,28013000000.0,24184000000.0,22721000000.0,23226000000.0
Occupancy And Equipment,1266000000.0,1096000000.0,1048000000.0,1092000000.0
Professional Expense And Contract Services Expense,560000000.0,529000000.0,492000000.0,430000000.0
Other Non Interest Expense,4260000000.0,3124000000.0,2935000000.0,3415000000.0
