,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,803596000.0,-917046000.0,535968000.0,1039025000.0,
Repurchase Of Capital Stock,-2846000.0,-2794000.0,-350004000.0,0.0,
Repayment Of Debt,-908199000.0,-501051000.0,-504200000.0,-1664000.0,
Issuance Of Debt,0.0,2058341000.0,0.0,2996090000.0,
Issuance Of Capital Stock,,,36654000.0,54438000.0,155390000.0
Capital Expenditure,-210985000.0,-261251000.0,-328320000.0,-274200000.0,
Interest Paid Supplemental Data,234417000.0,160272000.0,123476000.0,89807000.0,
Income Tax Paid Supplemental Data,349978000.0,1113940000.0,263733000.0,188271000.0,
End Cash Position,676957000.0,816318000.0,1277082000.0,851205000.0,
Beginning Cash Position,816318000.0,1277082000.0,851205000.0,1411323000.0,
Effect Of Exchange Rate Changes,-22069000.0,-80822000.0,-73299000.0,-30603000.0,
Changes In Cash,-117292000.0,-379942000.0,499176000.0,-529515000.0,
Financing Cash Flow,-959615000.0,463906000.0,-1268847000.0,1052878000.0,
Cash Flow From Continuing Financing Activities,-959615000.0,463906000.0,-1268847000.0,1052878000.0,
Net Other Financing Charges,-576000.0,-63772000.0,-2496000.0,-21438000.0,
Cash Dividends Paid,-303140000.0,-702846000.0,-773205000.0,-756784000.0,
Common Stock Dividend Paid,-303140000.0,-702846000.0,-773205000.0,-756784000.0,
Net Common Stock Issuance,-2846000.0,-2794000.0,-313350000.0,54438000.0,
Common Stock Payments,-2846000.0,-2794000.0,-350004000.0,0.0,
Common Stock Issuance,,,36654000.0,54438000.0,155390000.0
Net Issuance Payments Of Debt,-653053000.0,1233318000.0,-179796000.0,1776662000.0,
Net Short Term Debt Issuance,255146000.0,-323972000.0,324404000.0,-1217764000.0,
Net Long Term Debt Issuance,-908199000.0,1557290000.0,-504200000.0,2994426000.0,
Long Term Debt Payments,-908199000.0,-501051000.0,-504200000.0,-1664000.0,
Long Term Debt Issuance,0.0,2058341000.0,0.0,2996090000.0,
Investing Cash Flow,-172258000.0,-188053000.0,903735000.0,-2895618000.0,
Cash From Discontinued Investing Activities,0.0,0.0,-525000.0,-3633000.0,
Cash Flow From Continuing Investing Activities,-172258000.0,-188053000.0,904260000.0,-2891985000.0,
Net Other Investing Changes,38727000.0,73198000.0,13086000.0,-8634000.0,
Net Investment Purchase And Sale,0.0,0.0,598806000.0,-600000000.0,
Sale Of Investment,0.0,0.0,598806000.0,200000000.0,
Purchase Of Investment,,0.0,0.0,-800000000.0,0.0
Net Business Purchase And Sale,0.0,0.0,620688000.0,-2009151000.0,
Sale Of Business,0.0,0.0,620688000.0,0.0,
Purchase Of Business,,0.0,,-2009151000.0,0.0
Net Intangibles Purchase And Sale,-65167000.0,-95326000.0,-82871000.0,-75542000.0,
Purchase Of Intangibles,-65167000.0,-95326000.0,-82871000.0,-75542000.0,
Capital Expenditure Reported,-145818000.0,-165925000.0,-245449000.0,-198658000.0,
Operating Cash Flow,1014581000.0,-655795000.0,864288000.0,1313225000.0,
Cash From Discontinued Operating Activities,0.0,0.0,6090000.0,79971000.0,
Cash Flow From Continuing Operating Activities,1014581000.0,-655795000.0,858198000.0,1233254000.0,
Change In Working Capital,168177000.0,-2233007000.0,-918620000.0,120640000.0,
Change In Other Working Capital,-591940000.0,-1481286000.0,-528813000.0,-385394000.0,
Change In Payables And Accrued Expense,-73096000.0,285783000.0,193570000.0,121248000.0,
Change In Accrued Expense,32952000.0,-91650000.0,88213000.0,101142000.0,
Change In Payable,-106048000.0,377433000.0,105357000.0,20106000.0,
Change In Account Payable,-106048000.0,377433000.0,105357000.0,20106000.0,
Change In Inventory,508584000.0,-890173000.0,-380851000.0,314315000.0,
Change In Receivables,324629000.0,-147331000.0,-202526000.0,70471000.0,
Changes In Account Receivables,324629000.0,-147331000.0,-202526000.0,70471000.0,
Other Non Cash Items,401785000.0,371766000.0,398125000.0,440006000.0,
Stock Based Compensation,67332000.0,60354000.0,91358000.0,70823000.0,
Provisionand Write Offof Assets,11170000.0,3532000.0,-716000.0,20673000.0,
Asset Impairment Charge,1428975000.0,735009000.0,0.0,20361000.0,
Deferred Tax,-395100000.0,-53554000.0,-157489000.0,-39812000.0,
Deferred Income Tax,-395100000.0,-53554000.0,-157489000.0,-39812000.0,
Depreciation Amortization Depletion,319204000.0,262324000.0,266935000.0,269081000.0,
Depreciation And Amortization,319204000.0,262324000.0,266935000.0,269081000.0,
Depreciation,319204000.0,262324000.0,266935000.0,,
Operating Gains Losses,-18080000.0,79197000.0,-37664000.0,-23424000.0,
Pension And Employee Benefit Expense,-18080000.0,79197000.0,-41309000.0,-23424000.0,
Gain Loss On Sale Of Business,,,,0.0,0.0
Net Income From Continuing Operations,-968882000.0,118584000.0,1216269000.0,354906000.0,
