,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,2259390.0,4640580.0,15213240.0,12965670.0,
Tax Rate For Calcs,0.21,0.21,0.21,0.27,
Normalized EBITDA,869855000.0,823508000.0,350871000.0,792479000.0,
Total Unusual Items,10759000.0,22098000.0,72444000.0,48021000.0,
Total Unusual Items Excluding Goodwill,10759000.0,22098000.0,72444000.0,48021000.0,
Net Income From Continuing Operation Net Minority Interest,70387000.0,105494000.0,-346499000.0,175999000.0,
Reconciled Depreciation,469423000.0,457574000.0,526306000.0,432594000.0,
Reconciled Cost Of Revenue,,881857000.0,852107000.0,777068000.0,770819000.0
EBITDA,880614000.0,845606000.0,423315000.0,840500000.0,
EBIT,411191000.0,388032000.0,-102991000.0,407906000.0,
Net Interest Income,-344248000.0,-299257000.0,-259896000.0,-226484000.0,
Interest Expense,368346000.0,325922000.0,257961000.0,210849000.0,
Interest Income,46021000.0,49966000.0,19869000.0,4612000.0,
Normalized Income,61887390.0,88036580.0,-403729760.0,140943670.0,
Net Income From Continuing And Discontinued Operation,70387000.0,105494000.0,-346499000.0,175999000.0,
Total Expenses,1523816000.0,1510583000.0,1512144000.0,1344207000.0,
Diluted Average Shares,196626000.0,191856000.0,191775000.0,192122000.0,
Basic Average Shares,190539000.0,191005000.0,191775000.0,191551000.0,
Diluted EPS,0.04,0.23,-2.13,0.53,
Basic EPS,0.04,0.23,-2.13,0.53,
Diluted NI Availto Com Stockholders,8275000.0,43376000.0,-408633000.0,101052000.0,
Average Dilution Earnings,0.0,-2000.0,-18000.0,-34000.0,
Net Income Common Stockholders,8275000.0,43378000.0,-408615000.0,101086000.0,
Otherunder Preferred Stock Dividend,,0.0,0.0,9033000.0,99000.0
Preferred Stock Dividends,62112000.0,62116000.0,62116000.0,65880000.0,
Net Income,70387000.0,105494000.0,-346499000.0,175999000.0,
Minority Interests,50271000.0,72606000.0,36113000.0,-31554000.0,
Net Income Including Noncontrolling Interests,20116000.0,32888000.0,-382612000.0,207553000.0,
Net Income Discontinuous Operations,,,,0.0,0.0
Net Income Continuous Operations,20116000.0,32888000.0,-382612000.0,207553000.0,
Tax Provision,22729000.0,29222000.0,21660000.0,-10496000.0,
Pretax Income,42845000.0,62110000.0,-360952000.0,197057000.0,
Other Income Expense,123223000.0,60787000.0,-388907000.0,178538000.0,
Other Non Operating Income Expenses,,,,,70260000.0
Special Income Charges,10806000.0,20508000.0,68903000.0,36955000.0,
Gain On Sale Of Ppe,16048000.0,71199000.0,100625000.0,50770000.0,
Impairment Of Capital Assets,0.0,45007000.0,19098000.0,7880000.0,
Restructuring And Mergern Acquisition,5242000.0,5684000.0,12624000.0,5935000.0,
Earnings From Equity Interest,112464000.0,38689000.0,-461351000.0,130517000.0,
Gain On Sale Of Security,-47000.0,1590000.0,3541000.0,11066000.0,
Net Non Operating Interest Income Expense,-344248000.0,-299257000.0,-259896000.0,-226484000.0,
Total Other Finance Cost,21923000.0,23301000.0,21804000.0,20247000.0,
Interest Expense Non Operating,368346000.0,325922000.0,257961000.0,210849000.0,
Interest Income Non Operating,46021000.0,49966000.0,19869000.0,4612000.0,
Operating Income,263870000.0,300580000.0,287851000.0,245003000.0,
Operating Expense,1523816000.0,1510583000.0,1512144000.0,1344207000.0,
Other Operating Expenses,927796000.0,905158000.0,873911000.0,797315000.0,
Provision For Doubtful Accounts,0.0,8269000.0,0.0,0.0,
Depreciation Amortization Depletion Income Statement,447500000.0,434273000.0,504502000.0,412347000.0,
Depreciation And Amortization In Income Statement,447500000.0,434273000.0,504502000.0,412347000.0,
Selling General And Administration,148520000.0,162883000.0,133731000.0,134545000.0,
General And Administrative Expense,148520000.0,162883000.0,133731000.0,134545000.0,
Other Gand A,148520000.0,162883000.0,133731000.0,134545000.0,
Gross Profit,,906005000.0,926084000.0,791895000.0,738885000.0
Cost Of Revenue,,905158000.0,873911000.0,797315000.0,789066000.0
Total Revenue,1787686000.0,1811163000.0,1799995000.0,1589210000.0,
Operating Revenue,1787686000.0,1811163000.0,1799995000.0,1589210000.0,
