,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,344800000.0,394900000.0,261200000.0,433300000.0,
Repurchase Of Capital Stock,-224700000.0,-74700000.0,-328000000.0,0.0,
Repayment Of Debt,-150000000.0,-300000000.0,-1167000000.0,-1400000000.0,
Issuance Of Debt,0.0,0.0,1167000000.0,2186500000.0,
Capital Expenditure,-82700000.0,-60100000.0,-60000000.0,-47800000.0,
End Cash Position,356400000.0,340900000.0,204500000.0,572600000.0,
Beginning Cash Position,340900000.0,204500000.0,572600000.0,380500000.0,
Effect Of Exchange Rate Changes,-8300000.0,-100000.0,-11500000.0,-6800000.0,
Changes In Cash,23800000.0,136500000.0,-356600000.0,198900000.0,
Financing Cash Flow,-392300000.0,-387800000.0,-347900000.0,725500000.0,
Cash Flow From Continuing Financing Activities,-392300000.0,-387800000.0,-347900000.0,725500000.0,
Net Other Financing Charges,-14900000.0,-9900000.0,-6900000.0,-48800000.0,
Proceeds From Stock Option Exercised,17000000.0,10400000.0,2500000.0,7500000.0,
Cash Dividends Paid,-15200000.0,-15500000.0,-15900000.0,-12700000.0,
Common Stock Dividend Paid,-15200000.0,-15500000.0,-15900000.0,-12700000.0,
Net Common Stock Issuance,-224700000.0,-74700000.0,-328000000.0,0.0,
Common Stock Payments,-224700000.0,-74700000.0,-328000000.0,0.0,
Net Issuance Payments Of Debt,-154500000.0,-298100000.0,400000.0,779500000.0,
Net Short Term Debt Issuance,-4500000.0,1900000.0,400000.0,-7000000.0,
Short Term Debt Payments,,,0.0,-7000000.0,-28700000.0
Short Term Debt Issuance,,,400000.0,,
Net Long Term Debt Issuance,-150000000.0,-300000000.0,0.0,786500000.0,
Long Term Debt Payments,-150000000.0,-300000000.0,-1167000000.0,-1400000000.0,
Long Term Debt Issuance,0.0,0.0,1167000000.0,2186500000.0,
Investing Cash Flow,-11400000.0,69300000.0,-329900000.0,-1007700000.0,
Cash Flow From Continuing Investing Activities,-11400000.0,69300000.0,-329900000.0,-1007700000.0,
Net Investment Purchase And Sale,200000.0,20400000.0,19000000.0,7200000.0,
Sale Of Investment,200000.0,20400000.0,19000000.0,7200000.0,
Net Business Purchase And Sale,65500000.0,104500000.0,-289300000.0,-967100000.0,
Sale Of Business,68400000.0,107500000.0,0.0,0.0,
Purchase Of Business,-2900000.0,-3000000.0,-289300000.0,-967100000.0,
Net PPE Purchase And Sale,-77100000.0,-55600000.0,-59600000.0,-47800000.0,
Sale Of PPE,5600000.0,4500000.0,400000.0,0.0,
Purchase Of PPE,-82700000.0,-60100000.0,-60000000.0,-47800000.0,
Operating Cash Flow,427500000.0,455000000.0,321200000.0,481100000.0,
Cash Flow From Continuing Operating Activities,427500000.0,455000000.0,321200000.0,481100000.0,
Change In Working Capital,-119500000.0,-47400000.0,-211200000.0,-56000000.0,
Change In Other Working Capital,-29900000.0,-47300000.0,-41200000.0,-45200000.0,
Change In Payables And Accrued Expense,14900000.0,-79900000.0,-2800000.0,28700000.0,
Change In Accrued Expense,,-13100000.0,-24100000.0,-16900000.0,114000000.0
Change In Payable,14900000.0,-66800000.0,21300000.0,45600000.0,
Change In Account Payable,14900000.0,-66800000.0,21300000.0,45600000.0,
Change In Prepaid Assets,,37800000.0,-16000000.0,-700000.0,7500000.0
Change In Inventory,-48500000.0,48900000.0,-74300000.0,-34600000.0,
Change In Receivables,-56000000.0,-6900000.0,-76900000.0,-4200000.0,
Changes In Account Receivables,-203900000.0,-148100000.0,-217200000.0,-140400000.0,
Other Non Cash Items,3300000.0,5100000.0,4500000.0,13600000.0,
Stock Based Compensation,31600000.0,31500000.0,24300000.0,25500000.0,
Unrealized Gain Loss On Investment Securities,0.0,0.0,8700000.0,0.0,
Asset Impairment Charge,,0.0,3600000.0,0.0,85300000.0
Depreciation Amortization Depletion,127100000.0,125000000.0,118900000.0,88300000.0,
Depreciation And Amortization,127100000.0,125000000.0,118900000.0,88300000.0,
Amortization Cash Flow,79700000.0,81200000.0,78000000.0,42400000.0,
Amortization Of Intangibles,79700000.0,81200000.0,78000000.0,42400000.0,
Depreciation,47400000.0,43800000.0,40900000.0,45900000.0,
Operating Gains Losses,-37200000.0,-36100000.0,-28900000.0,-3300000.0,
Earnings Losses From Equity Investments,0.0,1100000.0,-29700000.0,0.0,
Gain Loss On Investment Securities,,,,-3300000.0,
Gain Loss On Sale Of PPE,,-2800000.0,800000.0,0.0,-2700000.0
Gain Loss On Sale Of Business,-37200000.0,-34400000.0,0.0,0.0,
Net Income From Continuing Operations,422200000.0,376900000.0,401300000.0,413000000.0,
