,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,442177000.0,428205000.0,579008000.0,618123000.0
Repurchase Of Capital Stock,-70277000.0,-626061000.0,-648930000.0,-196409000.0
Repayment Of Debt,-670040000.0,-145000000.0,-350000000.0,-640366000.0
Issuance Of Debt,1450040000.0,205000000.0,510000000.0,315000000.0
Capital Expenditure,-160632000.0,-183456000.0,-168266000.0,-172384000.0
Interest Paid Supplemental Data,94099000.0,48083000.0,42408000.0,52103000.0
Income Tax Paid Supplemental Data,243316000.0,160082000.0,153504000.0,97621000.0
End Cash Position,395076000.0,480529000.0,501234000.0,436695000.0
Beginning Cash Position,480529000.0,501234000.0,436695000.0,335715000.0
Effect Of Exchange Rate Changes,-948000.0,-14766000.0,-12830000.0,15069000.0
Changes In Cash,-84505000.0,-5939000.0,77369000.0,85911000.0
Financing Cash Flow,754951000.0,-509633000.0,-438275000.0,-440502000.0
Cash Flow From Continuing Financing Activities,754951000.0,-509633000.0,-438275000.0,-440502000.0
Net Other Financing Charges,15436000.0,13627000.0,-4988000.0,15240000.0
Proceeds From Stock Option Exercised,29792000.0,42801000.0,55643000.0,66033000.0
Net Common Stock Issuance,-70277000.0,-626061000.0,-648930000.0,-196409000.0
Common Stock Payments,-70277000.0,-626061000.0,-648930000.0,-196409000.0
Net Issuance Payments Of Debt,780000000.0,60000000.0,160000000.0,-325366000.0
Net Long Term Debt Issuance,780000000.0,60000000.0,160000000.0,-325366000.0
Long Term Debt Payments,-670040000.0,-145000000.0,-350000000.0,-640366000.0
Long Term Debt Issuance,1450040000.0,205000000.0,510000000.0,315000000.0
Investing Cash Flow,-1442265000.0,-107967000.0,-231630000.0,-264094000.0
Cash Flow From Continuing Investing Activities,-1442265000.0,-107967000.0,-231630000.0,-264094000.0
Net Other Investing Changes,-1282354000.0,,,
Net Investment Purchase And Sale,-21000.0,66586000.0,-61576000.0,-11165000.0
Sale Of Investment,1770000.0,77993000.0,218084000.0,20862000.0
Purchase Of Investment,-1791000.0,-11407000.0,-279660000.0,-32027000.0
Net Business Purchase And Sale,742000.0,8903000.0,-1788000.0,-80545000.0
Purchase Of Business,,0.0,-1788000.0,-80545000.0
Net Intangibles Purchase And Sale,0.0,-7535000.0,-7000000.0,0.0
Purchase Of Intangibles,0.0,-7535000.0,-7000000.0,0.0
Net PPE Purchase And Sale,-160632000.0,-175921000.0,-161266000.0,-172384000.0
Purchase Of PPE,-160632000.0,-175921000.0,-161266000.0,-172384000.0
Capital Expenditure Reported,,,,-172384000.0
Operating Cash Flow,602809000.0,611661000.0,747274000.0,790507000.0
Cash Flow From Continuing Operating Activities,602809000.0,611661000.0,747274000.0,790507000.0
Taxes Refund Paid,,,0.0,0.0
Change In Working Capital,-240259000.0,-247096000.0,-114093000.0,102458000.0
Change In Other Working Capital,10433000.0,12862000.0,37845000.0,11073000.0
Change In Other Current Liabilities,-105476000.0,-52578000.0,-52075000.0,-40725000.0
Change In Other Current Assets,-69428000.0,-28588000.0,-16275000.0,-64895000.0
Change In Payables And Accrued Expense,-79524000.0,60984000.0,46110000.0,140598000.0
Change In Payable,-79524000.0,60984000.0,46110000.0,140598000.0
Change In Account Payable,-79524000.0,60984000.0,46110000.0,140598000.0
Change In Inventory,-45443000.0,-101902000.0,-67250000.0,18940000.0
Change In Receivables,49179000.0,-137874000.0,-62448000.0,37467000.0
Changes In Account Receivables,49179000.0,-137874000.0,-62448000.0,37467000.0
Other Non Cash Items,,10003000.0,,
Stock Based Compensation,36868000.0,42564000.0,29918000.0,36865000.0
Unrealized Gain Loss On Investment Securities,0.0,0.0,-9707000.0,0.0
Asset Impairment Charge,,0.0,0.0,6945000.0
Deferred Tax,-1197000.0,-31988000.0,16633000.0,-2693000.0
Deferred Income Tax,-1197000.0,-31988000.0,16633000.0,-2693000.0
Depreciation Amortization Depletion,165905000.0,130423000.0,131680000.0,125361000.0
Depreciation And Amortization,165905000.0,130423000.0,131680000.0,125361000.0
Amortization Cash Flow,81280000.0,58425000.0,60120000.0,56676000.0
Amortization Of Intangibles,81280000.0,58425000.0,60120000.0,56676000.0
Depreciation,84625000.0,71998000.0,71560000.0,68685000.0
Operating Gains Losses,-742000.0,,,
Gain Loss On Investment Securities,-742000.0,,,
Net Income From Continuing Operations,642234000.0,707755000.0,692843000.0,521571000.0
