,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,88051480.0,75020000.0,73033991.0,73033991.0
Share Issued,88051480.0,75020000.0,73033991.0,73033991.0
Net Debt,239401000.0,200073000.0,318464000.0,310824000.0
Total Debt,340151000.0,225335000.0,337808000.0,327714000.0
Tangible Book Value,-125316000.0,-235616000.0,-401701000.0,-128470000.0
Invested Capital,390337000.0,226180000.0,159074000.0,428636000.0
Working Capital,73415000.0,81964000.0,69766000.0,57912000.0
Net Tangible Assets,148900000.0,39320000.0,-119830000.0,-229392000.0
Capital Lease Obligations,63554000.0,8424000.0,,
Common Stock Equity,113740000.0,9269000.0,-178734000.0,100922000.0
Preferred Stock Equity,274216000.0,274936000.0,281871000.0,
Total Capitalization,611048000.0,446707000.0,393501000.0,389765000.0
Total Equity Gross Minority Interest,387956000.0,286665000.0,105873000.0,100922000.0
Minority Interest,0.0,2460000.0,2736000.0,
Stockholders Equity,387956000.0,284205000.0,103137000.0,0.0
Gains Losses Not Affecting Retained Earnings,3818000.0,-6103000.0,12018000.0,3820000.0
Other Equity Adjustments,3818000.0,-6103000.0,12018000.0,
Retained Earnings,-362624000.0,-328042000.0,-251725000.0,-205570000.0
Additional Paid In Capital,471666000.0,342664000.0,60628000.0,
Capital Stock,275096000.0,275686000.0,282216000.0,
Common Stock,880000.0,750000.0,345000.0,
Preferred Stock,274216000.0,274936000.0,281871000.0,
Total Partnership Capital,,,105873000.0,100922000.0
General Partnership Capital,,,2736000.0,2097000.0
Limited Partnership Capital,,,342844000.0,300575000.0
Total Liabilities Net Minority Interest,583558000.0,459548000.0,487147000.0,447218000.0
Total Non Current Liabilities Net Minority Interest,343923000.0,243413000.0,318907000.0,317924000.0
Other Non Current Liabilities,1629000.0,2611000.0,3028000.0,2769000.0
Derivative Product Liabilities,44801000.0,55521000.0,0.0,
Non Current Deferred Liabilities,10847000.0,14355000.0,25515000.0,26312000.0
Non Current Deferred Taxes Liabilities,10847000.0,14355000.0,25515000.0,26312000.0
Long Term Debt And Capital Lease Obligation,286646000.0,170926000.0,290364000.0,288843000.0
Long Term Capital Lease Obligation,63554000.0,8424000.0,,
Long Term Debt,223092000.0,162502000.0,290364000.0,288843000.0
Current Liabilities,239635000.0,216135000.0,168240000.0,129294000.0
Other Current Liabilities,81807000.0,7592000.0,14021000.0,3397000.0
Current Debt And Capital Lease Obligation,53505000.0,54409000.0,47444000.0,38871000.0
Current Debt,53505000.0,54409000.0,47444000.0,38871000.0
Other Current Borrowings,9811000.0,11504000.0,42934000.0,32424000.0
Line Of Credit,43694000.0,42905000.0,4510000.0,6447000.0
Pensionand Other Post Retirement Benefit Plans Current,,,8731000.0,6678000.0
Payables And Accrued Expenses,104323000.0,154134000.0,106775000.0,80348000.0
Current Accrued Expenses,35217000.0,37459000.0,26370000.0,12743000.0
Interest Payable,,,2905000.0,2382000.0
Payables,69106000.0,116675000.0,80405000.0,67605000.0
Other Payable,,,1666000.0,4088000.0
Accounts Payable,69106000.0,116675000.0,80405000.0,63517000.0
Total Assets,971514000.0,746213000.0,593020000.0,548140000.0
Total Non Current Assets,658464000.0,448114000.0,355014000.0,360934000.0
Other Non Current Assets,7769000.0,6933000.0,4434000.0,5268000.0
Goodwill And Other Intangible Assets,239056000.0,244885000.0,222967000.0,229392000.0
Other Intangible Assets,122945000.0,130886000.0,125914000.0,132339000.0
Goodwill,116111000.0,113999000.0,97053000.0,97053000.0
Net PPE,411639000.0,196296000.0,127613000.0,126274000.0
Accumulated Depreciation,-83261000.0,-67002000.0,-52641000.0,-36828000.0
Gross PPE,494900000.0,263298000.0,180254000.0,163102000.0
Leases,9800000.0,1651000.0,613000.0,399000.0
Construction In Progress,208308000.0,70004000.0,8025000.0,13372000.0
Other Properties,99522000.0,36109000.0,26794000.0,28702000.0
Machinery Furniture Equipment,132581000.0,110983000.0,91777000.0,77591000.0
Buildings And Improvements,35911000.0,35499000.0,43895000.0,35028000.0
Land And Improvements,8778000.0,9052000.0,9150000.0,8010000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,313050000.0,298099000.0,238006000.0,187206000.0
Other Current Assets,12473000.0,9166000.0,6410000.0,5760000.0
Hedging Assets Current,13658000.0,15053000.0,13765000.0,12263000.0
Restricted Cash,644000.0,9567000.0,3526000.0,1762000.0
Prepaid Assets,,,6410000.0,5760000.0
Inventory,149921000.0,145836000.0,109166000.0,84377000.0
Finished Goods,71039000.0,78911000.0,64087000.0,44539000.0
Raw Materials,78882000.0,66925000.0,45079000.0,39838000.0
Receivables,99158000.0,101639000.0,85795000.0,66154000.0
Accounts Receivable,99158000.0,101639000.0,85795000.0,66154000.0
Allowance For Doubtful Accounts Receivable,-2915000.0,-3023000.0,-3749000.0,-3977000.0
Gross Accounts Receivable,102073000.0,104662000.0,89544000.0,70131000.0
Cash Cash Equivalents And Short Term Investments,37196000.0,16838000.0,19344000.0,16890000.0
Cash And Cash Equivalents,37196000.0,16838000.0,19344000.0,16890000.0
