,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,3371000000.0,2606000000.0,2698000000.0,2221000000.0
Repurchase Of Capital Stock,-130000000.0,-9000000.0,0.0,
Repayment Of Debt,-634000000.0,-2876000000.0,-894000000.0,-3841000000.0
Issuance Of Debt,2755000000.0,1755000000.0,2155000000.0,3899000000.0
Issuance Of Capital Stock,6000000.0,54000000.0,9000000.0,9000000.0
Capital Expenditure,-2567000000.0,-2283000000.0,-1247000000.0,-1275000000.0
End Cash Position,2150000000.0,152000000.0,1680000000.0,142000000.0
Beginning Cash Position,152000000.0,1680000000.0,142000000.0,289000000.0
Changes In Cash,1998000000.0,-1528000000.0,1538000000.0,-147000000.0
Financing Cash Flow,-49000000.0,-3042000000.0,-942000000.0,-2085000000.0
Cash Flow From Continuing Financing Activities,-49000000.0,-3042000000.0,-942000000.0,-2085000000.0
Net Other Financing Charges,-239000000.0,-240000000.0,-220000000.0,-211000000.0
Cash Dividends Paid,-2179000000.0,-2071000000.0,-1992000000.0,-1941000000.0
Common Stock Dividend Paid,-2179000000.0,-2071000000.0,-1992000000.0,-1941000000.0
Net Common Stock Issuance,-124000000.0,45000000.0,9000000.0,9000000.0
Common Stock Payments,-130000000.0,-9000000.0,0.0,
Common Stock Issuance,6000000.0,54000000.0,9000000.0,9000000.0
Net Issuance Payments Of Debt,2493000000.0,-776000000.0,1261000000.0,58000000.0
Net Short Term Debt Issuance,372000000.0,345000000.0,0.0,0.0
Net Long Term Debt Issuance,2121000000.0,-1121000000.0,1261000000.0,58000000.0
Long Term Debt Payments,-634000000.0,-2876000000.0,-894000000.0,-3841000000.0
Long Term Debt Issuance,2755000000.0,1755000000.0,2155000000.0,3899000000.0
Investing Cash Flow,-3891000000.0,-3375000000.0,-1465000000.0,-1558000000.0
Cash Flow From Continuing Investing Activities,-3891000000.0,-3375000000.0,-1465000000.0,-1558000000.0
Net Other Investing Changes,39000000.0,7000000.0,48000000.0,42000000.0
Net Business Purchase And Sale,-1363000000.0,-1099000000.0,-266000000.0,-325000000.0
Sale Of Business,346000000.0,0.0,0.0,0.0
Purchase Of Business,-1709000000.0,-1099000000.0,-266000000.0,-325000000.0
Net PPE Purchase And Sale,-51000000.0,-30000000.0,-8000000.0,-36000000.0
Capital Expenditure Reported,-2516000000.0,-2253000000.0,-1239000000.0,-1239000000.0
Operating Cash Flow,5938000000.0,4889000000.0,3945000000.0,3496000000.0
Cash Flow From Continuing Operating Activities,5938000000.0,4889000000.0,3945000000.0,3496000000.0
Dividend Received Cfo,796000000.0,865000000.0,757000000.0,653000000.0
Change In Working Capital,88000000.0,-379000000.0,-322000000.0,-340000000.0
Change In Other Working Capital,-46000000.0,-122000000.0,-276000000.0,-5000000.0
Change In Other Current Assets,60000000.0,-33000000.0,-63000000.0,11000000.0
Change In Payables And Accrued Expense,-1028000000.0,619000000.0,701000000.0,-316000000.0
Change In Accrued Expense,-19000000.0,209000000.0,58000000.0,-309000000.0
Change In Payable,-1009000000.0,410000000.0,643000000.0,-7000000.0
Change In Account Payable,-1009000000.0,410000000.0,643000000.0,-7000000.0
Change In Inventory,13000000.0,-110000000.0,-139000000.0,-28000000.0
Change In Receivables,1089000000.0,-733000000.0,-545000000.0,-2000000.0
Changes In Account Receivables,1089000000.0,-733000000.0,-545000000.0,-2000000.0
Stock Based Compensation,77000000.0,73000000.0,81000000.0,52000000.0
Asset Impairment Charge,30000000.0,161000000.0,15000000.0,1432000000.0
Deferred Tax,951000000.0,431000000.0,509000000.0,108000000.0
Deferred Income Tax,951000000.0,431000000.0,509000000.0,108000000.0
Depreciation Amortization Depletion,2071000000.0,2009000000.0,1842000000.0,1721000000.0
Depreciation And Amortization,2071000000.0,2009000000.0,1842000000.0,1721000000.0
Operating Gains Losses,-1378000000.0,-388000000.0,-499000000.0,-328000000.0
Earnings Losses From Equity Investments,-589000000.0,-637000000.0,-608000000.0,-328000000.0
Gain Loss On Investment Securities,-660000000.0,249000000.0,109000000.0,
Gain Loss On Sale Of Business,-129000000.0,0.0,0.0,0.0
Net Income From Continuing Operations,3303000000.0,2117000000.0,1562000000.0,198000000.0
