,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,157879682.179342,167191.188041,0.0,-401274368.231047
Tax Rate For Calcs,0.22815,0.167191,0.246503,0.285199
Normalized EBITDA,7020000000.0,5697000000.0,5094000000.0,4577000000.0
Total Unusual Items,692000000.0,1000000.0,0.0,-1407000000.0
Total Unusual Items Excluding Goodwill,692000000.0,1000000.0,0.0,-1407000000.0
Net Income From Continuing Operation Net Minority Interest,3276000000.0,2049000000.0,1517000000.0,211000000.0
Reconciled Depreciation,2071000000.0,2009000000.0,1842000000.0,1721000000.0
Reconciled Cost Of Revenue,4106000000.0,5466000000.0,5874000000.0,3334000000.0
EBITDA,7712000000.0,5698000000.0,5094000000.0,3170000000.0
EBIT,5641000000.0,3689000000.0,3252000000.0,1449000000.0
Net Interest Income,-1157000000.0,-1132000000.0,-1172000000.0,-1172000000.0
Interest Expense,1236000000.0,1147000000.0,1179000000.0,1172000000.0
Interest Income,79000000.0,15000000.0,7000000.0,
Normalized Income,2741879682.179342,2048167191.188041,1517000000.0,1216725631.768953
Net Income From Continuing And Discontinued Operation,3179000000.0,2049000000.0,1517000000.0,211000000.0
Total Expenses,6725000000.0,7947000000.0,7996000000.0,5148000000.0
Total Operating Income As Reported,4311000000.0,3018000000.0,2631000000.0,2202000000.0
Diluted Average Shares,1222715000.0,1222672000.0,1218215000.0,1215165000.0
Basic Average Shares,1217784000.0,1218362000.0,1215221000.0,1213631000.0
Diluted EPS,2.6,1.67,1.24,0.17
Basic EPS,2.61,1.68,1.25,0.17
Diluted NI Availto Com Stockholders,3176000000.0,2046000000.0,1514000000.0,208000000.0
Net Income Common Stockholders,3176000000.0,2046000000.0,1514000000.0,208000000.0
Preferred Stock Dividends,3000000.0,3000000.0,3000000.0,3000000.0
Net Income,3179000000.0,2049000000.0,1517000000.0,211000000.0
Minority Interests,-124000000.0,-68000000.0,-45000000.0,13000000.0
Net Income Including Noncontrolling Interests,3303000000.0,2117000000.0,1562000000.0,198000000.0
Net Income Discontinuous Operations,-97000000.0,0.0,0.0,0.0
Net Income Continuous Operations,3400000000.0,2117000000.0,1562000000.0,198000000.0
Tax Provision,1005000000.0,425000000.0,511000000.0,79000000.0
Pretax Income,4405000000.0,2542000000.0,2073000000.0,277000000.0
Other Income Expense,1380000000.0,656000000.0,614000000.0,-1122000000.0
Other Non Operating Income Expenses,99000000.0,18000000.0,6000000.0,-43000000.0
Special Income Charges,663000000.0,0.0,0.0,-1415000000.0
Gain On Sale Of Ppe,,,,0.0
Gain On Sale Of Business,129000000.0,0.0,0.0,0.0
Other Special Charges,-534000000.0,,,
Write Off,,0.0,0.0,1046000000.0
Impairment Of Capital Assets,,0.0,2000000.0,369000000.0
Earnings From Equity Interest,589000000.0,637000000.0,608000000.0,328000000.0
Gain On Sale Of Security,29000000.0,1000000.0,7000000.0,8000000.0
Net Non Operating Interest Income Expense,-1157000000.0,-1132000000.0,-1172000000.0,-1172000000.0
Interest Expense Non Operating,1236000000.0,1147000000.0,1179000000.0,1172000000.0
Interest Income Non Operating,79000000.0,15000000.0,7000000.0,
Operating Income,4182000000.0,3018000000.0,2631000000.0,2571000000.0
Operating Expense,2619000000.0,2481000000.0,2122000000.0,1814000000.0
Other Operating Expenses,-30000000.0,28000000.0,16000000.0,22000000.0
Selling General And Administration,665000000.0,636000000.0,558000000.0,466000000.0
Gross Profit,6801000000.0,5499000000.0,4753000000.0,4385000000.0
Cost Of Revenue,4106000000.0,5466000000.0,5874000000.0,3334000000.0
Total Revenue,10907000000.0,10965000000.0,10627000000.0,7719000000.0
Operating Revenue,9951000000.0,11352000000.0,10775000000.0,7724000000.0
