,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,635300000.0,373400000.0,830700000.0,720700000.0
Repurchase Of Capital Stock,-308400000.0,-369900000.0,-409900000.0,-239700000.0
Repayment Of Debt,-300000000.0,-300000000.0,-1164300000.0,0.0
Issuance Of Debt,0.0,0.0,891700000.0,0.0
Capital Expenditure,-147800000.0,-208200000.0,-214600000.0,-156800000.0
Interest Paid Supplemental Data,102400000.0,97200000.0,101600000.0,109600000.0
Income Tax Paid Supplemental Data,197400000.0,279800000.0,185900000.0,187300000.0
End Cash Position,1786200000.0,2040700000.0,2110900000.0,2143100000.0
Beginning Cash Position,2040700000.0,2110900000.0,2143100000.0,1825000000.0
Changes In Cash,-254500000.0,-70200000.0,-32200000.0,318100000.0
Financing Cash Flow,-896800000.0,-1177300000.0,-1269500000.0,-185900000.0
Cash Flow From Continuing Financing Activities,-896800000.0,-1177300000.0,-1269500000.0,-185900000.0
Net Other Financing Charges,-124500000.0,-57700000.0,-412000000.0,586900000.0
Proceeds From Stock Option Exercised,200000.0,9500000.0,11600000.0,2200000.0
Cash Dividends Paid,-349000000.0,-364200000.0,-381600000.0,-370300000.0
Common Stock Dividend Paid,-349000000.0,-364200000.0,-381600000.0,-370300000.0
Net Common Stock Issuance,-308400000.0,-369900000.0,-409900000.0,-239700000.0
Common Stock Payments,-308400000.0,-369900000.0,-409900000.0,-239700000.0
Net Issuance Payments Of Debt,-115100000.0,-395000000.0,-77600000.0,-165000000.0
Net Short Term Debt Issuance,184900000.0,-95000000.0,195000000.0,-165000000.0
Short Term Debt Payments,,,,-165000000.0
Net Long Term Debt Issuance,-300000000.0,-300000000.0,-272600000.0,0.0
Long Term Debt Payments,-300000000.0,-300000000.0,-1164300000.0,0.0
Long Term Debt Issuance,0.0,0.0,891700000.0,0.0
Investing Cash Flow,-140800000.0,525500000.0,192000000.0,-373500000.0
Cash Flow From Continuing Investing Activities,-140800000.0,525500000.0,192000000.0,-373500000.0
Net Other Investing Changes,-3700000.0,17500000.0,3700000.0,-6000000.0
Net Investment Purchase And Sale,10700000.0,-171000000.0,552000000.0,-260100000.0
Sale Of Investment,506000000.0,1389000000.0,985000000.0,6161000000.0
Purchase Of Investment,-495300000.0,-1560000000.0,-433000000.0,-6421100000.0
Net Business Purchase And Sale,0.0,887200000.0,-149100000.0,49400000.0
Sale Of Business,0.0,887200000.0,50900000.0,49400000.0
Purchase Of Business,0.0,0.0,-200000000.0,0.0
Net Intangibles Purchase And Sale,-88500000.0,-104400000.0,-69400000.0,-51200000.0
Purchase Of Intangibles,-88500000.0,-104400000.0,-69400000.0,-51200000.0
Net PPE Purchase And Sale,-22900000.0,-31900000.0,-37700000.0,-36500000.0
Purchase Of PPE,-22900000.0,-31900000.0,-37700000.0,-36500000.0
Capital Expenditure Reported,-36400000.0,-71900000.0,-107500000.0,-69100000.0
Operating Cash Flow,783100000.0,581600000.0,1045300000.0,877500000.0
Cash Flow From Continuing Operating Activities,783100000.0,581600000.0,1045300000.0,877500000.0
Change In Working Capital,-111400000.0,-346700000.0,-177600000.0,-252100000.0
Change In Other Current Liabilities,15400000.0,-27400000.0,-23600000.0,-16700000.0
Change In Other Current Assets,-36300000.0,-209200000.0,-73000000.0,-44400000.0
Change In Payables And Accrued Expense,-90500000.0,-110100000.0,-81000000.0,-191000000.0
Change In Payable,-90500000.0,-110100000.0,-81000000.0,-191000000.0
Change In Account Payable,-22400000.0,42600000.0,-24800000.0,-96600000.0
Change In Tax Payable,-68100000.0,-152700000.0,-56200000.0,-94400000.0
Change In Income Tax Payable,-68100000.0,-152700000.0,-56200000.0,-94400000.0
Other Non Cash Items,113900000.0,115400000.0,149600000.0,145800000.0
Deferred Tax,-11000000.0,-26700000.0,-2600000.0,13900000.0
Deferred Income Tax,-11000000.0,-26700000.0,-2600000.0,13900000.0
Depreciation Amortization Depletion,183600000.0,183800000.0,208200000.0,225600000.0
Depreciation And Amortization,183600000.0,183800000.0,208200000.0,225600000.0
Amortization Cash Flow,144500000.0,141100000.0,158600000.0,164300000.0
Amortization Of Intangibles,144500000.0,141100000.0,158600000.0,164300000.0
Depreciation,39100000.0,42700000.0,49600000.0,61300000.0
Operating Gains Losses,-18000000.0,-254800000.0,61900000.0,
Pension And Employee Benefit Expense,0.0,0.0,109800000.0,0.0
Gain Loss On Sale Of Business,-18000000.0,-254800000.0,-47900000.0,0.0
Net Income From Continuing Operations,626000000.0,910600000.0,805800000.0,744300000.0
